,period,pct,trimethoprim_items,nitrofurantoin_items,all_items,trimethoprim_percent
56,2011-01-01,03K,899,182,1081,0.8316373728029602
57,2011-01-01,03L,1223,624,1847,0.6621548456957228
58,2011-01-01,03M,782,280,1062,0.736346516007533
59,2011-01-01,03N,3101,637,3738,0.8295880149812734
60,2011-01-01,03Q,1708,680,2388,0.7152428810720268
61,2011-01-01,03R,2111,451,2562,0.8239656518345043
62,2011-01-01,03T,1715,360,2075,0.8265060240963855
63,2011-01-01,03V,284,161,445,0.6382022471910113
64,2011-01-01,03W,1950,954,2904,0.6714876033057852
65,2011-01-01,03X,489,104,593,0.8246205733558178
66,2011-01-01,03Y,558,237,795,0.7018867924528301
67,2011-01-01,04C,1860,777,2637,0.7053469852104665
68,2011-01-01,04D,1416,425,1841,0.7691472026072786
69,2011-01-01,04E,1001,232,1233,0.8118410381184104
70,2011-01-01,04F,1489,748,2237,0.6656236030397854
71,2011-01-01,04G,3957,1403,5360,0.7382462686567164
72,2011-01-01,04H,653,191,844,0.773696682464455
73,2011-01-01,04J,1812,744,2556,0.7089201877934272
74,2011-01-01,04K,1646,389,2035,0.8088452088452088
75,2011-01-01,04L,829,214,1043,0.7948226270373921
76,2011-01-01,04M,490,100,590,0.8305084745762712
77,2011-01-01,04N,661,167,828,0.7983091787439613
78,2011-01-01,04Q,728,209,937,0.7769477054429029
79,2011-01-01,04R,2506,857,3363,0.7451680047576569
80,2011-01-01,04V,2053,948,3001,0.6841052982339221
81,2011-01-01,04X,1380,700,2080,0.6634615384615384
82,2011-01-01,04Y,709,197,906,0.782560706401766
83,2011-01-01,05A,2480,917,3397,0.730055931704445
84,2011-01-01,05C,1102,1211,2313,0.4764375270211846
85,2011-01-01,05D,678,284,962,0.7047817047817048
86,2011-01-01,05F,1166,337,1503,0.7757817697937458
87,2011-01-01,05G,1123,414,1537,0.730644111906311
88,2011-01-01,05H,991,336,1327,0.7467972871137905
89,2011-01-01,05J,1203,305,1508,0.7977453580901857
90,2011-01-01,05L,2366,802,3168,0.7468434343434344
91,2011-01-01,05N,1971,430,2401,0.8209079550187421
92,2011-01-01,05P,1254,186,1440,0.8708333333333333
93,2011-01-01,05Q,1214,281,1495,0.8120401337792642
94,2011-01-01,05R,1680,659,2339,0.718255664814023
95,2011-01-01,05T,1980,580,2560,0.7734375
96,2011-01-01,05V,914,269,1183,0.7726120033812341
97,2011-01-01,05W,1297,514,1811,0.7161789066813915
98,2011-01-01,05X,1148,266,1414,0.8118811881188119
99,2011-01-01,05Y,1551,541,2092,0.7413957934990439
100,2011-01-01,06A,1567,357,1924,0.8144490644490644
101,2011-01-01,06D,764,268,1032,0.7403100775193798
102,2011-01-01,06F,1929,1555,3484,0.5536739380022963
103,2011-01-01,06H,5018,1824,6842,0.7334112832505115
104,2011-01-01,06K,3016,1172,4188,0.720152817574021
105,2011-01-01,06L,2326,776,3102,0.749838813668601
106,2011-01-01,06M,1833,701,2534,0.72336227308603
107,2011-01-01,06N,3245,1209,4454,0.7285585990121239
108,2011-01-01,06P,976,467,1443,0.6763686763686764
109,2011-01-01,06Q,2281,931,3212,0.7101494396014943
110,2011-01-01,06T,2119,820,2939,0.7209935352160599
111,2011-01-01,06V,1477,384,1861,0.7936593229446535
112,2011-01-01,06W,1506,339,1845,0.816260162601626
113,2011-01-01,06Y,1271,286,1557,0.8163134232498395
114,2011-01-01,07G,875,265,1140,0.7675438596491229
115,2011-01-01,07H,1531,673,2204,0.6946460980036298
116,2011-01-01,07J,737,310,1047,0.7039159503342884
117,2011-01-01,07K,1361,598,1959,0.6947422154160285
118,2011-01-01,07L,785,151,936,0.8386752136752137
119,2011-01-01,07M,1199,472,1671,0.7175344105326152
120,2011-01-01,07N,1292,413,1705,0.7577712609970675
121,2011-01-01,07P,649,200,849,0.7644287396937574
122,2011-01-01,07Q,1755,576,2331,0.752895752895753
123,2011-01-01,07R,810,333,1143,0.7086614173228346
124,2011-01-01,07T,726,276,1002,0.7245508982035929
125,2011-01-01,07V,1669,564,2233,0.7474249888042992
126,2011-01-01,07W,899,439,1338,0.671898355754858
127,2011-01-01,07X,1152,356,1508,0.7639257294429708
128,2011-01-01,07Y,808,372,1180,0.6847457627118644
129,2011-01-01,08A,1264,481,1745,0.7243553008595989
130,2011-01-01,08C,524,192,716,0.7318435754189944
131,2011-01-01,08D,844,288,1132,0.7455830388692579
132,2011-01-01,08E,622,194,816,0.7622549019607843
133,2011-01-01,08F,1266,348,1614,0.7843866171003717
134,2011-01-01,08G,481,1064,1545,0.31132686084142397
135,2011-01-01,08H,848,365,1213,0.6990931574608409
136,2011-01-01,08J,724,278,1002,0.7225548902195609
137,2011-01-01,08K,922,206,1128,0.8173758865248227
138,2011-01-01,08L,912,444,1356,0.672566371681416
139,2011-01-01,08M,1031,280,1311,0.7864225781845919
140,2011-01-01,08N,1081,230,1311,0.8245614035087719
141,2011-01-01,08P,837,326,1163,0.7196904557179707
142,2011-01-01,08Q,802,154,956,0.8389121338912134
143,2011-01-01,08R,844,231,1075,0.7851162790697674
144,2011-01-01,08T,909,303,1212,0.75
145,2011-01-01,08V,1049,275,1324,0.7922960725075529
146,2011-01-01,08W,1139,240,1379,0.8259608411892676
147,2011-01-01,08X,1106,398,1504,0.7353723404255319
148,2011-01-01,08Y,674,251,925,0.7286486486486486
149,2011-01-01,09A,559,280,839,0.66626936829559
150,2011-01-01,09C,704,180,884,0.7963800904977375
151,2011-01-01,09D,1530,533,2063,0.7416383906931653
152,2011-01-01,09E,1342,295,1637,0.8197923029932804
153,2011-01-01,09F,1210,494,1704,0.710093896713615
154,2011-01-01,09G,2963,1288,4251,0.6970124676546695
155,2011-01-01,09H,597,159,756,0.7896825396825397
156,2011-01-01,09J,1461,505,1966,0.7431332655137335
157,2011-01-01,09L,719,424,1143,0.6290463692038495
158,2011-01-01,09N,1135,579,1714,0.6621936989498249
159,2011-01-01,09P,1144,525,1669,0.6854403834631516
160,2011-01-01,09W,1357,328,1685,0.8053412462908012
161,2011-01-01,09X,1129,482,1611,0.7008069522036002
162,2011-01-01,09Y,1698,970,2668,0.636431784107946
163,2011-01-01,10A,1008,393,1401,0.7194860813704497
164,2011-01-01,10C,450,290,740,0.6081081081081081
165,2011-01-01,10D,549,113,662,0.8293051359516617
166,2011-01-01,10E,680,170,850,0.8
167,2011-01-01,10G,623,237,860,0.7244186046511628
168,2011-01-01,10H,1641,522,2163,0.7586685159500693
169,2011-01-01,10J,988,853,1841,0.5366648560564911
170,2011-01-01,10K,1162,593,1755,0.6621082621082621
171,2011-01-01,10L,905,250,1155,0.7835497835497836
172,2011-01-01,10M,533,207,740,0.7202702702702702
173,2011-01-01,10N,434,204,638,0.6802507836990596
174,2011-01-01,10Q,2531,2211,4742,0.5337410375369043
175,2011-01-01,10R,1308,434,1742,0.7508610792192881
176,2011-01-01,10T,474,126,600,0.79
177,2011-01-01,10V,1200,643,1843,0.6511123168746609
178,2011-01-01,10W,539,172,711,0.7580872011251758
179,2011-01-01,10X,1208,478,1686,0.7164887307236062
180,2011-01-01,10Y,1105,491,1596,0.6923558897243107
181,2011-01-01,11A,3283,1453,4736,0.6932010135135135
182,2011-01-01,11C,824,218,1042,0.7907869481765835
183,2011-01-01,11D,625,276,901,0.6936736958934517
184,2011-01-01,11E,1210,401,1611,0.7510862818125388
185,2011-01-01,11H,2471,1061,3532,0.6996036240090601
186,2011-01-01,11J,4734,2081,6815,0.6946441672780631
187,2011-01-01,11M,3441,1491,4932,0.6976885644768857
188,2011-01-01,11N,3882,1061,4943,0.7853530244790613
189,2011-01-01,11T,1335,638,1973,0.676634566649772
190,2011-01-01,11X,3432,1437,4869,0.7048675292667899
191,2011-01-01,12A,1414,542,1956,0.7229038854805726
192,2011-01-01,12D,1128,342,1470,0.7673469387755102
193,2011-01-01,12F,2443,348,2791,0.8753135077033322
194,2011-01-01,13P,2907,966,3873,0.750580945003873
195,2011-01-01,13T,3003,1112,4115,0.7297691373025517
196,2011-01-01,14L,2852,1105,3957,0.7207480414455395
197,2011-01-01,99A,2676,542,3218,0.8315724052206339
198,2011-01-01,99C,1504,691,2195,0.6851936218678816
199,2011-01-01,99D,1080,365,1445,0.7474048442906575
200,2011-01-01,99E,1520,389,1909,0.7962283918281823
201,2011-01-01,99F,1159,238,1397,0.8296349319971367
202,2011-01-01,99G,911,221,1132,0.8047703180212014
203,2011-01-01,99H,1603,739,2342,0.6844577284372332
204,2011-01-01,99J,2852,952,3804,0.7497371188222923
205,2011-01-01,99K,1051,416,1467,0.7164280845262441
206,2011-01-01,99M,1032,661,1693,0.609568812758417
207,2011-01-01,99N,2600,1755,4355,0.5970149253731343
208,2011-01-01,99P,6044,1710,7754,0.7794686613360846
209,2011-01-01,99Q,1858,631,2489,0.7464845319405383
210,2011-02-01,00C,693,257,950,0.7294736842105263
211,2011-02-01,00D,1891,729,2620,0.7217557251908397
212,2011-02-01,00F,25,8,33,0.7575757575757576
213,2011-02-01,00J,1553,570,2123,0.7315120113047574
214,2011-02-01,00K,1982,783,2765,0.7168173598553346
215,2011-02-01,00L,2130,1182,3312,0.6431159420289855
216,2011-02-01,00M,1736,595,2331,0.7447447447447447
217,2011-02-01,00N,979,476,1455,0.672852233676976
218,2011-02-01,00P,1612,388,2000,0.806
219,2011-02-01,00Q,851,245,1096,0.7764598540145985
220,2011-02-01,00R,1041,230,1271,0.8190401258851299
221,2011-02-01,00T,1602,663,2265,0.7072847682119205
222,2011-02-01,00V,1158,484,1642,0.705237515225335
223,2011-02-01,00W,58,20,78,0.7435897435897436
224,2011-02-01,00X,787,132,919,0.8563656147986942
225,2011-02-01,00Y,1536,566,2102,0.730732635585157
226,2011-02-01,01A,2057,870,2927,0.7027673385719166
227,2011-02-01,01C,1271,509,1780,0.7140449438202248
228,2011-02-01,01D,1404,453,1857,0.7560581583198708
229,2011-02-01,01E,907,78,985,0.9208121827411168
230,2011-02-01,01F,778,282,1060,0.7339622641509433
231,2011-02-01,01G,1064,890,1954,0.5445240532241555
232,2011-02-01,01H,1905,429,2334,0.8161953727506427
233,2011-02-01,01J,927,317,1244,0.7451768488745981
234,2011-02-01,01K,2005,662,2667,0.7517810273715786
235,2011-02-01,01N,24,20,44,0.5454545454545454
236,2011-02-01,01R,874,432,1306,0.669218989280245
237,2011-02-01,01T,749,280,1029,0.7278911564625851
238,2011-02-01,01V,731,187,918,0.7962962962962963
239,2011-02-01,01W,1677,536,2213,0.7577948486217804
240,2011-02-01,01X,1344,488,1832,0.7336244541484717
241,2011-02-01,01Y,1320,404,1724,0.765661252900232
242,2011-02-01,02A,1229,512,1741,0.7059161401493395
243,2011-02-01,02D,499,289,788,0.633248730964467
244,2011-02-01,02E,1011,304,1315,0.7688212927756654
245,2011-02-01,02F,1465,387,1852,0.791036717062635
246,2011-02-01,02G,505,156,661,0.7639939485627837
247,2011-02-01,02H,1653,998,2651,0.6235382874387023
248,2011-02-01,02M,833,210,1043,0.7986577181208053
249,2011-02-01,02N,901,369,1270,0.7094488188976378
250,2011-02-01,02P,1055,680,1735,0.6080691642651297
251,2011-02-01,02Q,471,137,608,0.774671052631579
252,2011-02-01,02R,1769,463,2232,0.7925627240143369
253,2011-02-01,02T,836,292,1128,0.7411347517730497
254,2011-02-01,02V,1177,453,1630,0.7220858895705522
255,2011-02-01,02W,542,115,657,0.8249619482496194
256,2011-02-01,02X,1207,332,1539,0.7842755035737492
257,2011-02-01,02Y,1654,527,2181,0.7583677212287941
258,2011-02-01,03A,990,241,1231,0.8042242079610074
259,2011-02-01,03C,1693,735,2428,0.6972817133443163
260,2011-02-01,03D,697,211,908,0.7676211453744494
261,2011-02-01,03E,817,303,1120,0.7294642857142857
262,2011-02-01,03F,1478,337,1815,0.8143250688705234
263,2011-02-01,03G,1386,494,1880,0.7372340425531915
264,2011-02-01,03H,1052,325,1377,0.7639796659404503
265,2011-02-01,03J,885,202,1087,0.8141674333026679
266,2011-02-01,03K,903,173,1076,0.8392193308550185
267,2011-02-01,03L,1179,594,1773,0.6649746192893401
268,2011-02-01,03M,691,255,946,0.7304439746300211
269,2011-02-01,03N,2910,689,3599,0.8085579327590997
270,2011-02-01,03Q,1612,657,2269,0.7104451300132217
271,2011-02-01,03R,1917,453,2370,0.8088607594936709
272,2011-02-01,03T,1520,417,1937,0.7847186370676303
273,2011-02-01,03V,249,136,385,0.6467532467532467
274,2011-02-01,03W,1838,919,2757,0.6666666666666666
275,2011-02-01,03X,448,117,565,0.7929203539823009
276,2011-02-01,03Y,576,258,834,0.6906474820143885
277,2011-02-01,04C,1819,815,2634,0.690584662110858
278,2011-02-01,04D,1321,394,1715,0.7702623906705539
279,2011-02-01,04E,972,276,1248,0.7788461538461539
280,2011-02-01,04F,1384,765,2149,0.6440204746393672
281,2011-02-01,04G,3668,1377,5045,0.7270564915758176
282,2011-02-01,04H,683,180,863,0.7914252607184241
283,2011-02-01,04J,1698,731,2429,0.6990531082750103
284,2011-02-01,04K,1637,450,2087,0.7843794920939147
285,2011-02-01,04L,771,241,1012,0.7618577075098815
286,2011-02-01,04M,471,113,584,0.8065068493150684
287,2011-02-01,04N,661,191,852,0.7758215962441315
288,2011-02-01,04Q,721,253,974,0.7402464065708418
289,2011-02-01,04R,2332,826,3158,0.7384420519316023
290,2011-02-01,04V,1968,925,2893,0.6802627030763913
291,2011-02-01,04X,1283,678,1961,0.6542580316165222
292,2011-02-01,04Y,729,173,902,0.8082039911308204
293,2011-02-01,05A,2427,874,3301,0.7352317479551651
294,2011-02-01,05C,1046,1109,2155,0.4853828306264501
295,2011-02-01,05D,651,309,960,0.678125
296,2011-02-01,05F,1050,300,1350,0.7777777777777778
297,2011-02-01,05G,1095,387,1482,0.7388663967611336
298,2011-02-01,05H,976,320,1296,0.7530864197530864
299,2011-02-01,05J,1169,344,1513,0.7726371447455387
300,2011-02-01,05L,2305,750,3055,0.7545008183306056
301,2011-02-01,05N,1910,418,2328,0.820446735395189
302,2011-02-01,05P,1092,169,1261,0.865979381443299
303,2011-02-01,05Q,1118,287,1405,0.7957295373665481
304,2011-02-01,05R,1558,627,2185,0.7130434782608696
305,2011-02-01,05T,1754,493,2247,0.7805963506898086
306,2011-02-01,05V,852,310,1162,0.7332185886402753
307,2011-02-01,05W,1178,501,1679,0.7016081000595593
308,2011-02-01,05X,1094,233,1327,0.8244159758854559
309,2011-02-01,05Y,1447,510,1957,0.7393970362800204
310,2011-02-01,06A,1389,345,1734,0.801038062283737
311,2011-02-01,06D,722,238,960,0.7520833333333333
312,2011-02-01,06F,1560,1722,3282,0.4753199268738574
313,2011-02-01,06H,4824,1924,6748,0.7148784825133373
314,2011-02-01,06K,2875,1170,4045,0.7107540173053152
315,2011-02-01,06L,2122,752,2874,0.7383437717466945
316,2011-02-01,06M,1763,697,2460,0.7166666666666667
317,2011-02-01,06N,2946,1112,4058,0.7259733859043864
318,2011-02-01,06P,905,511,1416,0.6391242937853108
319,2011-02-01,06Q,2118,946,3064,0.6912532637075718
320,2011-02-01,06T,1958,746,2704,0.724112426035503
321,2011-02-01,06V,1314,380,1694,0.7756788665879575
322,2011-02-01,06W,1392,308,1700,0.8188235294117647
323,2011-02-01,06Y,1262,285,1547,0.8157724628312863
324,2011-02-01,07G,886,262,1148,0.7717770034843205
325,2011-02-01,07H,1528,687,2215,0.6898419864559819
326,2011-02-01,07J,649,328,977,0.6642784032753326
327,2011-02-01,07K,1288,540,1828,0.7045951859956237
328,2011-02-01,07L,706,174,880,0.8022727272727272
329,2011-02-01,07M,1166,532,1698,0.6866902237926973
330,2011-02-01,07N,1123,414,1537,0.730644111906311
331,2011-02-01,07P,672,201,873,0.7697594501718213
332,2011-02-01,07Q,1512,520,2032,0.7440944881889764
333,2011-02-01,07R,659,317,976,0.6752049180327869
334,2011-02-01,07T,614,273,887,0.6922209695603156
335,2011-02-01,07V,1581,530,2111,0.7489341544291804
336,2011-02-01,07W,973,462,1435,0.6780487804878049
337,2011-02-01,07X,1107,316,1423,0.7779339423752635
338,2011-02-01,07Y,819,346,1165,0.7030042918454935
339,2011-02-01,08A,1035,454,1489,0.6950973807924782
340,2011-02-01,08C,494,208,702,0.7037037037037037
341,2011-02-01,08D,774,291,1065,0.7267605633802817
342,2011-02-01,08E,551,184,735,0.7496598639455783
343,2011-02-01,08F,1267,380,1647,0.769277474195507
344,2011-02-01,08G,443,1089,1532,0.2891644908616188
345,2011-02-01,08H,822,369,1191,0.690176322418136
346,2011-02-01,08J,735,296,1031,0.7129000969932104
347,2011-02-01,08K,930,199,1129,0.8237378210806023
348,2011-02-01,08L,943,425,1368,0.689327485380117
349,2011-02-01,08M,1018,274,1292,0.7879256965944272
350,2011-02-01,08N,997,205,1202,0.829450915141431
351,2011-02-01,08P,758,310,1068,0.7097378277153558
352,2011-02-01,08Q,834,167,1001,0.8331668331668332
353,2011-02-01,08R,786,233,1019,0.7713444553483808
354,2011-02-01,08T,817,275,1092,0.7481684981684982
355,2011-02-01,08V,900,253,1153,0.7805724197745013
356,2011-02-01,08W,937,247,1184,0.7913851351351351
357,2011-02-01,08X,1074,384,1458,0.7366255144032922
358,2011-02-01,08Y,684,243,927,0.7378640776699029
359,2011-02-01,09A,568,277,845,0.672189349112426
360,2011-02-01,09C,673,209,882,0.7630385487528345
361,2011-02-01,09D,1353,570,1923,0.7035881435257411
362,2011-02-01,09E,1227,275,1502,0.8169107856191744
363,2011-02-01,09F,1195,485,1680,0.7113095238095238
364,2011-02-01,09G,2903,1298,4201,0.691025946203285
365,2011-02-01,09H,538,182,720,0.7472222222222222
366,2011-02-01,09J,1457,483,1940,0.7510309278350515
367,2011-02-01,09L,747,351,1098,0.680327868852459
368,2011-02-01,09N,1133,603,1736,0.6526497695852534
369,2011-02-01,09P,1118,501,1619,0.6905497220506486
370,2011-02-01,09W,1297,354,1651,0.7855844942459116
371,2011-02-01,09X,1034,412,1446,0.715076071922545
372,2011-02-01,09Y,1612,975,2587,0.6231155778894473
373,2011-02-01,10A,1015,405,1420,0.7147887323943662
374,2011-02-01,10C,453,247,700,0.6471428571428571
375,2011-02-01,10D,592,137,729,0.8120713305898491
376,2011-02-01,10E,727,176,903,0.805094130675526
377,2011-02-01,10G,610,231,841,0.7253269916765755
378,2011-02-01,10H,1481,542,2023,0.7320810677212062
379,2011-02-01,10J,959,794,1753,0.547062179121506
380,2011-02-01,10K,1108,521,1629,0.6801718845917741
381,2011-02-01,10L,832,244,1076,0.7732342007434945
382,2011-02-01,10M,467,210,677,0.689807976366322
383,2011-02-01,10N,406,216,622,0.6527331189710611
384,2011-02-01,10Q,2338,2088,4426,0.5282422051513782
385,2011-02-01,10R,1287,430,1717,0.749563191613279
386,2011-02-01,10T,461,166,627,0.7352472089314195
387,2011-02-01,10V,1143,590,1733,0.6595499134448932
388,2011-02-01,10W,538,164,702,0.7663817663817664
389,2011-02-01,10X,1176,451,1627,0.7228027043638598
390,2011-02-01,10Y,1098,451,1549,0.7088444157520981
391,2011-02-01,11A,3006,1410,4416,0.6807065217391305
392,2011-02-01,11C,765,241,1006,0.7604373757455268
393,2011-02-01,11D,584,308,892,0.6547085201793722
394,2011-02-01,11E,1172,433,1605,0.7302180685358255
395,2011-02-01,11H,2388,1033,3421,0.6980415083308974
396,2011-02-01,11J,4373,1971,6344,0.689312736443884
397,2011-02-01,11M,3321,1463,4784,0.6941889632107023
398,2011-02-01,11N,3571,965,4536,0.7872574955908289
399,2011-02-01,11T,1317,651,1968,0.6692073170731707
400,2011-02-01,11X,3333,1298,4631,0.7197149643705463
401,2011-02-01,12A,1418,504,1922,0.7377731529656608
402,2011-02-01,12D,1051,300,1351,0.7779422649888971
403,2011-02-01,12F,2257,347,2604,0.8667434715821812
404,2011-02-01,13P,2752,926,3678,0.7482327351821643
405,2011-02-01,13T,2861,1051,3912,0.7313394683026585
406,2011-02-01,14L,2608,1103,3711,0.702775532201563
407,2011-02-01,99A,2424,552,2976,0.8145161290322581
408,2011-02-01,99C,1312,606,1918,0.6840458811261731
409,2011-02-01,99D,988,333,1321,0.7479182437547313
410,2011-02-01,99E,1414,406,1820,0.7769230769230769
411,2011-02-01,99F,991,259,1250,0.7928
412,2011-02-01,99G,851,179,1030,0.8262135922330097
413,2011-02-01,99H,1513,717,2230,0.6784753363228699
414,2011-02-01,99J,2767,937,3704,0.7470302375809935
415,2011-02-01,99K,1021,454,1475,0.6922033898305084
416,2011-02-01,99M,1019,615,1634,0.6236230110159119
417,2011-02-01,99N,2547,1702,4249,0.5994351612144034
418,2011-02-01,99P,5547,1695,7242,0.7659486329743165
419,2011-02-01,99Q,1808,641,2449,0.7382605144957125
420,2011-03-01,00C,734,258,992,0.7399193548387096
421,2011-03-01,00D,2114,917,3031,0.6974595842956121
422,2011-03-01,00F,19,7,26,0.7307692307692307
423,2011-03-01,00J,1620,635,2255,0.7184035476718403
424,2011-03-01,00K,2250,993,3243,0.6938020351526365
425,2011-03-01,00L,2450,1327,3777,0.6486629600211808
426,2011-03-01,00M,1907,620,2527,0.7546497823506134
427,2011-03-01,00N,1098,562,1660,0.6614457831325301
428,2011-03-01,00P,1924,500,2424,0.7937293729372937
429,2011-03-01,00Q,993,280,1273,0.7800471327572663
430,2011-03-01,00R,1153,265,1418,0.81311706629055
431,2011-03-01,00T,1870,736,2606,0.7175748273215656
432,2011-03-01,00V,1283,543,1826,0.7026286966046003
433,2011-03-01,00W,55,25,80,0.6875
434,2011-03-01,00X,922,150,1072,0.8600746268656716
435,2011-03-01,00Y,1606,622,2228,0.7208258527827648
436,2011-03-01,01A,2388,971,3359,0.7109258707948795
437,2011-03-01,01C,1318,620,1938,0.6800825593395253
438,2011-03-01,01D,1560,525,2085,0.7482014388489209
439,2011-03-01,01E,987,99,1086,0.9088397790055248
440,2011-03-01,01F,973,335,1308,0.7438837920489296
441,2011-03-01,01G,1140,948,2088,0.5459770114942529
442,2011-03-01,01H,2152,515,2667,0.8068991376077991
443,2011-03-01,01J,986,345,1331,0.7407963936889557
444,2011-03-01,01K,2107,760,2867,0.7349145448203698
445,2011-03-01,01N,34,8,42,0.8095238095238095
446,2011-03-01,01R,979,444,1423,0.6879831342234716
447,2011-03-01,01T,786,279,1065,0.7380281690140845
448,2011-03-01,01V,743,225,968,0.7675619834710744
449,2011-03-01,01W,1778,648,2426,0.7328936521022259
450,2011-03-01,01X,1498,562,2060,0.7271844660194174
451,2011-03-01,01Y,1532,424,1956,0.7832310838445807
452,2011-03-01,02A,1451,578,2029,0.7151306062099556
453,2011-03-01,02D,612,313,925,0.6616216216216216
454,2011-03-01,02E,1151,349,1500,0.7673333333333333
455,2011-03-01,02F,1598,485,2083,0.7671627460393663
456,2011-03-01,02G,561,204,765,0.7333333333333333
457,2011-03-01,02H,1837,1248,3085,0.5954619124797407
458,2011-03-01,02M,964,239,1203,0.801330008312552
459,2011-03-01,02N,992,408,1400,0.7085714285714285
460,2011-03-01,02P,1148,783,1931,0.5945106162610047
461,2011-03-01,02Q,558,200,758,0.7361477572559367
462,2011-03-01,02R,1996,547,2543,0.7848997247345655
463,2011-03-01,02T,919,383,1302,0.705837173579109
464,2011-03-01,02V,1383,464,1847,0.7487818083378451
465,2011-03-01,02W,627,119,746,0.8404825737265416
466,2011-03-01,02X,1397,346,1743,0.8014916810097533
467,2011-03-01,02Y,1855,581,2436,0.7614942528735632
468,2011-03-01,03A,1136,277,1413,0.8039631988676574
469,2011-03-01,03C,1877,766,2643,0.7101778282255014
470,2011-03-01,03D,779,279,1058,0.7362948960302458
471,2011-03-01,03E,964,399,1363,0.7072633895818048
472,2011-03-01,03F,1638,391,2029,0.8072942336126171
473,2011-03-01,03G,1599,511,2110,0.7578199052132701
474,2011-03-01,03H,1234,377,1611,0.765983860955928
475,2011-03-01,03J,1023,254,1277,0.8010963194988254
476,2011-03-01,03K,1013,206,1219,0.8310090237899918
477,2011-03-01,03L,1315,720,2035,0.6461916461916462
478,2011-03-01,03M,776,297,1073,0.723205964585275
479,2011-03-01,03N,3233,734,3967,0.814973531635997
480,2011-03-01,03Q,1819,793,2612,0.6964012251148545
481,2011-03-01,03R,2147,565,2712,0.7916666666666666
482,2011-03-01,03T,1766,467,2233,0.7908643081056874
483,2011-03-01,03V,277,149,426,0.6502347417840375
484,2011-03-01,03W,2189,1050,3239,0.6758258721827725
485,2011-03-01,03X,451,116,567,0.7954144620811288
486,2011-03-01,03Y,655,264,919,0.7127312295973884
487,2011-03-01,04C,2081,897,2978,0.6987911349899262
488,2011-03-01,04D,1475,460,1935,0.7622739018087855
