month,pct,items,actual_cost
2010-09-01,00V,101,3293.0299999999997
2010-09-01,03R,99,3073.0299999999997
2010-09-01,06F,78,3168.82
2010-09-01,06W,78,1976.8899999999999
2010-09-01,01Y,73,1926.7199999999996
2010-09-01,06D,21,583.02
2010-09-01,09J,123,4442.96
2010-09-01,99F,29,1070.63
2010-09-01,10J,109,2896.69
2010-09-01,11J,142,2739.93
2010-09-01,09X,87,2744.22
2010-09-01,09P,64,1708.09
2010-09-01,08N,120,3914.79
2010-09-01,00T,235,9851.77
2010-09-01,09G,101,3527.9299999999994
2010-09-01,05R,6,229.51999999999998
2010-09-01,99M,25,515.1
2010-09-01,01W,81,2125.8
2010-09-01,99E,77,2576.13
2010-09-01,03W,23,644.91
2010-09-01,07H,57,1691.78
2010-09-01,10Q,80,2970.6100000000006
2010-09-01,209,17,179.60999999999999
2010-09-01,06P,65,2670.71
2010-09-01,02M,69,2160.3799999999997
2010-09-01,08X,109,2369.31
2010-09-01,01H,92,2145.0
2010-09-01,02P,69,2356.31
2010-09-01,02Q,7,205.94
2010-09-01,05V,28,613.41
2010-09-01,01C,55,2439.1000000000004
2010-09-01,07M,284,7659.949999999999
2010-09-01,02A,38,1400.6900000000003
2010-09-01,10E,33,968.7
2010-09-01,05C,9,491.73
2010-09-01,08M,141,3529.59
2010-09-01,07R,98,3123.27
2010-09-01,5LE,3,47.72
2010-09-01,00P,34,860.78
2010-09-01,15D,140,4988.650000000001
2010-09-01,03F,29,1345.7699999999998
2010-09-01,02E,13,575.6700000000001
2010-09-01,02W,32,1113.45
2010-09-01,04R,17,697.73
2010-09-01,08F,128,5240.52
2010-09-01,02Y,13,454.12
2010-09-01,08K,167,3377.2699999999995
2010-09-01,05F,44,685.0799999999999
2010-09-01,05N,31,1365.07
2010-09-01,03A,112,2511.69
2010-09-01,01D,129,3555.9900000000002
2010-09-01,99C,37,1224.09
2010-09-01,03D,28,722.5199999999998
2010-09-01,5K5,16,457.67
2010-09-01,01E,74,1877.0200000000002
2010-09-01,10A,61,1691.5499999999995
2010-09-01,15C,295,6381.119999999999
2010-09-01,08W,131,3510.75
2010-09-01,05W,44,1601.4599999999998
2010-09-01,07Q,64,1415.5700000000002
2010-09-01,08E,88,2503.86
2010-09-01,06V,23,889.1199999999999
2010-09-01,10L,99,4285.459999999999
2010-09-01,07W,177,4684.52
2010-09-01,01R,6,82.1
2010-09-01,08C,209,4359.24
2010-09-01,04V,21,644.8000000000001
2010-09-01,09D,81,1757.31
2010-09-01,04G,54,1481.8300000000002
2010-09-01,02H,203,7746.41
2010-09-01,01T,86,2787.6200000000003
2010-09-01,15A,156,4932.380000000001
2010-09-01,08G,75,2290.4199999999996
2010-09-01,09W,116,3401.9300000000003
2010-09-01,06A,10,165.65
2010-09-01,99A,312,10244.61
2010-09-01,00C,9,535.35
2010-09-01,02F,54,1607.4899999999998
2010-09-01,08T,15,278.59
2010-09-01,03J,53,1897.0399999999997
2010-09-01,99J,232,6697.730000000001
2010-09-01,03M,32,762.24
2010-09-01,RNU,1,19.08
2010-09-01,03T,37,830.9300000000001
2010-09-01,5M1,1,45.75
2010-09-01,06M,43,1201.8799999999999
2010-09-01,05D,12,514.6800000000001
2010-09-01,09H,46,1407.29
2010-09-01,00Q,40,826.0699999999999
2010-09-01,01X,55,2253.0000000000005
2010-09-01,10D,127,2082.27
2010-09-01,10R,64,687.09
2010-09-01,5K7,3,160.1
2010-09-01,06Y,40,1003.26
2010-09-01,04H,6,104.17999999999999
2010-09-01,00L,75,1662.6599999999999
2010-09-01,05A,25,539.88
2010-09-01,00K,35,1813.0500000000002
2010-09-01,5M3,6,297.35
2010-09-01,13T,144,3637.1399999999994
2010-09-01,05T,29,911.4599999999999
2010-09-01,00D,41,982.31
2010-09-01,03K,23,565.12
2010-09-01,08A,131,4067.2299999999996
2010-09-01,15E,235,6774.050000000001
2010-09-01,NEN,2,72.13
2010-09-01,02D,6,173.54
2010-09-01,11N,154,4200.07
2010-09-01,04E,11,312.70000000000005
2010-09-01,04J,24,526.18
2010-09-01,00J,7,87.96000000000001
2010-09-01,09C,10,335.52000000000004
2010-09-01,05X,37,738.35
2010-09-01,05G,31,1153.4199999999998
2010-09-01,06T,158,3178.4599999999996
2010-09-01,RXA,1,19.08
2010-09-01,04N,3,224.93
2010-09-01,11A,80,2317.47
2010-09-01,08V,146,3101.7099999999996
2010-09-01,11E,32,709.63
2010-09-01,03V,5,205.88
2010-09-01,05Q,43,1203.61
2010-09-01,08Y,48,1437.92
2010-09-01,00N,22,301.96999999999997
2010-09-01,08D,96,2952.96
2010-09-01,05L,165,4965.47
2010-09-01,06H,93,2610.8399999999992
2010-09-01,07L,123,3969.8199999999997
2010-09-01,11M,128,4220.5199999999995
2010-09-01,02X,15,387.16999999999996
2010-09-01,12F,35,1145.9200000000003
2010-09-01,08Q,114,3150.439999999999
2010-09-01,04K,4,110.61
2010-09-01,06L,45,722.7899999999998
2010-09-01,01A,137,3889.3999999999996
2010-09-01,09F,66,2419.620000000001
2010-09-01,07Y,170,4697.63
2010-09-01,10K,35,738.2099999999999
2010-09-01,09Y,81,2566.0899999999992
2010-09-01,15F,94,3147.11
2010-09-01,05Y,54,1222.7099999999998
2010-09-01,02T,91,2031.43
2010-09-01,14Y,180,5383.08
2010-09-01,01K,41,1512.3300000000002
2010-09-01,09E,65,1849.7199999999998
2010-09-01,05J,10,396.52
2010-09-01,00M,37,1549.8400000000001
2010-09-01,03N,9,168.67000000000002
2010-09-01,06Q,265,5130.56
2010-09-01,99H,31,1355.3300000000004
2010-09-01,99N,82,3014.5000000000005
2010-09-01,09N,27,1319.58
2010-09-01,NTP,1,22.96
2010-09-01,413,3,160.1
2010-09-01,09A,61,2617.42
2010-09-01,08J,34,966.85
2010-09-01,07V,93,3102.6
2010-09-01,08P,81,2351.0400000000004
2010-10-01,03M,24,740.5200000000001
2010-10-01,06V,17,606.4799999999999
2010-10-01,02D,3,167.68
2010-10-01,09L,73,2225.78
2010-10-01,08L,141,3386.3999999999996
2010-10-01,5K5,25,583.5500000000001
2010-10-01,04Y,51,1574.7
2010-10-01,07T,183,4202.3099999999995
2010-10-01,00T,169,7676.12
2010-10-01,08K,141,2669.85
2010-10-01,00X,39,1069.64
2010-10-01,15F,79,2628.4100000000003
2010-10-01,06H,58,1639.07
2010-10-01,07X,159,5479.929999999999
2010-10-01,11A,73,2545.2599999999998
2010-10-01,15E,193,5930.76
2010-10-01,09G,99,3069.38
2010-10-01,02R,66,2008.0900000000001
2010-10-01,04H,3,109.48
2010-10-01,06Y,23,596.9499999999999
2010-10-01,05T,30,1573.2699999999998
2010-10-01,02W,28,1071.2
2010-10-01,09H,26,906.1100000000001
2010-10-01,04G,55,1536.7500000000002
