pct,month,drug,pregab_mg
05W,2012-01-01,pregabalin,7396600.0
09E,2012-01-01,pregabalin,7955775.0
01D,2012-01-01,pregabalin,9758375.0
10A,2012-01-01,pregabalin,6788375.0
00P,2012-01-01,pregabalin,8864850.0
06D,2012-01-01,pregabalin,1808725.0
00N,2012-01-01,pregabalin,4717125.0
04V,2012-01-01,pregabalin,8086400.0
11N,2012-01-01,pregabalin,17021850.0
13T,2012-01-01,pregabalin,15704025.0
03R,2012-01-01,pregabalin,16507225.0
06W,2012-01-01,pregabalin,8171025.0
05J,2012-01-01,pregabalin,3097275.0
07N,2012-01-01,pregabalin,6006800.0
06A,2012-01-01,pregabalin,6923950.0
10Q,2012-01-01,pregabalin,7598300.0
09L,2012-01-01,pregabalin,2375200.0
12F,2012-01-01,pregabalin,11482275.0
08W,2012-01-01,pregabalin,4714925.0
04G,2012-01-01,pregabalin,13167625.0
08T,2012-01-01,pregabalin,3081000.0
07Y,2012-01-01,pregabalin,4252500.0
11J,2012-01-01,pregabalin,8323300.0
05V,2012-01-01,pregabalin,3669675.0
03D,2012-01-01,pregabalin,4622150.0
02H,2012-01-01,pregabalin,16083550.0
03E,2012-01-01,pregabalin,3756325.0
04D,2012-01-01,pregabalin,7631100.0
07K,2012-01-01,pregabalin,9395600.0
10C,2012-01-01,pregabalin,2185200.0
03Q,2012-01-01,pregabalin,11342725.0
04K,2012-01-01,pregabalin,7894325.0
10V,2012-01-01,pregabalin,3971875.0
10K,2012-01-01,pregabalin,3852775.0
02T,2012-01-01,pregabalin,6259450.0
02Q,2012-01-01,pregabalin,3686950.0
09C,2012-01-01,pregabalin,3263775.0
11E,2012-01-01,pregabalin,2738600.0
03K,2012-01-01,pregabalin,5933700.0
08E,2012-01-01,pregabalin,3113050.0
02W,2012-01-01,pregabalin,1835400.0
02F,2012-01-01,pregabalin,6867700.0
05H,2012-01-01,pregabalin,3716375.0
09P,2012-01-01,pregabalin,8122150.0
02E,2012-01-01,pregabalin,8715100.0
06Q,2012-01-01,pregabalin,16736575.0
10E,2012-01-01,pregabalin,6363050.0
15A,2012-01-01,pregabalin,9721325.0
11M,2012-01-01,pregabalin,14913225.0
07R,2012-01-01,pregabalin,2726400.0
11X,2012-01-01,pregabalin,8003850.0
08F,2012-01-01,pregabalin,5349275.0
04M,2012-01-01,pregabalin,2257175.0
03A,2012-01-01,pregabalin,6556275.0
05D,2012-01-01,pregabalin,3342950.0
02A,2012-01-01,pregabalin,7611025.0
00V,2012-01-01,pregabalin,7213650.0
02N,2012-01-01,pregabalin,3830900.0
07P,2012-01-01,pregabalin,4087925.0
03F,2012-01-01,pregabalin,8482350.0
99G,2012-01-01,pregabalin,5402775.0
04Y,2012-01-01,pregabalin,3577450.0
02G,2012-01-01,pregabalin,3389625.0
05F,2012-01-01,pregabalin,2774700.0
05C,2012-01-01,pregabalin,5811550.0
05X,2012-01-01,pregabalin,6144175.0
99D,2012-01-01,pregabalin,4520575.0
07G,2012-01-01,pregabalin,3183675.0
06Y,2012-01-01,pregabalin,8265750.0
11D,2012-01-01,pregabalin,130900.0
09F,2012-01-01,pregabalin,6312025.0
99M,2012-01-01,pregabalin,4542250.0
03T,2012-01-01,pregabalin,11140900.0
09Y,2012-01-01,pregabalin,9931825.0
03J,2012-01-01,pregabalin,6377500.0
03V,2012-01-01,pregabalin,1313250.0
99N,2012-01-01,pregabalin,9460825.0
03Y,2012-01-01,pregabalin,3374600.0
99J,2012-01-01,pregabalin,11914775.0
00M,2012-01-01,pregabalin,12172875.0
08Y,2012-01-01,pregabalin,4802875.0
10X,2012-01-01,pregabalin,4085800.0
09G,2012-01-01,pregabalin,8339100.0
03H,2012-01-01,pregabalin,3884350.0
08V,2012-01-01,pregabalin,4994825.0
06V,2012-01-01,pregabalin,5839850.0
00L,2012-01-01,pregabalin,9296675.0
15F,2012-01-01,pregabalin,22057550.0
08G,2012-01-01,pregabalin,7293225.0
01T,2012-01-01,pregabalin,5702575.0
04N,2012-01-01,pregabalin,2637350.0
99P,2012-01-01,pregabalin,27807775.0
08D,2012-01-01,pregabalin,2281850.0
08H,2012-01-01,pregabalin,2696325.0
03N,2012-01-01,pregabalin,16639700.0
03X,2012-01-01,pregabalin,2147600.0
04L,2012-01-01,pregabalin,3106075.0
04H,2012-01-01,pregabalin,2959750.0
09D,2012-01-01,pregabalin,8864350.0
08Q,2012-01-01,pregabalin,6085875.0
14L,2012-01-01,pregabalin,24424125.0
06P,2012-01-01,pregabalin,3135125.0
09N,2012-01-01,pregabalin,4047725.0
04F,2012-01-01,pregabalin,2513900.0
04C,2012-01-01,pregabalin,6056125.0
07H,2012-01-01,pregabalin,6828750.0
06L,2012-01-01,pregabalin,8921050.0
04R,2012-01-01,pregabalin,6502000.0
15E,2012-01-01,pregabalin,28711250.0
99C,2012-01-01,pregabalin,6149000.0
99A,2012-01-01,pregabalin,18547800.0
99E,2012-01-01,pregabalin,6691350.0
99H,2012-01-01,pregabalin,5757775.0
07T,2012-01-01,pregabalin,4822125.0
09J,2012-01-01,pregabalin,7999800.0
08C,2012-01-01,pregabalin,4003725.0
02R,2012-01-01,pregabalin,8371600.0
08P,2012-01-01,pregabalin,2554475.0
09W,2012-01-01,pregabalin,11163050.0
