pct,month,drug,gaba_ddd
10L,2012-01-01,gabapentin,10550.333333333334
00J,2012-01-01,gabapentin,40397.38888888889
06Y,2012-01-01,gabapentin,22021.166666666668
07V,2012-01-01,gabapentin,18291.555555555555
04V,2012-01-01,gabapentin,27172.444444444445
06K,2012-01-01,gabapentin,37768.333333333336
10C,2012-01-01,gabapentin,4307.388888888889
09J,2012-01-01,gabapentin,13944.722222222223
08C,2012-01-01,gabapentin,6347.055555555556
03F,2012-01-01,gabapentin,27367.944444444445
00Y,2012-01-01,gabapentin,26499.166666666668
07H,2012-01-01,gabapentin,14355.722222222223
04C,2012-01-01,gabapentin,25788.222222222223
00X,2012-01-01,gabapentin,12175.944444444445
10Q,2012-01-01,gabapentin,48030.27777777778
00P,2012-01-01,gabapentin,34696.5
06T,2012-01-01,gabapentin,27334.833333333332
05N,2012-01-01,gabapentin,17604.666666666668
05V,2012-01-01,gabapentin,8543.777777777777
06F,2012-01-01,gabapentin,27966.666666666668
06L,2012-01-01,gabapentin,28228.777777777777
15M,2012-01-01,gabapentin,111708.11111111111
03D,2012-01-01,gabapentin,13580.777777777777
99M,2012-01-01,gabapentin,9923.0
15A,2012-01-01,gabapentin,22693.666666666668
08P,2012-01-01,gabapentin,6839.777777777777
08H,2012-01-01,gabapentin,16243.388888888889
12D,2012-01-01,gabapentin,19848.833333333332
00N,2012-01-01,gabapentin,21582.5
04Y,2012-01-01,gabapentin,7730.722222222223
03A,2012-01-01,gabapentin,18949.555555555555
05T,2012-01-01,gabapentin,23606.5
06A,2012-01-01,gabapentin,9648.111111111111
01V,2012-01-01,gabapentin,13160.277777777777
03J,2012-01-01,gabapentin,9840.5
06H,2012-01-01,gabapentin,76461.55555555556
05A,2012-01-01,gabapentin,27751.5
01K,2012-01-01,gabapentin,30059.61111111111
11M,2012-01-01,gabapentin,40704.77777777778
10V,2012-01-01,gabapentin,16098.388888888889
07Q,2012-01-01,gabapentin,16501.277777777777
09E,2012-01-01,gabapentin,14904.277777777777
99K,2012-01-01,gabapentin,11231.777777777777
01E,2012-01-01,gabapentin,12535.555555555555
00C,2012-01-01,gabapentin,12403.666666666666
07X,2012-01-01,gabapentin,15204.277777777777
02F,2012-01-01,gabapentin,17811.0
04N,2012-01-01,gabapentin,8634.388888888889
08M,2012-01-01,gabapentin,8114.0
08J,2012-01-01,gabapentin,7312.611111111111
03M,2012-01-01,gabapentin,10504.166666666666
04E,2012-01-01,gabapentin,19563.166666666668
00R,2012-01-01,gabapentin,21037.666666666668
07T,2012-01-01,gabapentin,8090.833333333333
09W,2012-01-01,gabapentin,16398.277777777777
02Q,2012-01-01,gabapentin,13531.166666666666
99H,2012-01-01,gabapentin,10923.388888888889
15E,2012-01-01,gabapentin,92131.53333333334
01X,2012-01-01,gabapentin,21462.944444444445
11A,2012-01-01,gabapentin,37359.555555555555
04Q,2012-01-01,gabapentin,10432.944444444445
08L,2012-01-01,gabapentin,18050.666666666668
03H,2012-01-01,gabapentin,16184.777777777777
99E,2012-01-01,gabapentin,10538.388888888889
07J,2012-01-01,gabapentin,16061.7
01J,2012-01-01,gabapentin,21512.666666666668
02P,2012-01-01,gabapentin,25210.0
07L,2012-01-01,gabapentin,5655.111111111111
07R,2012-01-01,gabapentin,10824.166666666666
08E,2012-01-01,gabapentin,8213.666666666666
01T,2012-01-01,gabapentin,20315.0
13T,2012-01-01,gabapentin,76643.72222222222
11J,2012-01-01,gabapentin,49818.555555555555
08D,2012-01-01,gabapentin,11769.777777777777
99G,2012-01-01,gabapentin,6508.0
03L,2012-01-01,gabapentin,25223.777777777777
09A,2012-01-01,gabapentin,8264.777777777777
05D,2012-01-01,gabapentin,8800.555555555555
09C,2012-01-01,gabapentin,9884.055555555555
03R,2012-01-01,gabapentin,32778.11111111111
05X,2012-01-01,gabapentin,12801.0
14L,2012-01-01,gabapentin,45778.77777777778
06M,2012-01-01,gabapentin,31860.61111111111
99J,2012-01-01,gabapentin,26559.666666666668
11N,2012-01-01,gabapentin,66855.38888888889
09X,2012-01-01,gabapentin,11426.222222222223
05L,2012-01-01,gabapentin,61846.055555555555
04F,2012-01-01,gabapentin,14297.055555555555
09Y,2012-01-01,gabapentin,14782.277777777777
08F,2012-01-01,gabapentin,10806.555555555555
10J,2012-01-01,gabapentin,11041.777777777777
09P,2012-01-01,gabapentin,12445.722222222223
01A,2012-01-01,gabapentin,37770.0
06V,2012-01-01,gabapentin,17249.444444444445
09N,2012-01-01,gabapentin,9509.833333333334
07K,2012-01-01,gabapentin,20972.166666666668
04L,2012-01-01,gabapentin,12505.5
05T,2012-01-01,pregabalin,20438.333333333332
01Y,2012-01-01,pregabalin,22483.25
00C,2012-01-01,pregabalin,12118.583333333334
05Y,2012-01-01,pregabalin,32118.75
05Q,2012-01-01,pregabalin,21399.0
00D,2012-01-01,pregabalin,37480.583333333336
02M,2012-01-01,pregabalin,19224.0
99F,2012-01-01,pregabalin,16724.083333333332
01C,2012-01-01,pregabalin,20843.166666666668
09H,2012-01-01,pregabalin,10444.166666666666
11A,2012-01-01,pregabalin,36752.75
00K,2012-01-01,pregabalin,28168.25
06H,2012-01-01,pregabalin,41311.5
10R,2012-01-01,pregabalin,12214.416666666666
03M,2012-01-01,pregabalin,13486.666666666666
01X,2012-01-01,pregabalin,42468.833333333336
02P,2012-01-01,pregabalin,25634.416666666668
08R,2012-01-01,pregabalin,7983.833333333333
15D,2012-01-01,pregabalin,19301.333333333332
09A,2012-01-01,pregabalin,14042.666666666666
08A,2012-01-01,pregabalin,15286.0
01F,2012-01-01,pregabalin,21297.666666666668
08N,2012-01-01,pregabalin,16118.333333333334
10D,2012-01-01,pregabalin,17184.083333333332
12D,2012-01-01,pregabalin,15117.083333333334
99K,2012-01-01,pregabalin,15731.5
05A,2012-01-01,pregabalin,31127.333333333332
01G,2012-01-01,pregabalin,20082.916666666668
01V,2012-01-01,pregabalin,14973.833333333334
15C,2012-01-01,pregabalin,55508.916666666664
03L,2012-01-01,pregabalin,24165.416666666668
02D,2012-01-01,pregabalin,10060.416666666666
07L,2012-01-01,pregabalin,11885.5
07W,2012-01-01,pregabalin,20874.583333333332
10L,2012-01-01,pregabalin,15699.333333333334
06M,2012-01-01,pregabalin,21506.166666666668
05N,2012-01-01,pregabalin,32119.083333333332
00X,2012-01-01,pregabalin,19078.916666666668
06N,2012-01-01,pregabalin,22977.75
04E,2012-01-01,pregabalin,11440.75
01E,2012-01-01,pregabalin,23855.833333333332
99A,2012-01-01,gabapentin,53261.88888888889
10A,2012-01-01,gabapentin,15319.777777777777
08A,2012-01-01,gabapentin,16581.61111111111
02G,2012-01-01,gabapentin,12134.555555555555
04M,2012-01-01,gabapentin,11116.166666666666
08W,2012-01-01,gabapentin,7179.833333333333
11D,2012-01-01,gabapentin,66.66666666666667
02N,2012-01-01,gabapentin,14901.666666666666
00K,2012-01-01,gabapentin,40429.77777777778
04D,2012-01-01,gabapentin,18610.277777777777
02Y,2012-01-01,gabapentin,30871.722222222223
05W,2012-01-01,gabapentin,26267.666666666668
10R,2012-01-01,gabapentin,13746.777777777777
03Q,2012-01-01,gabapentin,31275.5
10X,2012-01-01,gabapentin,21350.38888888889
05G,2012-01-01,gabapentin,15299.666666666666
01R,2012-01-01,gabapentin,16657.944444444445
05Y,2012-01-01,gabapentin,17867.333333333332
11E,2012-01-01,gabapentin,12983.388888888889
07P,2012-01-01,gabapentin,11197.0
01F,2012-01-01,gabapentin,16785.11111111111
05C,2012-01-01,gabapentin,21955.055555555555
05R,2012-01-01,gabapentin,16582.88888888889
10E,2012-01-01,gabapentin,17019.277777777777
03E,2012-01-01,gabapentin,10881.777777777777
05H,2012-01-01,gabapentin,15817.5
10K,2012-01-01,gabapentin,12743.833333333334
08K,2012-01-01,gabapentin,15997.888888888889
08Q,2012-01-01,gabapentin,15030.611111111111
09D,2012-01-01,gabapentin,21208.333333333332
06N,2012-01-01,gabapentin,35673.22222222222
08Y,2012-01-01,gabapentin,8406.222222222223
02W,2012-01-01,gabapentin,7383.166666666667
01Y,2012-01-01,gabapentin,32443.277777777777
03H,2012-01-01,pregabalin,12947.833333333334
08V,2012-01-01,pregabalin,16649.416666666668
06V,2012-01-01,pregabalin,19466.166666666668
00L,2012-01-01,pregabalin,30988.916666666668
15F,2012-01-01,pregabalin,73525.16666666667
08G,2012-01-01,pregabalin,24310.75
01T,2012-01-01,pregabalin,19008.583333333332
04N,2012-01-01,pregabalin,8791.166666666666
08D,2012-01-01,pregabalin,7606.166666666667
08H,2012-01-01,pregabalin,8987.75
03N,2012-01-01,pregabalin,55465.666666666664
04L,2012-01-01,pregabalin,9476.25
04H,2012-01-01,pregabalin,9865.833333333334
09D,2012-01-01,pregabalin,29547.833333333332
08Q,2012-01-01,pregabalin,20286.25
14L,2012-01-01,pregabalin,81413.75
06P,2012-01-01,pregabalin,10450.416666666666
09N,2012-01-01,pregabalin,13492.416666666666
04F,2012-01-01,pregabalin,8379.666666666666
04C,2012-01-01,pregabalin,20355.083333333332
07H,2012-01-01,pregabalin,22762.5
06L,2012-01-01,pregabalin,29736.833333333332
15E,2012-01-01,pregabalin,95704.16666666667
99C,2012-01-01,pregabalin,20496.666666666668
99A,2012-01-01,pregabalin,61826.0
99E,2012-01-01,pregabalin,22304.5
99H,2012-01-01,pregabalin,19192.583333333332
07T,2012-01-01,pregabalin,16073.75
09J,2012-01-01,pregabalin,26666.0
08C,2012-01-01,pregabalin,13345.75
02R,2012-01-01,pregabalin,27667.333333333332
08P,2012-01-01,pregabalin,8514.916666666666
09W,2012-01-01,pregabalin,37210.166666666664
07J,2012-01-01,pregabalin,22545.583333333332
02X,2012-01-01,pregabalin,49686.5
10J,2012-01-01,pregabalin,14498.25
01A,2012-01-01,pregabalin,31181.416666666668
06K,2012-01-01,pregabalin,25371.916666666668
09X,2012-01-01,pregabalin,16811.833333333332
01R,2012-01-01,pregabalin,14152.666666666666
08X,2012-01-01,pregabalin,13938.916666666666
08L,2012-01-01,pregabalin,24683.5
00Q,2012-01-01,pregabalin,11814.333333333334
08M,2012-01-01,pregabalin,15774.166666666666
07V,2012-01-01,pregabalin,16826.25
03W,2012-01-01,pregabalin,22429.916666666668
08K,2012-01-01,pregabalin,18044.0
02Y,2012-01-01,pregabalin,30716.666666666668
05L,2012-01-01,pregabalin,33487.25
14Y,2012-01-01,pregabalin,8131.583333333333
01J,2012-01-01,pregabalin,24518.333333333332
08J,2012-01-01,pregabalin,9526.916666666666
01W,2012-01-01,pregabalin,24980.666666666668
01H,2012-01-01,pregabalin,24279.25
01K,2012-01-01,pregabalin,36443.833333333336
00T,2012-01-01,pregabalin,35979.0
00J,2012-01-01,pregabalin,23218.583333333332
06T,2012-01-01,pregabalin,53901.5
07X,2012-01-01,pregabalin,12586.25
05G,2012-01-01,pregabalin,15378.666666666666
00R,2012-01-01,pregabalin,20408.25
05R,2012-01-01,pregabalin,13531.583333333334
00Y,2012-01-01,pregabalin,34026.416666666664
07M,2012-01-01,pregabalin,19252.666666666668
07Q,2012-01-01,pregabalin,18845.0
04Q,2012-01-01,pregabalin,12956.166666666666
06F,2012-01-01,pregabalin,24627.833333333332
05W,2012-01-01,pregabalin,24655.333333333332
09E,2012-01-01,pregabalin,26519.25
01D,2012-01-01,pregabalin,32527.916666666668
10A,2012-01-01,pregabalin,22627.916666666668
00P,2012-01-01,pregabalin,29549.5
06D,2012-01-01,pregabalin,6029.083333333333
00N,2012-01-01,pregabalin,15723.75
04V,2012-01-01,pregabalin,26954.666666666668
11N,2012-01-01,pregabalin,56739.5
13T,2012-01-01,pregabalin,52346.75
03R,2012-01-01,pregabalin,55024.083333333336
06W,2012-01-01,pregabalin,27236.75
05J,2012-01-01,pregabalin,10324.25
07N,2012-01-01,pregabalin,20022.666666666668
06A,2012-01-01,pregabalin,23079.833333333332
10Q,2012-01-01,pregabalin,25327.666666666668
09L,2012-01-01,pregabalin,7917.333333333333
12F,2012-01-01,pregabalin,38274.25
08W,2012-01-01,pregabalin,15716.416666666666
04G,2012-01-01,pregabalin,43892.083333333336
15N,2012-01-01,pregabalin,123712.08333333333
08T,2012-01-01,pregabalin,10270.0
07Y,2012-01-01,pregabalin,14175.0
11J,2012-01-01,pregabalin,27744.333333333332
05V,2012-01-01,pregabalin,12232.25
03D,2012-01-01,pregabalin,15407.166666666666
02H,2012-01-01,pregabalin,53611.833333333336
03E,2012-01-01,pregabalin,12521.083333333334
04D,2012-01-01,pregabalin,25437.0
07K,2012-01-01,pregabalin,31318.666666666668
10C,2012-01-01,pregabalin,7284.0
03Q,2012-01-01,pregabalin,37809.083333333336
04K,2012-01-01,pregabalin,26314.416666666668
10V,2012-01-01,pregabalin,13239.583333333334
08X,2012-01-01,gabapentin,12432.166666666666
03N,2012-01-01,gabapentin,53515.166666666664
09G,2012-01-01,gabapentin,31588.555555555555
02D,2012-01-01,gabapentin,10630.777777777777
07M,2012-01-01,gabapentin,14498.666666666666
04H,2012-01-01,gabapentin,12503.722222222223
10K,2012-01-01,pregabalin,12842.583333333334
09C,2012-01-01,pregabalin,10879.25
02T,2012-01-01,pregabalin,20864.833333333332
02Q,2012-01-01,pregabalin,12289.833333333334
11E,2012-01-01,pregabalin,9128.666666666666
03K,2012-01-01,pregabalin,19779.0
08E,2012-01-01,pregabalin,10376.833333333334
02W,2012-01-01,pregabalin,6356.0
02F,2012-01-01,pregabalin,22892.333333333332
05H,2012-01-01,pregabalin,12387.916666666666
09P,2012-01-01,pregabalin,27073.833333333332
02E,2012-01-01,pregabalin,29050.333333333332
06Q,2012-01-01,pregabalin,55788.583333333336
10E,2012-01-01,pregabalin,21210.166666666668
15A,2012-01-01,pregabalin,32404.416666666668
11M,2012-01-01,pregabalin,49710.75
07R,2012-01-01,pregabalin,9088.0
11X,2012-01-01,pregabalin,26679.5
08F,2012-01-01,pregabalin,17830.916666666668
04M,2012-01-01,pregabalin,8401.25
03A,2012-01-01,pregabalin,21854.25
02A,2012-01-01,pregabalin,25370.083333333332
05D,2012-01-01,pregabalin,11143.166666666666
00V,2012-01-01,pregabalin,24045.5
02N,2012-01-01,pregabalin,12769.666666666666
07P,2012-01-01,pregabalin,13626.416666666666
03F,2012-01-01,pregabalin,28274.5
99G,2012-01-01,pregabalin,18009.25
04Y,2012-01-01,pregabalin,11924.833333333334
02G,2012-01-01,pregabalin,11298.75
05F,2012-01-01,pregabalin,9249.0
05C,2012-01-01,pregabalin,19371.833333333332
05X,2012-01-01,pregabalin,20480.583333333332
99D,2012-01-01,pregabalin,15068.583333333334
07G,2012-01-01,pregabalin,10612.25
06Y,2012-01-01,pregabalin,27552.5
11D,2012-01-01,pregabalin,436.3333333333333
09F,2012-01-01,pregabalin,21040.083333333332
99M,2012-01-01,pregabalin,15140.833333333334
15M,2012-01-01,pregabalin,66408.08333333333
03T,2012-01-01,pregabalin,37136.333333333336
09Y,2012-01-01,pregabalin,33106.083333333336
03J,2012-01-01,pregabalin,21258.333333333332
03V,2012-01-01,pregabalin,4377.5
99N,2012-01-01,pregabalin,31536.083333333332
99J,2012-01-01,pregabalin,39715.916666666664
00M,2012-01-01,pregabalin,40576.25
08Y,2012-01-01,pregabalin,16009.583333333334
10X,2012-01-01,pregabalin,13619.333333333334
09G,2012-01-01,pregabalin,27797.0
11J,2016-01-01,gabapentin,94901.5
10J,2016-01-01,gabapentin,21319.11111111111
00K,2016-01-01,gabapentin,68334.11111111111
00M,2016-01-01,gabapentin,69450.05555555556
05G,2016-01-01,gabapentin,37363.27777777778
05Q,2016-01-01,gabapentin,31193.555555555555
07X,2016-01-01,gabapentin,25196.833333333332
06Q,2016-01-01,gabapentin,31355.944444444445
04K,2016-01-01,gabapentin,48784.11111111111
03K,2016-01-01,gabapentin,26108.0
01D,2016-01-01,gabapentin,46242.77777777778
07P,2016-01-01,gabapentin,20480.11111111111
99F,2016-01-01,gabapentin,16986.722222222223
02R,2016-01-01,gabapentin,54983.916666666664
03T,2016-01-01,gabapentin,58493.5
02A,2016-01-01,gabapentin,33395.555555555555
02P,2016-01-01,gabapentin,47978.38888888889
07R,2016-01-01,gabapentin,20141.444444444445
05D,2016-01-01,gabapentin,17005.833333333332
05H,2016-01-01,gabapentin,28078.11111111111
08R,2016-01-01,gabapentin,11354.111111111111
01J,2016-01-01,gabapentin,42373.27777777778
10K,2016-01-01,gabapentin,26309.277777777777
03L,2016-01-01,gabapentin,43343.77777777778
15A,2016-01-01,gabapentin,45125.72222222222
01H,2016-01-01,gabapentin,55050.27777777778
01G,2016-01-01,gabapentin,72049.94444444444
06L,2016-01-01,gabapentin,65480.88888888889
99C,2016-01-01,gabapentin,54238.61111111111
08N,2016-01-01,gabapentin,10574.388888888889
10L,2016-01-01,gabapentin,25084.61111111111
07T,2016-01-01,gabapentin,19196.11111111111
13T,2016-01-01,gabapentin,121261.66666666667
00R,2016-01-01,gabapentin,49151.88888888889
07N,2016-01-01,gabapentin,24995.722222222223
05R,2016-01-01,gabapentin,25000.444444444445
03F,2016-01-01,gabapentin,51022.72222222222
07J,2016-01-01,gabapentin,33047.88888888889
11N,2016-01-01,gabapentin,103768.11111111111
04N,2016-01-01,gabapentin,14592.5
01R,2016-01-01,gabapentin,30810.666666666668
06D,2016-01-01,gabapentin,19638.166666666668
02F,2016-01-01,gabapentin,40716.944444444445
09J,2016-01-01,gabapentin,28310.944444444445
10E,2016-01-01,gabapentin,31950.555555555555
04D,2016-01-01,gabapentin,29753.166666666668
15M,2016-01-01,gabapentin,205078.22222222222
05Y,2016-01-01,gabapentin,37371.38888888889
03Q,2016-01-01,gabapentin,54118.666666666664
02X,2016-01-01,gabapentin,65785.27777777778
00X,2016-01-01,gabapentin,22400.833333333332
99M,2016-01-01,gabapentin,16540.944444444445
02T,2016-01-01,gabapentin,32282.944444444445
04F,2016-01-01,gabapentin,32058.444444444445
01T,2016-01-01,gabapentin,37747.27777777778
09F,2016-01-01,gabapentin,38814.944444444445
03V,2016-01-01,gabapentin,16456.61111111111
01A,2016-01-01,gabapentin,82613.61111111111
08V,2016-01-01,gabapentin,21314.166666666668
00Y,2016-01-01,gabapentin,54058.11111111111
06F,2016-01-01,gabapentin,61942.72222222222
00C,2016-01-01,gabapentin,21041.277777777777
02Y,2016-01-01,gabapentin,46395.22222222222
09X,2016-01-01,gabapentin,24089.444444444445
99D,2016-01-01,gabapentin,24186.11111111111
99A,2016-01-01,gabapentin,119181.61111111111
08H,2016-01-01,gabapentin,29245.88888888889
09N,2016-01-01,gabapentin,15972.777777777777
03A,2016-01-01,gabapentin,33119.944444444445
04H,2016-01-01,gabapentin,21725.833333333332
06A,2016-01-01,gabapentin,21609.11111111111
06K,2016-01-01,gabapentin,63803.77777777778
09H,2016-01-01,gabapentin,10083.388888888889
15E,2016-01-01,gabapentin,149551.55555555556
09E,2016-01-01,gabapentin,30000.38888888889
01K,2016-01-01,gabapentin,59362.5
05N,2016-01-01,gabapentin,35304.333333333336
00L,2016-01-01,gabapentin,87673.83333333333
07K,2016-01-01,gabapentin,36617.666666666664
05L,2016-01-01,gabapentin,95941.22222222222
02W,2016-01-01,gabapentin,14519.861111111111
01V,2016-01-01,gabapentin,24699.666666666668
12D,2016-01-01,gabapentin,33969.055555555555
07Y,2016-01-01,gabapentin,14258.777777777777
99J,2016-01-01,gabapentin,51630.27777777778
03R,2016-01-01,gabapentin,69487.94444444444
09P,2016-01-01,gabapentin,28049.944444444445
09L,2016-01-01,gabapentin,12367.888888888889
00J,2016-01-01,gabapentin,66825.77777777778
03N,2016-01-01,gabapentin,90561.38888888889
03H,2016-01-01,gabapentin,26171.277777777777
99N,2016-01-01,gabapentin,76005.77777777778
10D,2016-01-01,gabapentin,18259.222222222223
02H,2016-01-01,gabapentin,70000.27777777778
07Q,2016-01-01,gabapentin,25368.277777777777
08X,2016-01-01,gabapentin,18070.0
04Q,2016-01-01,gabapentin,15570.833333333334
04M,2016-01-01,gabapentin,19186.166666666668
09C,2016-01-01,gabapentin,16877.777777777777
08M,2016-01-01,gabapentin,13791.111111111111
09D,2016-01-01,gabapentin,48595.38888888889
06T,2016-01-01,gabapentin,55076.833333333336
10X,2016-01-01,gabapentin,41966.61111111111
15F,2016-01-01,gabapentin,83072.27777777778
10V,2016-01-01,gabapentin,32551.333333333332
04G,2016-01-01,gabapentin,116952.77777777778
99H,2016-01-01,gabapentin,17024.666666666668
08A,2016-01-01,gabapentin,29129.0
99K,2016-01-01,gabapentin,21679.444444444445
12F,2016-01-01,gabapentin,67469.0
03E,2016-01-01,gabapentin,18335.13888888889
03W,2016-01-01,gabapentin,40069.72222222222
01X,2016-01-01,gabapentin,46152.72222222222
07V,2016-01-01,gabapentin,31760.555555555555
01Y,2016-01-01,gabapentin,65848.22222222222
06H,2016-01-01,gabapentin,126628.66666666667
05J,2016-01-01,gabapentin,22865.0
00P,2016-01-01,gabapentin,61096.444444444445
09W,2016-01-01,gabapentin,38147.77777777778
09Y,2016-01-01,gabapentin,26467.555555555555
03M,2016-01-01,gabapentin,22221.222222222223
04E,2016-01-01,gabapentin,40468.27777777778
02D,2016-01-01,gabapentin,21258.11111111111
00Q,2016-01-01,gabapentin,36602.38888888889
00N,2016-01-01,gabapentin,37748.88888888889
04V,2016-01-01,gabapentin,49395.666666666664
05C,2016-01-01,gabapentin,42535.27777777778
07G,2016-01-01,gabapentin,17949.5
08T,2016-01-01,gabapentin,9660.777777777777
04L,2016-01-01,gabapentin,23705.944444444445
05X,2016-01-01,gabapentin,26129.88888888889
05W,2016-01-01,gabapentin,52441.77777777778
05A,2016-01-01,gabapentin,59424.5
10A,2016-01-01,gabapentin,33217.0
11M,2016-01-01,gabapentin,79156.61111111111
05F,2016-01-01,gabapentin,25573.222222222223
07W,2016-01-01,gabapentin,19636.444444444445
06V,2016-01-01,gabapentin,34761.333333333336
15D,2016-01-01,gabapentin,35099.61111111111
01C,2016-01-01,gabapentin,34111.22222222222
01E,2016-01-01,gabapentin,25864.944444444445
07M,2016-01-01,gabapentin,27904.166666666668
99G,2016-01-01,gabapentin,14602.444444444445
02M,2016-01-01,gabapentin,44813.333333333336
08Q,2016-01-01,gabapentin,25126.944444444445
03D,2016-01-01,gabapentin,24624.444444444445
01J,2016-01-01,pregabalin,54923.38333333333
10D,2016-01-01,pregabalin,23780.75
06P,2016-01-01,pregabalin,21545.416666666668
08G,2016-01-01,pregabalin,39843.85
07H,2016-01-01,pregabalin,41735.61666666667
05X,2016-01-01,pregabalin,36850.566666666666
01A,2016-01-01,pregabalin,62980.15
99A,2016-01-01,pregabalin,141585.1
09A,2016-01-01,pregabalin,25816.033333333333
04F,2016-01-01,pregabalin,27046.7
15D,2016-01-01,pregabalin,32595.866666666665
03N,2016-01-01,pregabalin,116175.3
01C,2016-01-01,pregabalin,33387.11666666667
06F,2016-01-01,pregabalin,38831.35
05C,2016-01-01,pregabalin,40488.38333333333
12D,2016-01-01,pregabalin,41242.333333333336
09D,2016-01-01,pregabalin,52486.53333333333
02D,2016-01-01,pregabalin,21733.5
13T,2016-01-01,pregabalin,124099.33333333333
09F,2016-01-01,pregabalin,27159.833333333332
04H,2016-01-01,pregabalin,22617.916666666668
09P,2016-01-01,pregabalin,30319.816666666666
15N,2016-01-01,pregabalin,257046.58333333334
15E,2016-01-01,pregabalin,185779.61666666667
05Y,2016-01-01,pregabalin,72139.6
04N,2016-01-01,pregabalin,14920.833333333334
01K,2016-01-01,pregabalin,58779.316666666666
11N,2016-01-01,pregabalin,129021.68333333333
00N,2016-01-01,pregabalin,34477.7
04G,2016-01-01,pregabalin,76890.65
10L,2016-01-01,pregabalin,33158.15
02Y,2016-01-01,pregabalin,50725.933333333334
02T,2016-01-01,pregabalin,32997.65
04L,2016-01-01,pregabalin,21411.233333333334
06T,2016-01-01,pregabalin,98414.96666666666
15A,2016-01-01,pregabalin,59810.76666666667
08W,2016-01-01,pregabalin,31088.866666666665
09C,2016-01-01,pregabalin,20486.25
06W,2016-01-01,pregabalin,54258.7
06N,2016-01-01,pregabalin,44498.53333333333
02G,2016-01-01,pregabalin,25153.916666666668
06Q,2016-01-01,pregabalin,94160.56666666667
07P,2016-01-01,pregabalin,33100.183333333334
05W,2016-01-01,pregabalin,48933.26666666667
06K,2016-01-01,pregabalin,55506.05
02F,2016-01-01,pregabalin,40546.4
03E,2016-01-01,pregabalin,25073.7
09N,2016-01-01,pregabalin,26763.15
04K,2016-01-01,pregabalin,48328.98333333333
03L,2016-01-01,pregabalin,50214.8
12F,2016-01-01,pregabalin,64499.75
00J,2016-01-01,pregabalin,55165.1
07L,2016-01-01,pregabalin,28294.95
01G,2016-01-01,pregabalin,47919.333333333336
00P,2016-01-01,pregabalin,64950.0
99E,2016-01-01,pregabalin,49723.95
08T,2016-01-01,pregabalin,19164.25
07L,2016-01-01,gabapentin,11632.888888888889
02E,2016-01-01,gabapentin,32088.11111111111
05T,2016-01-01,gabapentin,40457.166666666664
02Q,2016-01-01,gabapentin,23302.11111111111
00T,2016-01-01,gabapentin,53804.944444444445
14Y,2016-01-01,gabapentin,52086.72222222222
06N,2016-01-01,gabapentin,56656.72222222222
15C,2016-01-01,gabapentin,106832.5
