month,pct,enteric_coated,total_aspirin
2013-04-01,04M,990,4264
2013-04-01,04V,3587,17673
2013-04-01,08K,1683,10241
2013-04-01,08V,1103,10208
2013-04-01,06L,3292,19087
2013-04-01,14Y,2875,18789
2013-04-01,99F,1127,7347
2013-04-01,04C,3395,16379
2013-04-01,04F,1128,6130
2013-04-01,04K,2413,12079
2013-04-01,15M,6572,46119
2013-04-01,05V,2639,7193
2013-04-01,10E,611,6784
2013-04-01,10K,882,7915
2013-04-01,01H,2679,21615
2013-04-01,10G,0,0
2013-04-01,01J,1332,10785
2013-04-01,07Y,1455,9789
2013-04-01,04G,4582,36500
2013-04-01,08P,1350,7878
2013-04-01,05F,1346,8738
2013-04-01,03F,2119,15049
2013-04-01,03K,3084,10270
2013-04-01,07V,2039,12632
2013-04-01,07K,2999,14114
2013-04-01,03T,4455,18819
2013-04-01,02H,5240,16008
2013-04-01,03Q,2977,14836
2013-04-01,05R,2262,12733
2013-04-01,01K,4800,21392
2013-04-01,05A,2530,21616
2013-04-01,09G,4412,23931
2013-04-01,01E,5607,10635
2013-04-01,00K,1493,15437
2013-04-01,06K,6674,27002
2013-04-01,10X,504,7179
2013-04-01,08T,1127,7279
2013-04-01,09P,1189,9879
2013-04-01,11A,3184,21939
2013-04-01,07T,1237,5938
2013-04-01,12D,3125,10581
2013-04-01,09J,2896,11175
2013-04-01,07J,2340,11700
2013-04-01,00N,1849,11178
2013-04-01,00C,1318,6350
2013-04-01,05D,2933,7641
2013-04-01,02P,5677,19290
2013-04-01,10D,424,3785
2013-04-01,11M,4518,31875
2013-04-01,04Y,1725,6620
2013-04-01,10R,660,8298
2013-04-01,00L,3082,19995
2013-04-01,01G,2543,15862
2013-04-01,05J,1068,6714
2013-04-01,05T,3779,15415
2013-04-01,03L,2218,15332
2013-04-01,06Q,2375,18824
2013-04-01,01D,2445,9949
2013-04-01,01W,2258,15564
2013-04-01,08A,1712,9520
2013-04-01,00V,1481,8795
2013-04-01,09A,1397,4988
2013-04-01,05W,6402,15788
2013-04-01,09W,1231,9563
2013-04-01,02Q,1367,6040
2013-04-01,07R,118,4405
2013-04-01,09D,1899,10981
2013-04-01,03R,4067,20973
2013-04-01,10J,837,7141
2013-04-01,02T,1406,11142
2013-04-01,05L,4509,20091
2013-04-01,11J,5079,39504
2013-04-01,00J,3030,16275
2013-04-01,06A,2945,14005
2013-04-01,03W,3192,14853
2013-04-01,06V,1333,12664
2013-04-01,10T,0,0
2013-04-01,99E,2346,9234
2013-04-01,01T,776,9016
2013-04-01,09Y,2161,9442
2013-04-01,02N,1496,7341
2013-04-01,07N,854,8313
2013-04-01,04Q,2643,9350
2013-04-01,05X,1447,5897
2013-04-01,08L,1242,6775
2013-04-01,02Y,3754,18355
2013-04-01,06W,470,7991
2013-04-01,07W,3198,15243
2013-04-01,00X,3267,10054
2013-04-01,01R,1211,7944
2013-04-01,08F,1471,11339
2013-04-01,02X,3559,18377
2013-04-01,99D,3263,12893
2013-04-01,03J,2316,10969
2013-04-01,99C,2731,14167
2013-04-01,10Q,4121,25710
2013-04-01,04D,4859,14386
2013-04-01,08G,2272,11074
2013-04-01,07Q,2070,10021
2013-04-01,03V,283,3724
2013-04-01,08X,2304,10177
2013-04-01,00T,2551,14820
2013-04-01,00R,5218,14195
2013-04-01,10A,1125,8802
2013-04-01,01X,1033,10883
2013-04-01,00Y,2709,10627
2013-04-01,00M,5334,18378
2013-04-01,03H,1809,8990
2013-04-01,06T,3708,19979
2013-04-01,09X,1044,7214
2013-04-01,01C,986,10698
2013-04-01,99N,4392,21276
2013-04-01,01Y,1609,13449
2013-04-01,15F,13125,41539
2013-04-01,15C,8585,38442
2013-04-01,10C,409,2425
2013-04-01,05N,3474,14059
2013-04-01,04L,1790,6561
2013-04-01,06N,5214,20041
2013-04-01,04H,2111,7627
2013-04-01,03N,4621,33505
2013-04-01,02W,1657,5713
2013-04-01,08E,1719,11877
2013-04-01,02F,1348,10981
2013-04-01,09F,837,10097
2013-04-01,09C,403,4859
2013-04-01,02G,1500,5411
2013-04-01,09L,1046,5531
2013-04-01,03A,1742,10659
2013-04-01,00P,2071,24680
2013-04-01,08J,659,5698
2013-04-01,07X,3056,12633
2013-04-01,03D,2381,9139
2013-04-01,08W,1394,7554
2013-04-01,99M,1489,6353
2013-04-01,99K,1377,7758
2013-04-01,02A,3057,13857
2013-04-01,12F,1609,16580
2013-04-01,06M,1154,10437
2013-04-01,15N,4997,61066
2013-04-01,15D,4277,14586
2013-04-01,06P,1606,7226
2013-04-01,10L,915,9268
2013-04-01,05Y,2762,11029
2013-04-01,08Q,1527,8567
2013-04-01,99H,2705,9509
2013-04-01,05G,4264,11964
2013-04-01,06Y,1228,12830
2013-04-01,02E,696,9097
2013-04-01,99J,3933,23757
2013-04-01,08R,1466,6951
2013-04-01,00D,5696,23573
2013-04-01,06H,5724,41054
2013-04-01,15A,739,16098
2013-04-01,04N,1767,6269
2013-04-01,99G,875,5908
2013-04-01,06D,646,5162
2013-04-01,05C,2518,14017
2013-04-01,01F,881,7312
2013-04-01,08H,972,4263
2013-04-01,09E,1071,7936
2013-04-01,09H,866,5017
2013-04-01,11E,1148,9774
2013-04-01,04E,3656,13256
2013-04-01,02M,3685,13333
2013-04-01,15E,9074,48664
2013-04-01,02R,4306,15144
2013-04-01,07H,2725,13333
2013-04-01,01V,652,7284
2013-04-01,05H,1936,11678
2013-04-01,14L,3431,24967
2013-04-01,03E,1378,7672
2013-04-01,07P,1741,11775
2013-04-01,03M,1399,7728
2013-04-01,11D,12,94
2013-04-01,11X,2666,26773
2013-04-01,99A,4176,25477
2013-05-01,01Y,1706,14072
2013-05-01,02P,5876,20298
2013-05-01,07Q,2218,10550
2013-05-01,03F,2156,15516
2013-05-01,04G,4789,38571
2013-05-01,05W,6638,16535
2013-05-01,10K,880,8129
2013-05-01,08M,419,14337
2013-05-01,11E,1228,10409
2013-05-01,99N,4532,21795
2013-05-01,04K,2489,12481
2013-05-01,08N,2062,8947
2013-05-01,00X,3312,10278
2013-05-01,07R,132,4405
2013-05-01,05A,2577,22343
2013-05-01,04H,2028,7768
2013-05-01,00V,1423,8550
2013-05-01,02X,3943,19856
2013-05-01,04Q,2656,9667
2013-05-01,07P,1888,12119
2013-05-01,01V,660,7654
2013-05-01,99K,1419,7938
2013-05-01,00L,3098,20236
2013-05-01,10V,1432,9772
2013-05-01,06F,2918,18179
2013-05-01,00M,5606,19333
2013-05-01,09X,1117,7524
2013-05-01,06T,3968,21129
2013-05-01,02H,5431,16684
2013-05-01,03L,2312,16058
2013-05-01,02D,715,6069
2013-05-01,01A,6319,22595
2013-05-01,03M,1495,7895
2013-05-01,00T,2693,15469
2013-05-01,00C,1352,6357
2013-05-01,10G,0,0
2013-05-01,07G,1013,6995
2013-05-01,04V,3924,18733
2013-05-01,05G,4379,12065
2013-05-01,08L,1285,6921
2013-05-01,04N,1817,6583
2013-05-01,03D,2452,9578
2013-05-01,05D,3113,8065
2013-05-01,05V,2823,7539
2013-05-01,10Q,4247,26204
2013-05-01,99M,1562,6623
2013-05-01,02N,1622,8010
2013-05-01,08R,1551,7247
2013-05-01,04F,1184,6507
2013-05-01,05T,3668,15759
2013-05-01,02W,1759,6019
2013-05-01,05X,1432,5947
2013-05-01,01W,2346,16167
2013-05-01,01R,1297,8573
2013-05-01,03K,3230,10751
2013-05-01,08F,1592,12585
2013-05-01,06P,1563,7206
2013-05-01,10T,0,0
2013-05-01,07Y,1491,9935
2013-05-01,05N,3762,15067
2013-05-01,05R,2292,13302
2013-05-01,99F,1199,7794
2013-05-01,11D,15,108
2013-05-01,09G,4496,24847
2013-05-01,05Y,2865,11409
2013-05-01,09L,1093,5603
2013-05-01,10A,1148,8634
2013-05-01,08Y,929,5341
2013-05-01,06Y,1250,13331
2013-05-01,06V,1360,13039
2013-05-01,03V,293,3787
2013-05-01,99J,4008,24528
2013-05-01,07X,3118,12658
2013-05-01,03A,1826,11043
2013-05-01,07W,3232,15533
2013-05-01,10C,421,2607
2013-05-01,01F,897,7661
2013-05-01,09H,941,5338
2013-05-01,00D,5884,24476
2013-05-01,07M,2477,11217
2013-05-01,04L,1756,6764
2013-05-01,09J,2972,11754
2013-05-01,06W,462,8330
2013-05-01,04C,3524,16843
2013-05-01,14Y,3050,19703
2013-05-01,03H,1951,9504
2013-05-01,01E,6095,11353
2013-05-01,08V,1215,10568
2013-05-01,01C,995,11153
2013-05-01,02Q,1500,6655
2013-05-01,15A,690,16574
2013-05-01,99E,2507,9806
2013-05-01,00Q,3129,9933
2013-05-01,10R,710,8556
2013-05-01,15E,9367,49562
2013-05-01,01J,1382,11255
2013-05-01,11A,3230,22354
2013-05-01,04D,4942,14662
2013-05-01,01H,2740,22409
2013-05-01,12D,3222,10883
2013-05-01,05H,1999,12289
2013-05-01,06K,6777,27706
2013-05-01,06A,2854,13993
2013-05-01,00K,1572,16285
2013-05-01,08W,1431,7346
2013-05-01,07L,916,7093
2013-05-01,12F,1621,17003
2013-05-01,09F,754,10238
2013-05-01,05Q,1674,11323
2013-05-01,15D,4334,14837
2013-05-01,11M,4865,33263
2013-05-01,03J,2290,10915
2013-05-01,08J,716,5921
2013-05-01,03R,4202,21405
2013-05-01,00J,3014,16718
2013-05-01,99D,3358,12997
2013-05-01,01K,4733,21204
2013-05-01,04Y,1851,7081
2013-05-01,06N,5235,20483
2013-05-01,02G,1461,5585
2013-05-01,02M,3817,13851
2013-05-01,08D,1320,9101
2013-05-01,08C,1506,5458
2013-05-01,06H,5940,43160
2013-05-01,07K,2975,14173
2013-05-01,06Q,2393,19608
2013-05-01,06D,670,5466
2013-05-01,15C,8732,39598
2013-05-01,08G,2387,11442
2013-05-01,07J,2428,11850
2013-05-01,14L,3620,26185
2013-05-01,09Y,2274,9667
2013-05-01,08E,1788,12273
2013-05-01,11N,6493,33183
2013-05-01,08Q,1503,8663
2013-05-01,01X,1102,11596
2013-05-01,02R,4533,15697
2013-05-01,10J,885,7389
2013-05-01,04E,3684,13650
2013-05-01,10X,507,7202
2013-05-01,07T,1244,6043
2013-05-01,03W,3324,15672
2013-05-01,00P,2059,25650
2013-05-01,02T,1537,11654
2013-05-01,00Y,2806,10927
2013-05-01,09D,1947,10877
2013-05-01,99A,4369,26755
2013-05-01,00N,1779,11662
2013-05-01,07V,2046,12909
2013-05-01,09P,1200,10156
2013-05-01,03T,4731,20046
2013-05-01,11J,5178,40173
2013-05-01,09E,1156,8370
2013-05-01,03Q,3148,15641
2013-05-01,01T,760,9228
2013-05-01,01D,2551,10295
2013-05-01,02Y,3712,19004
2013-05-01,13T,4947,32020
2013-05-01,04M,988,4505
2013-05-01,03N,4731,34855
2013-05-01,99H,2785,9669
2013-05-01,08A,1779,9995
2013-05-01,08P,1412,8174
2013-05-01,08K,1509,9736
2013-05-01,02F,1414,11597
2013-05-01,09A,1463,5147
2013-05-01,15F,13754,43885
2013-05-01,05J,1059,6607
2013-05-01,00R,5484,14980
2013-05-01,07H,2787,13520
2013-05-01,10E,632,7189
2013-05-01,05L,4711,21116
2013-05-01,15M,6789,47848
2013-05-01,01G,2696,16204
2013-05-01,05F,1358,9005
2013-05-01,08H,948,4237
2013-05-01,07N,833,8273
2013-05-01,09C,431,4976
2013-05-01,02E,754,9556
2013-05-01,09N,1976,7363
2013-05-01,06M,1159,10849
2013-05-01,03E,1491,8166
2013-05-01,11X,2649,27594
2013-05-01,99G,946,6182
2013-05-01,02A,3189,14598
2013-05-01,08X,2446,10617
2013-05-01,09W,1295,10309
2013-05-01,05C,2607,14504
2013-05-01,15N,5268,63814
2013-05-01,10D,470,3946
2013-05-01,06L,3298,19983
2013-05-01,99C,2744,14615
2013-05-01,08T,1121,7578
2013-05-01,10L,946,9576
2013-06-01,04H,1889,7078
2013-06-01,11D,0,0
2013-06-01,01J,1214,10075
2013-06-01,07X,2874,12103
2013-06-01,04C,3229,15631
2013-06-01,09G,4250,22991
2013-06-01,08F,1398,10999
2013-06-01,06K,6325,26049
2013-06-01,07M,2260,10335
2013-06-01,07T,1111,5577
2013-06-01,09C,383,4544
2013-06-01,08W,1263,7027
2013-06-01,11X,2412,25421
2013-06-01,09L,977,5228
2013-06-01,01D,2329,9571
2013-06-01,03J,2055,9742
2013-06-01,15A,676,15535
2013-06-01,04Y,1729,6474
2013-06-01,04G,4360,33877
2013-06-01,05G,4044,11371
2013-06-01,05Y,2665,10486
2013-06-01,99M,1421,6015
2013-06-01,09P,1102,9328
2013-06-01,05D,2746,7169
2013-06-01,06H,5208,38586
2013-06-01,15N,4793,57463
2013-06-01,02X,3444,17681
2013-06-01,06Y,1089,12332
2013-06-01,08A,1593,9369
2013-06-01,10L,835,8533
2013-06-01,06W,428,7507
2013-06-01,05J,946,5820
2013-06-01,09Y,2174,9228
2013-06-01,02M,3447,12334
2013-06-01,01G,2407,14968
2013-06-01,11E,1059,9293
2013-06-01,09D,1700,10080
2013-06-01,10V,1268,8817
2013-06-01,00Y,2623,10095
2013-06-01,03L,2068,14261
2013-06-01,00X,3006,9325
2013-06-01,08T,1039,6840
2013-06-01,11N,5962,30765
2013-06-01,03K,2951,9852
2013-06-01,02H,4693,14655
2013-06-01,15D,3999,13804
2013-06-01,02Y,3529,17500
2013-06-01,06P,1407,6767
2013-06-01,03N,4219,31029
2013-06-01,00Q,2720,8785
2013-06-01,06V,1263,11904
2013-06-01,05F,1274,8283
2013-06-01,07W,3120,14876
2013-06-01,03A,1617,9825
2013-06-01,99N,4203,20076
2013-06-01,05W,5949,15072
2013-06-01,02R,3943,13788
2013-06-01,03H,1744,8398
2013-06-01,09J,2678,10512
2013-06-01,11J,4852,37379
2013-06-01,06T,3549,19274
2013-06-01,04F,1070,5884
2013-06-01,99G,803,5507
2013-06-01,99A,3923,24033
2013-06-01,04K,2257,11336
2013-06-01,10R,644,7870
2013-06-01,08X,2306,10216
2013-06-01,06F,2759,16972
2013-06-01,09X,977,6745
2013-06-01,99J,3947,23031
2013-06-01,99K,1200,6960
2013-06-01,00P,1817,23055
2013-06-01,08N,1900,8503
2013-06-01,99H,2488,8930
2013-06-01,13T,4548,29715
2013-06-01,07N,832,7858
2013-06-01,00M,5060,17294
2013-06-01,06Q,2174,17994
2013-06-01,05C,2402,13429
2013-06-01,08P,1226,7212
2013-06-01,05V,2482,6780
2013-06-01,10J,806,6733
2013-06-01,00K,1420,14491
2013-06-01,03D,2218,8343
2013-06-01,00T,2234,13457
2013-06-01,08J,609,5406
2013-06-01,03Q,2805,14045
2013-06-01,03F,1932,14330
2013-06-01,01T,674,8420
2013-06-01,09E,1067,7609
2013-06-01,05H,1842,11126
2013-06-01,04Q,2349,8492
2013-06-01,07K,2752,13195
2013-06-01,01R,1107,7512
2013-06-01,08G,2161,10666
2013-06-01,10A,1053,7779
2013-06-01,01X,1004,10277
2013-06-01,08D,1202,8402
2013-06-01,15F,12219,38993
2013-06-01,06D,614,4761
2013-06-01,03T,4221,17990
2013-06-01,10D,415,3573
2013-06-01,02E,679,8639
2013-06-01,10C,374,2314
2013-06-01,03W,3090,14294
2013-06-01,00R,4861,13331
2013-06-01,08H,922,4078
2013-06-01,02N,1403,6976
2013-06-01,06A,2845,13335
2013-06-01,05A,2269,20364
2013-06-01,14Y,2806,18306
2013-06-01,15E,8589,45768
2013-06-01,99F,1054,6748
2013-06-01,02Q,1303,5785
2013-06-01,05T,3421,14268
2013-06-01,02W,1585,5487
2013-06-01,09A,1415,4943
2013-06-01,10G,0,0
2013-06-01,07G,890,6263
2013-06-01,00N,1685,10514
2013-06-01,08K,1407,9166
2013-06-01,00V,1475,8609
2013-06-01,08Y,882,5110
2013-06-01,04D,4428,13244
2013-06-01,09H,850,4744
2013-06-01,08L,1168,6622
2013-06-01,05Q,1605,10531
2013-06-01,03E,1332,7437
2013-06-01,03R,3785,19213
2013-06-01,06L,3126,18505
2013-06-01,05L,4317,19587
2013-06-01,00L,2805,18262
2013-06-01,05X,1323,5527
2013-06-01,04N,1617,6082
2013-06-01,99C,2476,12969
2013-06-01,05N,3361,13542
2013-06-01,02T,1321,10463
2013-06-01,06M,1046,9940
2013-06-01,04M,935,3966
2013-06-01,07Q,2055,9673
2013-06-01,10E,589,6567
2013-06-01,02F,1247,10341
2013-06-01,15C,8320,36576
2013-06-01,08R,1424,6576
2013-06-01,02A,2800,12971
2013-06-01,07Y,1452,9699
2013-06-01,04V,3404,16896
2013-06-01,01E,5439,10385
2013-06-01,02G,1416,5164
2013-06-01,04E,3309,12191
2013-06-01,01A,5680,20276
2013-06-01,10K,796,7497
2013-06-01,01F,833,6963
2013-06-01,07R,88,4076
2013-06-01,09F,752,9442
2013-06-01,00C,1186,5801
2013-06-01,07H,2594,12883
2013-06-01,01K,4480,19701
2013-06-01,10X,479,6771
2013-06-01,07J,2261,11190
2013-06-01,08M,403,13675
2013-06-01,01Y,1502,12535
2013-06-01,06N,5067,19542
2013-06-01,12D,2941,9883
2013-06-01,00J,2797,14923
2013-06-01,10T,0,0
2013-06-01,09W,1164,9138
2013-06-01,99E,2266,8979
2013-06-01,00D,5432,22212
2013-06-01,11A,2940,20577
2013-06-01,07L,789,6530
2013-06-01,01H,2550,20519
2013-06-01,15M,5993,42937
2013-06-01,99D,3106,12162
2013-06-01,05R,2099,12137
2013-06-01,08C,1410,5104
2013-06-01,04L,1625,6037
2013-06-01,03V,258,3470
2013-06-01,03M,1284,7292
2013-06-01,12F,1475,15334
2013-06-01,07V,1907,12246
2013-06-01,08E,1635,11263
2013-06-01,09N,1789,6688
2013-06-01,01C,891,10051
2013-06-01,02D,623,5475
2013-06-01,11M,4279,30393
2013-06-01,07P,1656,11255
2013-06-01,08Q,1395,8155
2013-06-01,10Q,3841,24283
2013-06-01,01W,2131,14719
2013-06-01,14L,3268,23627
2013-06-01,02P,5096,17712
2013-06-01,08V,1072,9882
2013-06-01,01V,619,6947
2013-07-01,15D,4337,14823
2013-07-01,02W,1746,6074
2013-07-01,05L,4625,21038
2013-07-01,01C,974,10953
2013-07-01,08W,1433,7679
2013-07-01,99K,1284,7614
2013-07-01,05X,1419,5970
2013-07-01,03N,4702,34528
2013-07-01,05F,1282,8823
2013-07-01,03M,1464,7893
2013-07-01,03E,1415,8030
2013-07-01,02T,1520,11797
2013-07-01,00K,1547,15972
2013-07-01,03H,1830,9225
2013-07-01,99H,2764,9777
2013-07-01,00P,2038,25490
2013-07-01,01X,1083,11310
2013-07-01,10R,729,8588
2013-07-01,08J,698,5879
2013-07-01,07V,2049,13073
2013-07-01,05A,2503,22236
2013-07-01,07M,2446,11097
2013-07-01,07R,127,4544
2013-07-01,11D,0,0
2013-07-01,04V,3740,18482
2013-07-01,99M,1558,6531
2013-07-01,08G,2285,11388
2013-07-01,09N,1982,7260
2013-07-01,12F,1611,16766
2013-07-01,02G,1490,5622
2013-07-01,02M,3853,13741
2013-07-01,14L,3481,26064
2013-07-01,10J,911,7306
2013-07-01,10T,0,0
2013-07-01,07K,2974,13941
2013-07-01,07N,861,8570
2013-07-01,05G,4392,12086
2013-07-01,05R,2344,13061
2013-07-01,10G,0,0
2013-07-01,02R,4370,15265
2013-07-01,01R,1260,8245
2013-07-01,03J,2325,10894
2013-07-01,04F,1137,6421
2013-07-01,10K,825,7944
2013-07-01,04L,1755,6689
2013-07-01,09E,1128,8192
2013-07-01,05Q,1726,11575
2013-07-01,08X,2508,11199
2013-07-01,08D,1361,8996
2013-07-01,08E,1787,12445
2013-07-01,10D,430,3907
2013-07-01,06T,3839,20796
2013-07-01,06Y,1153,13015
2013-07-01,07H,2792,13624
2013-07-01,08K,1539,9973
2013-07-01,08P,1327,7872
2013-07-01,08M,448,14937
2013-07-01,00J,3178,16889
2013-07-01,05V,2774,7505
2013-07-01,15M,6639,46907
2013-07-01,09P,1158,9823
2013-07-01,06L,3379,19643
2013-07-01,03K,3170,10623
2013-07-01,00C,1360,6527
2013-07-01,09J,3006,11724
2013-07-01,07J,2302,11505
2013-07-01,07L,946,7066
2013-07-01,03T,4628,19367
2013-07-01,10C,425,2606
2013-07-01,11J,5199,40263
2013-07-01,00L,3009,19888
2013-07-01,05D,3058,7942
2013-07-01,09Y,2231,9932
2013-07-01,01Y,1618,13720
2013-07-01,03V,268,3771
2013-07-01,07X,3290,13203
2013-07-01,06P,1581,7179
2013-07-01,06F,2880,18057
2013-07-01,99J,4112,24574
2013-07-01,99F,1137,7443
2013-07-01,03F,2173,15565
2013-07-01,11M,4653,32402
2013-07-01,10L,879,9205
2013-07-01,05Y,3054,11747
2013-07-01,08N,2085,9179
2013-07-01,00R,5370,14477
2013-07-01,04G,4533,36651
2013-07-01,99A,4291,26536
2013-07-01,02H,5145,15818
2013-07-01,15F,13553,43420
2013-07-01,02F,1410,11315
2013-07-01,08Y,980,5616
2013-07-01,01D,2519,10226
2013-07-01,00Y,2737,10716
2013-07-01,00X,3285,10151
2013-07-01,09G,4517,24849
2013-07-01,06V,1362,13162
2013-07-01,01J,1336,10980
2013-07-01,02A,3074,14364
2013-07-01,03A,1723,10838
2013-07-01,15C,8743,39480
2013-07-01,12D,3205,11161
2013-07-01,01T,762,9167
2013-07-01,03Q,3076,15396
2013-07-01,99G,878,6130
2013-07-01,04Y,1898,7094
2013-07-01,02Q,1425,6397
2013-07-01,07W,3299,16300
2013-07-01,07G,920,6562
2013-07-01,04D,4910,14755
2013-07-01,02X,3737,18719
2013-07-01,03D,2478,9312
2013-07-01,10E,594,7024
2013-07-01,06K,6703,27449
2013-07-01,00V,1502,9051
2013-07-01,11E,1197,10133
2013-07-01,01E,5718,11034
2013-07-01,00T,2470,14542
2013-07-01,08R,1487,7135
2013-07-01,09W,1252,9945
2013-07-01,08Q,1483,8802
2013-07-01,14Y,2930,19262
2013-07-01,03R,4188,21142
2013-07-01,06M,1132,10769
2013-07-01,08F,1519,11906
2013-07-01,05T,3814,16047
2013-07-01,03W,3374,15678
2013-07-01,09C,419,4916
2013-07-01,11X,2548,27206
2013-07-01,05N,3730,14730
2013-07-01,06W,433,8205
2013-07-01,02N,1615,7799
2013-07-01,99E,2430,9720
2013-07-01,15A,723,16793
2013-07-01,99D,3323,12992
2013-07-01,04C,3353,16756
2013-07-01,08H,894,4254
2013-07-01,03L,2298,15729
2013-07-01,09A,1433,5125
2013-07-01,01W,2210,15945
2013-07-01,99C,2774,14613
2013-07-01,01A,6253,22166
2013-07-01,02E,720,9428
2013-07-01,08L,1224,7004
2013-07-01,04Q,2673,9579
2013-07-01,15N,5084,62328
2013-07-01,09D,1875,10773
2013-07-01,08V,1163,10580
2013-07-01,08A,1712,10015
2013-07-01,06H,5809,42115
2013-07-01,00D,5984,24701
2013-07-01,06Q,2350,19178
2013-07-01,10V,1409,9607
2013-07-01,07Y,1574,10224
2013-07-01,01G,2655,16027
2013-07-01,05W,6507,16331
2013-07-01,05C,2537,14295
2013-07-01,02D,705,6035
2013-07-01,11A,3122,22124
2013-07-01,04N,1814,6598
2013-07-01,09X,1051,7196
2013-07-01,00Q,3057,9746
2013-07-01,02P,5699,19813
2013-07-01,15E,9273,49803
2013-07-01,10A,1131,8740
2013-07-01,00N,1803,11557
2013-07-01,04H,2081,7710
2013-07-01,07Q,2168,10600
2013-07-01,05H,1923,12063
2013-07-01,09L,1096,5735
2013-07-01,13T,5079,32744
2013-07-01,04M,1039,4477
2013-07-01,05J,1064,6419
2013-07-01,07T,1172,6046
2013-07-01,06N,5213,20528
2013-07-01,10Q,4201,26124
2013-07-01,04E,3663,13591
2013-07-01,01H,2752,22306
2013-07-01,11N,6518,33467
2013-07-01,99N,4605,21836
2013-07-01,00M,5505,18885
2013-07-01,07P,1783,12218
2013-07-01,08C,1500,5515
2013-07-01,04K,2475,12484
2013-07-01,01F,857,7277
2013-07-01,01K,4806,21463
2013-07-01,01V,612,7465
2013-07-01,10X,523,7310
2013-07-01,06A,2859,14226
2013-07-01,09H,865,5086
2013-07-01,08T,1159,7723
2013-07-01,06D,700,5414
2013-07-01,02Y,3729,18605
2013-07-01,09F,761,10107
2013-08-01,07G,954,6659
2013-08-01,03M,1462,7964
2013-08-01,03E,1436,7966
2013-08-01,02Q,1374,6163
2013-08-01,13T,4698,30957
2013-08-01,02P,5510,19351
2013-08-01,10L,869,9113
2013-08-01,11M,4491,31833
2013-08-01,01V,649,7491
2013-08-01,05R,2246,12983
2013-08-01,04Y,1810,6976
2013-08-01,07V,1973,13070
2013-08-01,09H,895,5035
2013-08-01,00C,1325,6245
2013-08-01,04N,1707,6362
2013-08-01,02X,3689,18629
2013-08-01,10R,676,8253
2013-08-01,10V,1330,9367
2013-08-01,02H,5009,15894
2013-08-01,08Q,1426,8664
2013-08-01,08A,1715,9946
2013-08-01,06F,2908,18269
2013-08-01,00P,1978,24751
2013-08-01,07J,2422,11885
2013-08-01,01J,1282,10711
2013-08-01,03V,277,3669
2013-08-01,07N,836,8328
2013-08-01,06D,708,5226
2013-08-01,03N,4465,33071
2013-08-01,04G,4574,36320
2013-08-01,05Y,2764,11159
2013-08-01,02M,3719,13246
2013-08-01,06A,2915,13800
2013-08-01,09E,1132,8210
2013-08-01,11E,1200,10296
2013-08-01,04H,1983,7530
2013-08-01,05J,940,6099
2013-08-01,99K,1385,7743
2013-08-01,01K,4717,21136
2013-08-01,01F,818,6885
2013-08-01,99N,4461,21300
2013-08-01,00N,1701,11207
2013-08-01,00V,1437,8643
2013-08-01,09F,740,9915
2013-08-01,08N,2057,8960
2013-08-01,08X,2213,10587
2013-08-01,06L,3213,19267
2013-08-01,08H,896,4247
2013-08-01,02F,1313,11036
2013-08-01,00D,5652,23434
2013-08-01,01R,1236,8273
2013-08-01,10K,798,7510
2013-08-01,04E,3562,13469
2013-08-01,04D,4789,14676
2013-08-01,01X,1047,11016
2013-08-01,07L,828,6752
2013-08-01,04Q,2725,9271
2013-08-01,08E,1734,12093
2013-08-01,08Y,932,5209
2013-08-01,03H,1921,9204
2013-08-01,01G,2565,15712
2013-08-01,10G,0,0
2013-08-01,11A,3283,21929
2013-08-01,00R,5294,14397
2013-08-01,00X,3134,9773
2013-08-01,08G,2195,11170
2013-08-01,99M,1466,6447
2013-08-01,06M,1100,10785
2013-08-01,09G,4342,23858
2013-08-01,99H,2727,9637
2013-08-01,05H,1917,11937
2013-08-01,04L,1705,6536
2013-08-01,05L,4523,20439
2013-08-01,11X,2614,27016
2013-08-01,05F,1316,8574
2013-08-01,04V,3615,18039
2013-08-01,12D,3073,10487
2013-08-01,10D,428,3785
2013-08-01,04K,2426,12060
2013-08-01,05G,4151,11737
2013-08-01,03T,4748,20027
2013-08-01,08T,1091,7471
2013-08-01,02W,1788,6001
2013-08-01,09A,1398,4952
2013-08-01,04M,992,4261
2013-08-01,07X,2957,12477
2013-08-01,07T,1007,5499
2013-08-01,05C,2501,14002
2013-08-01,00K,1560,15714
2013-08-01,04F,1126,6254
2013-08-01,99A,4082,25432
2013-08-01,09J,2969,11447
2013-08-01,05A,2424,21663
2013-08-01,06N,5188,20395
2013-08-01,99C,2723,14337
2013-08-01,07Y,1516,10023
2013-08-01,08R,1473,6962
2013-08-01,10E,601,7037
2013-08-01,05X,1440,5905
2013-08-01,05D,2826,7511
2013-08-01,02N,1520,7518
2013-08-01,09Y,2162,9397
2013-08-01,08W,1329,7224
2013-08-01,09W,1246,10159
2013-08-01,11D,0,0
2013-08-01,00J,3107,16546
2013-08-01,03R,3957,20307
2013-08-01,99D,3404,13088
2013-08-01,09D,1850,10757
2013-08-01,03L,2219,15400
2013-08-01,99G,907,6066
2013-08-01,08J,684,5767
2013-08-01,06H,5714,41955
2013-08-01,06K,6548,27121
2013-08-01,06W,427,8013
2013-08-01,06Y,1182,13063
2013-08-01,07M,2274,10738
2013-08-01,09L,1105,5770
2013-08-01,11J,5266,40202
2013-08-01,10J,842,7065
