month,pct,dementia_register,items,cost
2017-10-01,00J,1997,1886,10330.55114
2016-11-01,00J,1997,1812,10254.269999999999
2018-07-01,00J,1997,1827,8929.32495
2018-10-01,00J,1997,2022,9797.968050000001
2010-09-01,00J,1997,640,31312.51999999999
2016-03-01,00J,1997,1663,9064.990000000002
2018-06-01,00J,1997,1927,10923.487179999996
2010-10-01,00K,2784,402,25973.15
2017-12-01,00K,2784,1286,15386.363279999998
2012-03-01,00K,2784,661,42801.300000000025
2019-01-01,00K,2784,1363,19038.44984
2019-02-01,00K,2784,1285,16974.272489999996
2017-07-01,00K,2784,1227,15070.974180000001
2014-02-01,00K,2784,906,14744.969999999988
2011-08-01,00K,2784,556,34818.47000000002
2014-05-01,00K,2784,1051,17830.779999999995
2016-01-01,00K,2784,1128,11534.959999999997
2018-05-01,00K,2784,1287,18148.851839999996
2018-03-01,00K,2784,1394,17740.594059999996
2016-12-01,00K,2784,1295,14823.899999999998
2010-12-01,00K,2784,482,30164.88000000001
2017-11-01,00K,2784,1298,15928.117659999998
2013-03-01,00K,2784,851,18232.42000000001
2014-08-01,00K,2784,1087,16223.060000000007
2018-04-01,00K,2784,1335,16490.868440000006
2011-11-01,00K,2784,573,35425.61999999999
2013-09-01,00K,2784,904,16399.370000000003
2018-06-01,00K,2784,1283,16651.383490000004
2015-06-01,00K,2784,1189,13615.37
2015-02-01,00K,2784,1028,14966.51
2018-10-01,00K,2784,1376,17669.96042
2011-09-01,00K,2784,555,33232.72000000002
2018-08-01,00K,2784,1377,18105.04945
2014-01-01,00K,2784,1090,19691.69000000001
2013-10-01,00K,2784,980,17441.58
2016-02-01,00K,2784,1222,14298.93
2015-04-01,00K,2784,1133,13652.360000000002
2013-11-01,00K,2784,928,15766.08
2014-03-01,00K,2784,978,17492.800000000003
2014-06-01,00K,2784,1021,16482.94000000001
2016-10-01,00K,2784,1219,14330.19
2017-03-01,00K,2784,1295,14214.97108
2014-12-01,00K,2784,1203,18371.220000000005
2018-09-01,00K,2784,1322,17365.09678
2017-05-01,00K,2784,1343,16108.630469999993
2012-11-01,00K,2784,816,17613.37
2015-09-01,00K,2784,1133,13282.0
2013-01-01,00K,2784,846,17571.980000000007
2018-07-01,00K,2784,1336,18190.53924
2016-09-01,00K,2784,1326,14893.869999999999
2010-09-01,00K,2784,492,30540.899999999994
2010-11-01,00K,2784,438,28100.909999999996
2016-03-01,00K,2784,1240,13429.809999999998
2011-06-01,00K,2784,504,30986.939999999995
2017-08-01,00K,2784,1290,15410.420410000002
2012-10-01,00K,2784,812,17973.849999999995
2013-08-01,00K,2784,940,17784.59999999999
2011-04-01,00K,2784,455,28292.890000000007
2012-09-01,00K,2784,733,18727.469999999994
2015-10-01,00K,2784,1158,12864.349999999999
2013-02-01,00K,2784,777,16301.89999999999
2012-05-01,00K,2784,696,44781.399999999994
2015-08-01,00K,2784,1050,11471.750000000002
2013-05-01,00K,2784,899,17371.56
2015-07-01,00K,2784,1229,14477.330000000005
2015-03-01,00K,2784,1215,16953.74000000001
2015-11-01,00K,2784,1176,12894.389999999996
2018-01-01,00K,2784,1327,14933.093830000002
2017-06-01,00K,2784,1314,16871.112060000003
2011-12-01,00K,2784,603,36843.92000000003
2015-01-01,00K,2784,1074,16025.09999999999
2017-01-01,00K,2784,1248,13603.088
2016-04-01,00K,2784,1189,13502.970000000001
2013-06-01,00K,2784,874,16187.560000000001
2016-06-01,00K,2784,1244,16069.589999999998
2016-08-01,00K,2784,1204,14129.469999999998
2012-01-01,00K,2784,592,36564.77999999998
2016-07-01,00K,2784,1243,15674.369999999999
2012-06-01,00K,2784,671,39103.100000000006
2016-11-01,00K,2784,1287,15005.8
2011-02-01,00K,2784,448,26714.109999999997
2014-11-01,00K,2784,1059,15969.659999999994
2017-10-01,00K,2784,1290,14487.71621
2014-09-01,00K,2784,1068,16752.880000000012
2011-05-01,00K,2784,485,29427.659999999993
2017-04-01,00K,2784,1150,13185.26067
2012-02-01,00K,2784,595,37988.670000000006
2018-02-01,00K,2784,1157,14282.711089999997
2017-09-01,00K,2784,1261,15806.53641
2014-10-01,00K,2784,1138,18248.329999999987
2013-12-01,00K,2784,975,16377.870000000008
2015-05-01,00K,2784,1055,12660.640000000001
2016-05-01,00K,2784,1225,14601.519999999999
2012-12-01,00K,2784,782,17819.43
2011-01-01,00K,2784,425,26246.16000000001
2013-07-01,00K,2784,955,18218.599999999995
2014-04-01,00K,2784,989,16003.880000000001
2018-11-01,00K,2784,1342,17519.789480000003
2014-07-01,00K,2784,1042,17800.160000000003
2011-07-01,00K,2784,488,29293.77999999999
2010-08-01,00K,2784,409,26391.3
2011-03-01,00K,2784,475,29237.789999999997
2012-08-01,00K,2784,757,19107.49999999999
2017-02-01,00K,2784,1131,13262.733670000001
2012-04-01,00K,2784,630,41339.50000000003
2018-12-01,00K,2784,1348,17532.584950000004
2013-04-01,00K,2784,885,18553.39
2012-07-01,00K,2784,743,19651.56
2011-10-01,00K,2784,508,31598.05000000001
2019-03-01,00K,2784,1358,17674.292749999997
2015-12-01,00K,2784,1317,15671.37
2018-09-01,00L,2976,1925,12515.669940000003
2017-09-01,00L,2976,1902,12373.51038
2014-02-01,00L,2976,1757,22242.28
2014-01-01,00L,2976,1793,23184.359999999986
2013-07-01,00L,2976,1676,24072.570000000003
2018-02-01,00L,2976,1704,11255.670950000003
2014-09-01,00L,2976,1993,23036.78
2015-08-01,00L,2976,2056,18036.38
2010-11-01,00L,2976,1077,50463.23000000001
2015-01-01,00L,2976,1951,20953.020000000004
2015-03-01,00L,2976,2112,21243.449999999997
2016-02-01,00L,2976,1926,14752.280000000002
