pct,month,total_list_size,list_size_over_55
5M3,2012-03-01 00:00:00+00:00,5555,1249
413,2012-03-01 00:00:00+00:00,0,0
13A,2012-03-01 00:00:00+00:00,0,0
RGD,2012-03-01 00:00:00+00:00,0,0
05Q,2012-03-01 00:00:00+00:00,209082,65591
RC3,2012-03-01 00:00:00+00:00,0,0
RNA,2012-03-01 00:00:00+00:00,0,0
12Q,2012-03-01 00:00:00+00:00,0,0
04M,2012-03-01 00:00:00+00:00,93459,29385
03X,2012-03-01 00:00:00+00:00,95996,29177
10E,2012-03-01 00:00:00+00:00,140911,47141
5PF,2012-03-01 00:00:00+00:00,789,65
07Y,2012-03-01 00:00:00+00:00,280207,54062
12G,2012-03-01 00:00:00+00:00,0,0
02E,2012-03-01 00:00:00+00:00,204308,56504
09H,2012-03-01 00:00:00+00:00,125350,29159
13C,2012-03-01 00:00:00+00:00,0,0
5PG,2012-03-01 00:00:00+00:00,3294,760
5QV,2012-03-01 00:00:00+00:00,0,0
5F1,2012-03-01 00:00:00+00:00,0,0
06D,2012-03-01 00:00:00+00:00,109699,38936
5F7,2012-03-01 00:00:00+00:00,2352,698
01Y,2012-03-01 00:00:00+00:00,235400,64074
5QQ,2012-03-01 00:00:00+00:00,0,0
5LD,2012-03-01 00:00:00+00:00,0,0
5N4,2012-03-01 00:00:00+00:00,0,0
5LQ,2012-03-01 00:00:00+00:00,0,0
5NH,2012-03-01 00:00:00+00:00,4366,1118
02D,2012-03-01 00:00:00+00:00,102153,29976
313,2012-03-01 00:00:00+00:00,0,0
11M,2012-03-01 00:00:00+00:00,615255,193835
06L,2012-03-01 00:00:00+00:00,387149,125787
5K5,2012-03-01 00:00:00+00:00,7442,1835
AA8,2012-03-01 00:00:00+00:00,0,0
NDA,2012-03-01 00:00:00+00:00,0,0
10A,2012-03-01 00:00:00+00:00,195578,66842
5A7,2012-03-01 00:00:00+00:00,2895,642
08E,2012-03-01 00:00:00+00:00,232580,57194
10N,2012-03-01 00:00:00+00:00,107019,28847
02T,2012-03-01 00:00:00+00:00,211010,58729
12V,2012-03-01 00:00:00+00:00,0,0
5N8,2012-03-01 00:00:00+00:00,0,0
114,2012-03-01 00:00:00+00:00,817,11
09C,2012-03-01 00:00:00+00:00,123061,35056
03W,2012-03-01 00:00:00+00:00,315168,102598
05H,2012-03-01 00:00:00+00:00,183653,56061
NDJ,2012-03-01 00:00:00+00:00,0,0
5K7,2012-03-01 00:00:00+00:00,4704,758
5L3,2012-03-01 00:00:00+00:00,4612,1143
12Y,2012-03-01 00:00:00+00:00,0,0
5A4,2012-03-01 00:00:00+00:00,1940,606
00L,2012-03-01 00:00:00+00:00,321055,112452
11J,2012-03-01 00:00:00+00:00,758824,268378
00G,2012-03-01 00:00:00+00:00,149332,32422
