year,month,pct,total_items,total_cost,actual_cost_per_1000
2014,2014-08-01,03W,46,1884.0700000000002,9.124665223434603
2014,2014-08-01,08L,11,813.6800000000001,9.342656700308867
2014,2014-09-01,15F,19,1126.33,7.347131805194974
2014,2014-09-01,00P,11,394.40999999999997,6.279814030506639
2014,2014-09-01,02X,5,306.28999999999996,11.198903107861058
2014,2014-09-01,08M,8,427.05,7.355448767632925
2014,2014-09-01,01X,1,28.57,2.693504289620062
2014,2014-09-01,02D,1,30.51,1.2854975983820678
2014,2014-09-01,09C,3,184.28,4.632711549097491
2014,2014-09-01,02H,6,491.58000000000004,14.166978875471917
2014,2014-09-01,02Y,10,308.46,3.281279918303087
2014,2014-09-01,04L,2,76.37,10.38200108754758
2014,2014-09-01,07K,1,30.5,2.8374732533258906
2014,2014-09-01,04F,2,122.0,5.498963310195619
2014,2014-09-01,06N,18,1189.8799999999999,7.301310686760591
2014,2014-09-01,09X,12,458.53,5.605432696421803
2014,2014-09-01,00L,4,152.53,4.8034893241796315
2014,2014-09-01,00J,11,476.28999999999996,4.174942804800014
2014,2014-09-01,03L,2,91.51,5.216028271773826
2014,2014-09-01,01K,2,117.62,7.344823279630323
2014,2014-09-01,11J,13,523.65,5.430307681139882
2014,2014-09-01,99A,6,269.08,7.453946092689548
2014,2014-09-01,07Q,4,330.02,7.861737100385915
2014,2014-09-01,08F,4,132.62,4.119145235432973
2014,2014-09-01,07J,4,152.52,4.306528122882313
2014,2014-09-01,06V,5,244.0,4.339166310997297
2014,2014-09-01,02T,5,341.84000000000003,6.638701157461354
2014,2014-09-01,10R,4,335.51,7.465067639729441
2014,2014-09-01,15E,24,1040.69,6.893995601367286
2014,2014-09-01,05A,9,425.63000000000005,6.035507153897422
2014,2014-09-01,99E,8,485.35,10.363418956718554
2014,2014-09-01,11A,8,399.08,4.074739636512151
2014,2014-09-01,03V,3,122.02000000000001,2.14284459898495
2014,2014-09-01,99G,9,460.09,7.350267593258247
2014,2014-09-01,13T,10,422.08,6.375349293859981
2014,2014-09-01,07R,10,694.9000000000001,9.79864068360642
2014,2014-09-01,04M,4,256.78999999999996,14.156008820286658
2014,2014-09-01,04V,13,482.26,5.308368831797818
2014,2014-09-01,08A,14,888.7599999999999,11.163503447929356
2014,2014-09-01,00C,2,61.02,6.048770816812054
2014,2014-09-01,11E,4,213.51999999999998,8.008401470257295
2014,2014-09-01,05W,27,827.31,8.745996003932637
2014,2014-09-01,04D,6,300.97,7.972081688872407
2014,2014-09-01,15N,43,1989.8499999999997,6.735071722074422
2014,2014-09-01,05L,7,396.62,7.769550227237111
2014,2014-09-01,04H,5,242.07999999999998,9.970345963756177
2014,2014-09-01,06M,1,63.54,9.970186725247135
2014,2014-09-01,06H,27,1094.58,4.348247520150638
2014,2014-09-01,01D,3,122.02000000000001,9.632904397252704
2014,2014-09-01,08Y,12,572.04,13.703526255270218
2014,2014-09-01,03K,4,121.37,2.781865273098169
2014,2014-09-01,10X,2,152.5,8.18660081597595
2014,2014-09-01,10V,11,573.56,6.234686667753682
2014,2014-09-01,14Y,4,216.04999999999998,3.6548644122274285
2014,2014-09-01,08P,4,122.04,3.542731072921505
2014,2014-09-01,08Q,5,246.56,10.59971626327329
2014,2014-09-01,10L,4,183.03,5.370598591549295
2014,2014-09-01,07G,2,41.11,3.3888385129008323
2014,2014-09-01,09H,4,254.6,5.4398222336175035
2014,2014-09-01,01E,3,188.08,11.483697643179877
2014,2014-09-01,02P,1,61.0,6.306865177832919
2014,2014-09-01,03J,4,204.2,6.180574472592996
2014,2014-09-01,08R,8,426.6,6.769494430162811
2014,2014-09-01,14L,2,61.02,5.671003717472119
2014,2014-09-01,08X,7,534.25,5.670239864147739
2014,2014-09-01,10C,2,122.0,3.093933860823696
2014,2014-09-01,04Q,3,143.19,4.154408564714074
2014,2014-09-01,05X,2,158.84,6.083259928765655
2014,2014-09-01,02A,1,30.51,3.32824260935966
2014,2014-09-01,09N,1,91.5,7.516017742730409
2014,2014-09-01,99F,8,358.0,5.534684538441322
2014,2014-09-01,09Y,2,61.02,3.798082908004482
2014,2014-09-01,00V,3,150.91,6.605243576837221
2014,2014-09-01,02F,2,92.11,5.559176775906813
2014,2014-09-01,00T,5,133.91,6.132814288985574
2014,2014-09-01,00N,4,216.06,11.214574898785425
2014,2014-09-01,08K,11,583.01,7.1936578444074275
2014,2014-09-01,15A,11,582.11,5.846003976941772
2014,2014-09-01,06F,14,645.6099999999999,5.882819262836574
2014,2014-09-01,07Y,11,1274.55,32.90435007099522
2014,2014-09-01,06K,17,612.66,4.82979897516752
2014,2014-09-01,15C,15,676.03,5.084958667739776
2014,2014-09-01,03D,7,235.01000000000002,5.326729980280605
2014,2014-09-01,01R,1,30.51,6.436708860759494
2014,2014-09-01,04Y,5,183.04,5.313824536956395
2014,2014-09-01,02E,3,306.27,10.529808155126178
2014,2014-09-01,06Q,6,183.05,2.8451304050483386
2014,2014-09-01,09J,7,307.58,5.018436939141784
2014,2014-09-01,03A,3,122.02000000000001,4.80885946244187
2014,2014-09-01,01F,1,61.0,7.8557630392788145
2014,2014-09-01,09D,6,319.09,10.992111336938923
2014,2014-09-01,07W,12,857.66,14.598468085106381
2014,2014-09-01,99J,22,941.24,6.428927578599383
2014,2014-09-01,07P,11,720.72,13.72381750323711
2014,2014-09-01,01A,6,585.12,12.075534000619133
2014,2014-09-01,09E,5,274.37,4.535791039841296
2014,2014-09-01,99K,7,374.91,9.302054386661373
2014,2014-09-01,11M,36,1496.85,7.975883456242805
2014,2014-09-01,08J,5,192.87,3.354669264084323
2014,2014-09-01,07X,12,358.05,5.004542595569222
2014,2014-09-01,09A,20,889.5600000000001,13.258611181494343
2014,2014-09-01,06T,10,462.31,7.872992626147374
2014,2014-09-01,01G,3,90.78,4.781166060989098
2014,2014-09-01,05V,6,274.51,5.52589729653562
2014,2014-09-01,07L,7,145.3,4.015476025977615
2014,2014-09-01,08T,3,89.59,3.8435797331502854
2014,2014-09-01,99N,15,613.89,6.1368748313056685
2014,2014-09-01,08H,10,734.56,9.580051124210966
2014,2014-09-01,08W,17,939.29,7.162225018109726
2014,2014-09-01,05D,3,214.76,8.64434068587989
2014,2014-09-01,03F,2,61.02,8.235929275205832
2014,2014-09-01,06W,3,213.51,7.346454254550459
2014,2014-09-01,01H,5,215.31999999999996,4.012074234180517
2014,2014-09-01,04C,12,686.09,8.44189880893789
2014,2014-09-01,10Q,11,501.18999999999994,5.981572760147513
2014,2014-09-01,10D,1,31.78,3.0069069921468445
2014,2014-09-01,03E,2,61.010000000000005,3.4743735763097954
2014,2014-09-01,04K,3,281.8,15.2563477884251
2014,2014-09-01,03N,8,287.69000000000005,8.419620123503762
2014,2014-09-01,07T,25,1236.18,8.971283011473734
2014,2014-09-01,08D,8,469.35999999999996,6.254047355727591
2014,2014-09-01,01C,4,183.03,6.580499029265837
2014,2014-09-01,00Q,4,152.25,5.806193272824346
2014,2014-09-01,08V,7,229.16,4.2612220610658635
2014,2014-09-01,08L,7,401.81,7.059081885420143
2014,2014-09-01,09W,14,488.25,10.056849780633998
2014,2014-09-01,03W,35,1325.3199999999997,6.773829177165695
2014,2014-09-01,11X,22,1068.57,8.243167143661623
2014,2014-09-01,99M,7,310.13,3.947733550579819
2014,2014-09-01,08C,4,216.05,14.02922077922078
2014,2014-09-01,03M,1,10.6,1.1982817092471172
2014,2014-09-01,07H,14,634.4,7.017932011018064
2014,2014-09-01,05Q,4,240.05,6.39127772304907
2014,2014-09-01,00D,8,429.57,7.901155091230135
2014,2014-09-01,01W,5,245.29999999999998,5.7301034829124715
2014,2014-09-01,03T,4,153.79000000000002,7.1387457642853835
2014,2014-09-01,99H,7,484.05,8.642206748794859
2014,2014-09-01,00M,7,173.70000000000002,3.5658564624733127
2014,2014-09-01,06P,10,447.89,7.039085951374373
2014,2014-09-01,05T,6,183.03,5.585291425083919
2014,2014-09-01,12D,5,164.39,6.149328545243706
2014,2014-09-01,00X,4,214.12,5.169358537939693
2014,2014-09-01,07M,16,691.63,6.5213660707550725
2014,2014-09-01,10J,6,275.8,5.4745032652494094
2014,2014-09-01,02M,2,91.51,10.23945395546604
2014,2014-09-01,02W,2,116.49,9.436208991494532
2014,2014-09-01,06L,8,279.63,4.3768782870022545
2014,2014-09-01,09F,7,307.57,4.2881840362495645
2014,2014-09-01,02N,5,185.56,4.488088039666223
2014,2014-09-01,12F,3,249.06,21.832047685834503
2014,2014-09-01,99D,3,152.5,6.6240986882112765
2014,2014-09-01,05G,9,361.34,7.133916408363112
2014,2014-09-01,01T,2,120.4,12.243237746593453
2014,2014-09-01,10K,6,439.82,12.09725774953929
2014,2014-09-01,09P,2,91.51,12.948917503891327
2014,2014-09-01,05N,11,429.62,5.297279968434811
2014,2014-09-01,07V,6,340.59999999999997,5.959337929103825
2014,2014-09-01,00Y,2,89.57,7.090160690255679
2014,2014-09-01,03Q,12,429.26,3.368858891853712
2014,2014-09-01,08E,7,265.23,6.490395203719565
2014,2014-09-01,11N,13,410.95000000000005,3.923487459543064
2014,2014-09-01,08G,5,305.02,9.268307505317532
2014,2014-09-01,06Y,4,132.27,4.0053901826000065
2014,2014-09-01,10E,4,185.56,4.697245848521669
2014,2014-09-01,03R,17,1347.9899999999998,9.807843422584398
2014,2014-09-01,04G,18,870.53,5.623070264963117
2014,2014-09-01,04E,2,45.44,4.450538687561214
2014,2014-09-01,07N,9,348.69999999999993,4.755994435200086
2014,2014-09-01,05F,4,132.62,12.472491300667732
2014,2014-09-01,15D,4,183.01999999999998,3.5625717789500317
2014,2014-09-01,02R,5,246.56,4.35372227715779
2014,2014-09-01,01J,3,152.51,3.59871634535973
2014,2014-09-01,08N,17,733.53,7.458211322596388
2014,2014-09-01,00K,2,41.11,1.6393507995374248
2014,2014-09-01,05R,5,183.04,3.7830687830687832
2014,2014-09-01,09L,6,199.23000000000002,3.840134153158189
2014,2014-09-01,09G,11,800.4099999999999,6.3037811188205355
2014,2014-09-01,05Y,3,92.80000000000001,3.84758903768813
2014,2014-09-01,03H,9,342.28999999999996,7.24530618292657
2014,2014-09-01,05C,6,315.62,6.65149311921772
2014,2014-09-01,15M,11,479.19,4.476319476879963
2014,2014-09-01,10A,3,91.53,3.8158169008212783
2014,2014-10-01,09N,3,153.73,5.215783402320689
2014,2014-10-01,15E,32,1736.5800000000002,9.454583070188812
2014,2014-10-01,03J,2,91.49000000000001,5.70777964938549
2014,2014-10-01,01A,3,248.99,9.770827610563906
2014,2014-10-01,99C,4,122.0,11.697027804410356
2014,2014-10-01,11X,13,774.2,7.474560234798896
2014,2014-10-01,10V,7,335.45000000000005,6.50777945912389
2014,2014-10-01,00J,5,243.22,5.665501979967388
2014,2014-10-01,05D,5,328.63,9.67298522399482
2014,2014-10-01,03K,4,120.07,2.7331497120484394
2014,2014-10-01,08V,5,214.75,5.579371265263704
2014,2014-10-01,04M,3,73.81,3.326273095989184
2014,2014-10-01,04Y,2,91.49000000000001,6.0194749654582544
2014,2014-10-01,08A,13,593.59,8.06070070613797
2014,2014-10-01,01R,4,217.63,5.7252972745448805
2014,2014-10-01,99E,7,298.3,8.952849725381915
2014,2014-10-01,06H,25,860.78,4.418765817423934
2014,2014-10-01,10E,3,249.0,23.633257403189067
2014,2014-10-01,01H,6,240.12,3.734776725304466
2014,2014-10-01,99M,8,367.22,5.331842666937698
2014,2014-10-01,05G,10,375.82000000000005,6.1670495569412545
2014,2014-10-01,10Q,11,579.38,6.131329699984126
2014,2014-10-01,14Y,3,155.01000000000002,5.304928131416839
2014,2014-10-01,07W,13,915.49,13.656895651525321
2014,2014-10-01,06V,6,262.03,6.472593434281056
2014,2014-10-01,15M,19,819.1800000000001,4.787502629917947
2014,2014-10-01,03V,7,165.64,2.4895542128836383
2014,2014-10-01,15D,3,152.48,6.124924683671419
2014,2014-10-01,07G,1,60.99,10.677521008403362
2014,2014-10-01,07L,20,340.52,7.381427208878869
2014,2014-10-01,00Y,3,243.94,15.09436297258833
2014,2014-10-01,07R,9,310.26,5.087563951200314
2014,2014-10-01,10C,3,121.99000000000001,3.0941510678232644
2014,2014-10-01,02H,3,385.88,12.82462029313038
2014,2014-10-01,15C,23,1260.8600000000001,8.249272138440904
2014,2014-10-01,02T,3,185.49,7.750062672348959
2014,2014-10-01,04N,2,154.99,6.275152840195959
2014,2014-10-01,02F,7,382.13,9.59908563390188
2014,2014-10-01,09Y,1,60.99,6.988655895496735
2014,2014-10-01,10A,1,31.77,14.640552995391705
2014,2014-10-01,04V,12,471.85,7.007395746703101
2014,2014-10-01,00C,1,30.5,3.0218963638165066
2014,2014-10-01,99D,4,286.26,5.900929686050586
2014,2014-10-01,02W,5,218.54,10.842429053383608
2014,2014-10-01,05Q,5,300.97,6.900924036411163
2014,2014-10-01,01D,1,30.5,9.170174383644017
2014,2014-10-01,99J,24,1054.9,6.171026769000375
2014,2014-10-01,01Y,2,152.46,11.900710327062681
2014,2014-10-01,09X,8,315.57,7.034395131628809
2014,2014-10-01,03L,3,268.42,7.901212763452255
2014,2014-10-01,12D,6,213.26000000000002,4.336756481952213
2014,2014-10-01,09E,2,61.0,3.160785532929167
2014,2014-10-01,13T,14,613.73,9.004254694835682
2014,2014-10-01,02D,1,10.6,1.3149733283711698
2014,2014-10-01,02E,1,243.91,35.69588760427337
2014,2014-10-01,09F,7,477.4,9.97659449970743
2014,2014-10-01,06Q,14,418.95,3.3368112525287925
2014,2014-10-01,00Q,4,152.56,6.684192078513845
2014,2014-10-01,08D,8,471.72999999999996,10.275998780115888
2014,2014-10-01,02R,2,41.1,1.8338390148134927
2014,2014-10-01,08Q,4,331.43999999999994,9.500659290259701
2014,2014-10-01,03R,13,1056.1299999999999,9.28400639954992
2014,2014-10-01,05F,3,182.96,17.24573475351117
2014,2014-10-01,14L,5,112.69,4.838557320738514
2014,2014-10-01,01G,3,89.57,4.676063690942312
2014,2014-10-01,12F,3,182.96,34.59255057666856
2014,2014-10-01,11N,15,493.55999999999995,4.899733947504268
2014,2014-10-01,10R,2,152.45999999999998,3.7787196074057543
2014,2014-10-01,04L,4,137.34,6.4195568851079745
2014,2014-10-01,10J,2,62.269999999999996,2.034900820234633
2014,2014-10-01,10D,1,60.99,5.71977867391916
2014,2014-10-01,15N,38,1560.83,5.6128811852704255
2014,2014-10-01,15F,16,1274.75,8.956235816512214
2014,2014-10-01,07M,25,1378.6100000000001,10.15790094165844
2014,2014-10-01,09G,16,981.67,5.905741082762313
2014,2014-10-01,06M,2,74.12,4.369767716071218
2014,2014-10-01,11J,15,725.74,8.127806833835438
2014,2014-10-01,03H,8,364.02,8.657660657375256
2014,2014-10-01,04H,6,303.0,12.427200393733083
2014,2014-10-01,07H,14,501.68000000000006,8.280597507633905
2014,2014-10-01,06N,11,588.2800000000001,5.563562768351964
2014,2014-10-01,10L,4,182.97,5.3512517547964435
2014,2014-10-01,03W,35,1382.27,6.949607589781748
2014,2014-10-01,04C,11,428.24,6.260544128181513
2014,2014-10-01,02N,6,204.23,5.956311245916939
2014,2014-10-01,08H,10,498.51000000000005,16.613123604492287
2014,2014-10-01,02A,2,51.68,2.71928439884241
2014,2014-10-01,01E,3,121.99,7.245782846281776
2014,2014-10-01,00D,11,518.4300000000001,7.33696575148599
2014,2014-10-01,08M,12,701.35,9.341120375056605
2014,2014-10-01,02Y,12,481.26000000000005,5.896565666466546
2014,2014-10-01,99A,5,151.0,5.036355146421186
2014,2014-10-01,08R,9,441.33000000000004,5.785127216957019
2014,2014-10-01,03A,6,459.92,9.933691872394652
2014,2014-10-01,06W,5,273.02,9.610334753071209
2014,2014-10-01,99F,5,335.42,8.396835728233114
2014,2014-10-01,07P,13,1013.84,14.436201569152344
2014,2014-10-01,05Y,13,487.96000000000004,8.318303472494502
2014,2014-10-01,03D,5,153.76999999999998,3.948997149387503
2014,2014-10-01,11A,8,670.8100000000001,5.624816575688208
2014,2014-10-01,05X,5,249.03,9.080401093892434
2014,2014-10-01,00K,2,71.59,3.0654277639804746
2014,2014-10-01,11M,49,2072.92,10.01014091036401
2014,2014-10-01,06Y,6,235.55,4.657992050465701
2014,2014-10-01,05W,22,845.91,9.110402688177832
2014,2014-10-01,05T,4,121.97999999999999,6.162162162162162
2014,2014-10-01,09A,12,486.13000000000005,15.903232138183725
2014,2014-10-01,03E,2,145.68,10.83767296533254
2014,2014-10-01,08W,12,637.5,7.527897502509299
2014,2014-10-01,06T,10,441.34000000000003,7.286926658521283
2014,2014-10-01,08T,3,89.57,3.8201049174734503
2014,2014-10-01,11E,3,182.95999999999998,7.766034211978436
2014,2014-10-01,03Q,11,366.03000000000003,2.3591551565229163
2014,2014-10-01,08C,7,268.97,5.389964330086971
2014,2014-10-01,06K,11,377.37,3.9707692793333123
2014,2014-10-01,99G,10,511.04,9.273931585155612
2014,2014-10-01,99K,4,283.3,9.73706822478089
2014,2014-10-01,00X,3,150.54,5.255183969838721
2014,2014-10-01,04Q,1,21.18,1.1485900216919738
2014,2014-10-01,04K,2,167.79,11.131086639246384
2014,2014-10-01,05L,6,321.58,7.863937593231115
2014,2014-10-01,09W,7,195.48000000000002,6.606955757596242
2014,2014-10-01,09L,6,164.35999999999999,3.566375905915028
2014,2014-10-01,08G,4,132.59,5.995207089889672
2014,2014-10-01,05V,3,121.97999999999999,3.313053397794557
2014,2014-10-01,01W,1,121.96,9.833104893977263
