pct,seven_day,all_QI,percent_7_day
02M,1242983,56745938,0.021904351990798
04F,1227765,56694187,0.021655923913328188
09H,648494,30924126,0.02097048757335939
AAX,7,336,0.020833333333333332
06V,850815,40930862,0.02078663772094514
NLO,812,39627,0.020491079314608727
RTF,14,686,0.02040816326530612
211,7,343,0.02040816326530612
RXA,189,9292,0.02034007748600947
06D,609784,30960277,0.019695689415181912
07G,727384,37130546,0.01958990853514516
09L,876323,45206616,0.019384839599584272
01C,1048509,54570047,0.019214002142970484
NDJ,84,4372,0.0192131747483989
04V,1623272,86005110,0.018874134339227053
10L,811062,44337991,0.018292709744110867
99N,2552116,139871060,0.018246204754578967
09G,2691549,147915165,0.01819657233928651
01V,631183,35095624,0.017984663842990797
03W,1365826,76388460,0.017880004388097365
07H,1283429,73197148,0.01753386621019715
00T,1407119,80737416,0.017428338305996813
06Q,1933624,111152732,0.017396099629831862
03K,933380,53893046,0.017319117572237426
02G,511252,29690198,0.017219555086833708
02N,630098,36949739,0.017052840346179442
RHA,70,4130,0.01694915254237288
06H,3421656,206161194,0.01659699351566619
05C,1258747,75902739,0.01658368349526886
04E,883904,55762592,0.015851200030299883
RM1,70,4519,0.01549015268864793
09Y,1189573,78677510,0.015119606606767297
99M,836990,55573959,0.015060830919028101
RBZ,49,3272,0.014975550122249388
99E,942641,63933282,0.014744135925948554
07J,723954,50243643,0.014408867605400348
99F,711403,49523335,0.014365005910849906
99H,1022455,71388968,0.014322310976676396
05R,1034327,72283659,0.014309278394443204
00K,1149435,81632792,0.014080554784895756
11N,2294579,163764758,0.014011433400096985
05N,1251180,90118809,0.013883672164375808
07R,587804,43294360,0.013576918563988473
04C,1064210,79351620,0.013411320399003826
01K,1337182,100210267,0.013343762470965175
720,14,1078,0.012987012987012988
01Y,920752,70953027,0.012976923451060093
15M,3485090,269514616,0.012930987015561338
NDA,357,27627,0.012922141383429253
03Q,1020040,79723102,0.012794785631898769
07K,847854,66270225,0.01279389046890968
03R,1216481,96271873,0.012635892105267341
09N,592886,46992645,0.012616570103683247
05X,565383,45306081,0.0124791857410929
99A,1540399,124199633,0.012402605086602791
10D,361067,29634351,0.012184069764173341
05D,403417,33201577,0.012150537307309228
15A,1330581,110964799,0.011991018881582438
05L,1464876,122347289,0.011973097336059486
06Y,613865,53048208,0.011571832926005719
04G,2104627,184437879,0.01141103449796232
10C,263284,23277598,0.011310617186532734
06L,1323378,118364079,0.011180571092011793
RRF,1568,140513,0.011159109833253862
10K,667702,60067878,0.01111579137188765
08H,438515,39475662,0.011108490086879353
10V,713846,64518473,0.011064211020617304
01D,702051,63942168,0.010979468196949468
09F,662851,63212647,0.010486050362675052
05Y,818020,78169258,0.010464727706638843
04Y,390033,37993601,0.010265755014903694
09P,632317,62507600,0.010115841913623304
212,91,9121,0.009976976208749041
RY6,112,11234,0.009969734733843688
00Y,673428,67679032,0.009950319620410647
02Y,850374,85479304,0.00994830280789371
01H,860643,86727564,0.009923523275714281
06T,950768,99411123,0.009564000197442695
14Y,1089018,117106522,0.009299379585365877
06F,1024961,112449900,0.00911482357921172
11J,1965474,218109135,0.009011424487103669
04M,242795,27054306,0.008974356984060135
05W,833455,94025552,0.008864133017799246
09C,262339,29996442,0.00874567056986292
RXC,35,4022,0.00870213823968175
05V,364917,42560898,0.008573996723471389
11A,1252622,146302187,0.00856188158007508
04H,304066,36170510,0.008406461506901617
00X,361361,45087021,0.008014745529539421
15E,2175047,273076867,0.007964962480692296
06P,366212,46123152,0.007939873666916779
RDR,7,889,0.007874015748031496
01T,330771,42892772,0.007711579004499872
01R,409584,53148504,0.007706406938565947
04K,537019,70397349,0.007628398052318703
03L,491204,64905557,0.007567980658420357
RXM,7,931,0.007518796992481203
05J,334971,45322211,0.007390879496148147
02X,577059,79005042,0.007304078137190282
99G,293832,41983079,0.00699881969114271
02F,406623,58804001,0.006914886624806363
08L,380163,55264790,0.006878936842065264
RXK,28,4088,0.00684931506849315
03D,262346,38526884,0.0068094268926602005
02Q,212387,31265335,0.006793050514251647
04N,195797,30099084,0.006505081682884436
05H,360640,56364774,0.006398322469988082
06M,414540,66820596,0.006203775853780173
03E,263620,42581095,0.006191010353303502
NWE,14,2276,0.006151142355008787
01A,608671,100637070,0.0060481788668926865
04L,220822,36836132,0.005994711931209281
RYW,98,16932,0.005787857311599339
01F,214522,37311437,0.005749497131402363
RFR,105,18531,0.005666180994010037
NNF,42,7716,0.005443234836702955
RY8,273,50440,0.005412371134020618
02E,291522,55159079,0.005285113625628158
05A,596862,113076540,0.005278389310461745
09E,256102,49827032,0.0051398204894082394
10X,295498,58985174,0.005009699556027418
RY3,7,1435,0.004878048780487805
RNA,14,3135,0.004465709728867623
RGR,21,4776,0.0043969849246231155
NV1,154,35085,0.004389340173863474
NLX,14,3193,0.004384591293454432
10A,231357,53917900,0.00429091266536716
RVW,105,25229,0.004161877204803995
RA9,14,3400,0.00411764705882353
05G,283493,69094963,0.004102947417455018
07Q,342986,85687653,0.004002747046882005
01J,177772,44629325,0.003983300217962069
ARD,7,1765,0.00396600566572238
00Q,175189,44366882,0.00394864349493841
RVR,7,1787,0.00391717963066592
11X,665889,171049385,0.003892963426907381
09X,233940,60575836,0.003861935970640174
10E,139755,36493871,0.003829547158754411
01X,205338,55501623,0.0036996755932704887
12F,350406,94915391,0.003691772180551835
RGQ,28,10644,0.0026305900037579856
00V,135296,55044848,0.0024579230375929096
RRE,112,45780,0.0024464831804281344
02H,255080,107426253,0.0023744661372485923
NT4,7,3172,0.0022068095838587644
RJC,7,3559,0.001966844619275077
NDL,175,92753,0.0018867314264767716
RYX,28,15043,0.0018613308515588647
RTR,21,12766,0.0016449945166849443
NVC,21,13637,0.0015399281366869546
RPG,21,16104,0.0013040238450074517
RJ7,28,21634,0.0012942590367014885
NYG,7,5784,0.0012102351313969572
03V,25473,21264872,0.0011978910571387403
NHT,21,18315,0.0011466011466011465
RFS,21,18461,0.0011375331780510264
NBF,7,6686,0.0010469638049655997
RJ2,7,7133,0.0009813542688910696
NTV,7,9891,0.0007077140835102619
RYY,42,60099,0.0006988469026106924
RTG,0,84,0.0
RN3,0,11660,0.0
RTD,0,5419,0.0
ATK,0,224,0.0
DEC,0,56,0.0
RXG,0,588,0.0
AT0,0,520,0.0
NWX,0,504,0.0
RW5,0,268,0.0
RXX,0,114,0.0
NL8,0,370,0.0
RQ3,0,150,0.0
NEQ,0,56,0.0
NL1,0,112,0.0
615,0,84,0.0
107,0,34,0.0
DNK,0,196,0.0
111,0,168,0.0
413,0,112,0.0
704,0,28,0.0
AKQ,0,364,0.0
NO0,0,126,0.0
NQH,0,616,0.0
AJ3,0,114,0.0
RNN,0,3932,0.0
RAJ,0,644,0.0
RCB,0,16599,0.0
R1D,0,482,0.0
218,0,56,0.0
NLG,0,504,0.0
NPR,0,231,0.0
NQL,0,313,0.0
AJ6,0,66,0.0
DJT,0,364,0.0
NX1,0,168,0.0
AC2,0,364,0.0
RT2,0,58,0.0
RRV,0,140,0.0
AQM,0,420,0.0
RV3,0,70,0.0
AXM,0,112,0.0
RLQ,0,31,0.0
116,0,28,0.0
ACD,0,28,0.0
NLF,0,1277,0.0
AWH,0,168,0.0
RCF,0,1582,0.0
RXQ,0,728,0.0
RQX,0,2441,0.0
AJT,0,560,0.0
RTX,0,3122,0.0
NMG,0,796,0.0
ADN,0,28,0.0
DR3,0,4536,0.0
NQA,0,126,0.0
NNS,0,280,0.0
RYK,0,1,0.0
DLD,0,243,0.0
RV9,0,28,0.0
13R,0,28,0.0
RWK,0,56,0.0
RXE,0,228,0.0
ARG,0,56,0.0
DAN,0,20,0.0
313,0,112,0.0
909,0,14,0.0
DAA,0,28,0.0
AVQ,0,56,0.0
310,0,224,0.0
ADH,0,28,0.0
