month,supplier,practice,pct,chemical_code,chemical,total_items,total_cost
2016-01-01,EMIS,F84749,08M,0402020Z0,Zuclopenthixol Decanoate,9,122.44
2016-01-01,TPP,E85727,07Y,0402020Z0,Zuclopenthixol Decanoate,2,35.05
2016-01-01,TPP,C87014,03L,0402020Z0,Zuclopenthixol Decanoate,1,27.58
2016-01-01,TPP,E85058,07Y,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,INPS,G83016,08A,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,N83043,01J,0402020Z0,Zuclopenthixol Decanoate,2,11.86
2016-01-01,EMIS,H83009,07V,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,INPS,N85619,12F,0402020Z0,Zuclopenthixol Decanoate,1,14.67
2016-01-01,EMIS,G85138,08Q,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,TPP,L83056,15N,0402020Z0,Zuclopenthixol Decanoate,1,6.98
2016-01-01,EMIS,N83611,01J,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,TPP,J81613,11J,0402020Z0,Zuclopenthixol Decanoate,1,29.1
2016-01-01,TPP,L83003,15N,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,EMIS,E84701,07P,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,B81039,03H,0402020Z0,Zuclopenthixol Decanoate,2,11.75
2016-01-01,EMIS,C81004,15M,0402020Z0,Zuclopenthixol Decanoate,1,27.58
2016-01-01,EMIS,L81078,15C,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,P81078,01A,0402020Z0,Zuclopenthixol Decanoate,2,11.75
2016-01-01,EMIS,M91034,05Y,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,Y00403,07T,0402020Z0,Zuclopenthixol Decanoate,3,97.82000000000001
2016-01-01,EMIS,F84740,08M,0402020Z0,Zuclopenthixol Decanoate,3,30.71
2016-01-01,EMIS,J82062,10X,0402020Z0,Zuclopenthixol Decanoate,15,95.15
2016-01-01,TPP,Y02669,03M,0402020Z0,Zuclopenthixol Decanoate,2,58.24
2016-01-01,EMIS,P88014,01W,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,A88003,00N,0402020Z0,Zuclopenthixol Decanoate,2,48.2
2016-01-01,TPP,B81085,03F,0402020Z0,Zuclopenthixol Decanoate,2,27.69
2016-01-01,TPP,L84059,11M,0402020Z0,Zuclopenthixol Decanoate,1,29.1
2016-01-01,TPP,C88052,03N,0402020Z0,Zuclopenthixol Decanoate,3,82.74
2016-01-01,EMIS,F83660,08H,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,E85680,07W,0402020Z0,Zuclopenthixol Decanoate,1,6.87
2016-01-01,EMIS,C82656,04V,0402020Z0,Zuclopenthixol Decanoate,1,23.4
2016-01-01,EMIS,N85024,12F,0402020Z0,Zuclopenthixol Decanoate,1,14.67
2016-01-01,TPP,D81034,06H,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,M91643,05Y,0402020Z0,Zuclopenthixol Decanoate,1,35.03
2016-01-01,INPS,K84041,10Q,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,EMIS,K81025,15A,0402020Z0,Zuclopenthixol Decanoate,1,8.73
2016-01-01,TPP,B81060,02Y,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,TPP,L83066,15N,0402020Z0,Zuclopenthixol Decanoate,1,6.87
2016-01-01,EMIS,H83020,07V,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,B81109,03K,0402020Z0,Zuclopenthixol Decanoate,2,8.73
2016-01-01,EMIS,M85038,15E,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,TPP,J82128,10X,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,EMIS,Y03663,07M,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,EMIS,P92011,02H,0402020Z0,Zuclopenthixol Decanoate,2,12.91
2016-01-01,TPP,E87682,08Y,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,INPS,G82076,99J,0402020Z0,Zuclopenthixol Decanoate,1,17.58
2016-01-01,EMIS,M82620,05N,0402020Z0,Zuclopenthixol Decanoate,3,17.46
2016-01-01,TPP,A84031,00L,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,TPP,B81013,02Y,0402020Z0,Zuclopenthixol Decanoate,1,27.58
2016-01-01,EMIS,L85007,11X,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,EMIS,G85045,08K,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,C82008,04C,0402020Z0,Zuclopenthixol Decanoate,3,54.95
2016-01-01,TPP,F81636,06T,0402020Z0,Zuclopenthixol Decanoate,6,82.03
2016-01-01,TPP,E85050,07W,0402020Z0,Zuclopenthixol Decanoate,4,33.29
2016-01-01,INPS,M84045,05H,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,TPP,B81005,03K,0402020Z0,Zuclopenthixol Decanoate,2,17.68
2016-01-01,EMIS,K82055,14Y,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,D83044,06L,0402020Z0,Zuclopenthixol Decanoate,2,13.74
2016-01-01,EMIS,H81024,09Y,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,F82030,08F,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,TPP,L83136,15N,0402020Z0,Zuclopenthixol Decanoate,3,20.7
2016-01-01,EMIS,G82112,99J,0402020Z0,Zuclopenthixol Decanoate,1,34.34
2016-01-01,TPP,D83048,06L,0402020Z0,Zuclopenthixol Decanoate,4,34.91
2016-01-01,EMIS,F84017,08M,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,EMIS,K84045,10Q,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,TPP,C88026,03N,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,P84012,14L,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,K81040,15A,0402020Z0,Zuclopenthixol Decanoate,4,160.88
2016-01-01,EMIS,M91650,05Y,0402020Z0,Zuclopenthixol Decanoate,2,23.5
2016-01-01,EMIS,K84043,10Q,0402020Z0,Zuclopenthixol Decanoate,2,110.11
2016-01-01,EMIS,P88043,01W,0402020Z0,Zuclopenthixol Decanoate,2,37.370000000000005
2016-01-01,EMIS,M86605,05A,0402020Z0,Zuclopenthixol Decanoate,2,19.78
2016-01-01,TPP,C88047,03N,0402020Z0,Zuclopenthixol Decanoate,4,132.38
2016-01-01,EMIS,L81056,15C,0402020Z0,Zuclopenthixol Decanoate,4,11.64
2016-01-01,EMIS,M85735,15E,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,TPP,L83057,15N,0402020Z0,Zuclopenthixol Decanoate,8,117.71
2016-01-01,INPS,M86014,05A,0402020Z0,Zuclopenthixol Decanoate,1,58.22
2016-01-01,EMIS,K82001,14Y,0402020Z0,Zuclopenthixol Decanoate,3,8.73
2016-01-01,EMIS,H82048,09G,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,Y03587,04C,0402020Z0,Zuclopenthixol Decanoate,2,27.69
2016-01-01,INPS,F85061,08D,0402020Z0,Zuclopenthixol Decanoate,3,20.37
2016-01-01,EMIS,Y02423,08X,0402020Z0,Zuclopenthixol Decanoate,2,83.36
2016-01-01,EMIS,K83005,04G,0402020Z0,Zuclopenthixol Decanoate,2,52.52
2016-01-01,TPP,B81054,03F,0402020Z0,Zuclopenthixol Decanoate,1,14.67
2016-01-01,EMIS,P81014,02G,0402020Z0,Zuclopenthixol Decanoate,2,32.14
2016-01-01,EMIS,Y02624,05Y,0402020Z0,Zuclopenthixol Decanoate,2,40.870000000000005
2016-01-01,EMIS,F86637,08N,0402020Z0,Zuclopenthixol Decanoate,2,35.15
2016-01-01,EMIS,P81758,02G,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,A82072,01K,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,INPS,F82012,07L,0402020Z0,Zuclopenthixol Decanoate,2,56.7
2016-01-01,TPP,C81009,15M,0402020Z0,Zuclopenthixol Decanoate,5,233.76
2016-01-01,EMIS,M83727,04Y,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,EMIS,A84614,00L,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,F84096,07T,0402020Z0,Zuclopenthixol Decanoate,3,20.37
2016-01-01,TPP,L81039,11E,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,K81012,15A,0402020Z0,Zuclopenthixol Decanoate,1,2.91
2016-01-01,EMIS,G85136,08K,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,F84077,08M,0402020Z0,Zuclopenthixol Decanoate,2,11.86
2016-01-01,TPP,D81057,06H,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,TPP,P92653,02H,0402020Z0,Zuclopenthixol Decanoate,3,33.620000000000005
2016-01-01,TPP,C81031,15M,0402020Z0,Zuclopenthixol Decanoate,2,20.83
2016-01-01,EMIS,A82617,01H,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,P84074,14L,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,TPP,C88622,03N,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,TPP,B83018,02R,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,A83006,00C,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,E86016,08G,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,EMIS,P92008,02H,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,INPS,L84008,11M,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,TPP,K83047,04G,0402020Z0,Zuclopenthixol Decanoate,1,8.84
2016-01-01,TPP,A81011,00K,0402020Z0,Zuclopenthixol Decanoate,1,27.58
2016-01-01,EMIS,G82059,99J,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,EMIS,P84038,14L,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,EMIS,D83002,06M,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,TPP,L83005,15N,0402020Z0,Zuclopenthixol Decanoate,2,30.599999999999998
2016-01-01,TPP,B81010,02Y,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,H82069,09G,0402020Z0,Zuclopenthixol Decanoate,2,40.87
2016-01-01,EMIS,E84017,07P,0402020Z0,Zuclopenthixol Decanoate,2,92.57
2016-01-01,EMIS,F84117,07T,0402020Z0,Zuclopenthixol Decanoate,3,8.73
2016-01-01,EMIS,L81075,15C,0402020Z0,Zuclopenthixol Decanoate,3,43.3
2016-01-01,EMIS,E82078,06N,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,E85721,07W,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,C84094,02Q,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,EMIS,H81010,09N,0402020Z0,Zuclopenthixol Decanoate,3,92.1
2016-01-01,TPP,C88005,03N,0402020Z0,Zuclopenthixol Decanoate,2,29.33
2016-01-01,EMIS,M82048,05N,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,EMIS,A82039,01K,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,J83633,12D,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,M86023,05A,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,M84023,05A,0402020Z0,Zuclopenthixol Decanoate,7,52.47
2016-01-01,TPP,B82006,03Q,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,B81004,02Y,0402020Z0,Zuclopenthixol Decanoate,7,116.47999999999999
2016-01-01,INPS,G82022,99J,0402020Z0,Zuclopenthixol Decanoate,3,9.07
2016-01-01,EMIS,H85634,08R,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,D82050,06Y,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,EMIS,A84039,00L,0402020Z0,Zuclopenthixol Decanoate,2,17.46
2016-01-01,TPP,C83074,04D,0402020Z0,Zuclopenthixol Decanoate,5,14.55
2016-01-01,TPP,F81087,06Q,0402020Z0,Zuclopenthixol Decanoate,3,20.61
2016-01-01,EMIS,G81662,09P,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,TPP,C81021,15M,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,Microtest,L83089,15N,0402020Z0,Zuclopenthixol Decanoate,4,20.37
2016-01-01,EMIS,G81048,09P,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,TPP,B83071,02R,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,INPS,K81062,15A,0402020Z0,Zuclopenthixol Decanoate,2,92.09
2016-01-01,EMIS,C83018,04D,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,TPP,F81136,07H,0402020Z0,Zuclopenthixol Decanoate,1,27.58
2016-01-01,EMIS,F84742,08M,0402020Z0,Zuclopenthixol Decanoate,1,41.32
2016-01-01,TPP,F81083,06Q,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,TPP,L83647,15N,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,J82145,11A,0402020Z0,Zuclopenthixol Decanoate,1,2.91
2016-01-01,TPP,B86062,15F,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,EMIS,B85023,03A,0402020Z0,Zuclopenthixol Decanoate,1,6.87
2016-01-01,TPP,L84070,11M,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,TPP,C82037,04C,0402020Z0,Zuclopenthixol Decanoate,6,149.24
2016-01-01,EMIS,L81019,15C,0402020Z0,Zuclopenthixol Decanoate,1,17.58
2016-01-01,EMIS,B81031,03H,0402020Z0,Zuclopenthixol Decanoate,9,47.95
2016-01-01,Microtest,P88010,01W,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,TPP,C84019,04H,0402020Z0,Zuclopenthixol Decanoate,2,9.780000000000001
2016-01-01,INPS,P92002,02H,0402020Z0,Zuclopenthixol Decanoate,2,46.1
2016-01-01,EMIS,N81056,02E,0402020Z0,Zuclopenthixol Decanoate,6,71.55
2016-01-01,TPP,B82013,03E,0402020Z0,Zuclopenthixol Decanoate,9,62.07
2016-01-01,EMIS,B82050,03D,0402020Z0,Zuclopenthixol Decanoate,10,93.03
2016-01-01,EMIS,A82035,01H,0402020Z0,Zuclopenthixol Decanoate,4,34.69
2016-01-01,INPS,Y02476,15A,0402020Z0,Zuclopenthixol Decanoate,2,32.14
2016-01-01,EMIS,P84048,14L,0402020Z0,Zuclopenthixol Decanoate,2,6.04
2016-01-01,EMIS,P88019,01W,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,EMIS,N82113,99A,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,EMIS,J82040,10X,0402020Z0,Zuclopenthixol Decanoate,8,43.09
2016-01-01,EMIS,P92004,02H,0402020Z0,Zuclopenthixol Decanoate,8,32.9
2016-01-01,TPP,D82100,06Y,0402020Z0,Zuclopenthixol Decanoate,4,27.49
2016-01-01,EMIS,A87006,99C,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,B86042,15F,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,E87004,08Y,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,EMIS,P84682,14L,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,EMIS,L81044,15C,0402020Z0,Zuclopenthixol Decanoate,6,17.46
2016-01-01,EMIS,F82660,07L,0402020Z0,Zuclopenthixol Decanoate,2,63.47
2016-01-01,EMIS,M85088,15E,0402020Z0,Zuclopenthixol Decanoate,2,27.7
2016-01-01,EMIS,G85123,08K,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,F81018,06T,040201010,Zuclopenthixol Acetate,1,9.05
2016-01-01,TPP,A81019,00M,0402020Z0,Zuclopenthixol Decanoate,3,39.45
2016-01-01,TPP,B86019,15F,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,K81061,15A,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,TPP,E85052,07Y,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,P86619,01D,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,TPP,B82067,03E,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,TPP,C84049,04H,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,J82101,10X,0402020Z0,Zuclopenthixol Decanoate,2,11.64
2016-01-01,EMIS,C88090,03N,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,N81074,02D,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,P84045,14L,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,M82022,05N,0402020Z0,Zuclopenthixol Decanoate,4,69.82
2016-01-01,EMIS,H81025,09Y,0402020Z0,Zuclopenthixol Decanoate,4,11.75
2016-01-01,TPP,L84048,11M,0402020Z0,Zuclopenthixol Decanoate,1,34.34
2016-01-01,EMIS,F81112,99G,0402020Z0,Zuclopenthixol Decanoate,2,58.24
2016-01-01,EMIS,L81669,15C,0402020Z0,Zuclopenthixol Decanoate,2,41.21
2016-01-01,EMIS,H81078,99H,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,A87011,99C,0402020Z0,Zuclopenthixol Decanoate,2,27.69
2016-01-01,TPP,K83029,04G,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,EMIS,F82612,07L,0402020Z0,Zuclopenthixol Decanoate,1,68.69
2016-01-01,TPP,F81681,06T,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,C88011,03N,0402020Z0,Zuclopenthixol Decanoate,4,162.04
2016-01-01,EMIS,H81004,09Y,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,TPP,B86678,15F,0402020Z0,Zuclopenthixol Decanoate,2,19.78
2016-01-01,INPS,G82120,99J,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,L81065,11E,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,EMIS,J82120,99M,0402020Z0,Zuclopenthixol Decanoate,3,92.58
2016-01-01,EMIS,J82093,10V,0402020Z0,Zuclopenthixol Decanoate,3,40.39
2016-01-01,TPP,K83610,04G,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,E86003,08G,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,EMIS,H81042,09Y,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,G85647,08K,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,L83051,15N,0402020Z0,Zuclopenthixol Decanoate,2,34.94
2016-01-01,INPS,M85699,15E,0402020Z0,Zuclopenthixol Decanoate,1,3.02
2016-01-01,EMIS,L83073,15N,0402020Z0,Zuclopenthixol Decanoate,3,20.61
2016-01-01,EMIS,E86024,08G,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,EMIS,L83111,15N,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,EMIS,F84010,08M,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,TPP,L84018,11M,0402020Z0,Zuclopenthixol Decanoate,1,2.91
2016-01-01,EMIS,L82044,11N,0402020Z0,Zuclopenthixol Decanoate,1,11.75
2016-01-01,EMIS,E84028,07P,0402020Z0,Zuclopenthixol Decanoate,4,81.27000000000001
2016-01-01,EMIS,G85005,08L,0402020Z0,Zuclopenthixol Decanoate,5,41.44
2016-01-01,TPP,B81683,03F,0402020Z0,Zuclopenthixol Decanoate,1,6.98
2016-01-01,TPP,F81215,99E,0402020Z0,Zuclopenthixol Decanoate,1,29.1
2016-01-01,EMIS,M86002,05A,0402020Z0,Zuclopenthixol Decanoate,1,29.12
2016-01-01,Unknown,P88004,01W,0402020Z0,Zuclopenthixol Decanoate,3,29.44
2016-01-01,EMIS,A86029,13T,0402020Z0,Zuclopenthixol Decanoate,1,2.91
2016-01-01,EMIS,A85005,13T,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,EMIS,A82016,01H,0402020Z0,Zuclopenthixol Decanoate,2,97.81
2016-01-01,Microtest,L83032,15N,0402020Z0,Zuclopenthixol Decanoate,5,18.51
2016-01-01,EMIS,F81037,06T,0402020Z0,Zuclopenthixol Decanoate,11,314.65
2016-01-01,TPP,L83077,15N,0402020Z0,Zuclopenthixol Decanoate,2,63.47
2016-01-01,EMIS,E84036,07P,0402020Z0,Zuclopenthixol Decanoate,4,89.30000000000001
2016-01-01,EMIS,F84004,08M,0402020Z0,Zuclopenthixol Decanoate,3,48.9
2016-01-01,TPP,J82150,11A,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,TPP,L84046,11M,040201010,Zuclopenthixol Acetate,1,44.73
2016-01-01,EMIS,P81150,02M,0402020Z0,Zuclopenthixol Decanoate,1,14.67
2016-01-01,EMIS,M85794,15E,0402020Z0,Zuclopenthixol Decanoate,2,6.04
2016-01-01,TPP,L83099,15N,0402020Z0,Zuclopenthixol Decanoate,1,6.87
2016-01-01,TPP,C82064,04V,0402020Z0,Zuclopenthixol Decanoate,2,40.28
2016-01-01,EMIS,K81002,15A,0402020Z0,Zuclopenthixol Decanoate,3,82.74
2016-01-01,EMIS,L83097,15N,0402020Z0,Zuclopenthixol Decanoate,3,116.76
2016-01-01,EMIS,A84003,00L,0402020Z0,Zuclopenthixol Decanoate,1,13.85
2016-01-01,TPP,B81045,03K,0402020Z0,Zuclopenthixol Decanoate,2,6.04
2016-01-01,TPP,B82027,03E,0402020Z0,Zuclopenthixol Decanoate,2,41.22
2016-01-01,EMIS,F84121,08M,0402020Z0,Zuclopenthixol Decanoate,3,52.040000000000006
2016-01-01,TPP,A86015,13T,0402020Z0,Zuclopenthixol Decanoate,2,13.74
2016-01-01,Microtest,P88005,01W,0402020Z0,Zuclopenthixol Decanoate,1,27.58
2016-01-01,EMIS,F81081,99G,0402020Z0,Zuclopenthixol Decanoate,3,16.65
2016-01-01,TPP,J82131,11A,0402020Z0,Zuclopenthixol Decanoate,5,34.35
2016-01-01,EMIS,P81095,01A,0402020Z0,Zuclopenthixol Decanoate,1,6.98
2016-01-01,TPP,C83016,04D,0402020Z0,Zuclopenthixol Decanoate,1,6.98
2016-01-01,TPP,B81022,03K,0402020Z0,Zuclopenthixol Decanoate,2,5.82
2016-01-01,EMIS,F86702,08N,0402020Z0,Zuclopenthixol Decanoate,1,17.58
2016-01-01,EMIS,M81068,06D,0402020Z0,Zuclopenthixol Decanoate,2,55.16
2016-01-01,EMIS,A87016,99C,0402020Z0,Zuclopenthixol Decanoate,3,27.81
2016-01-01,EMIS,L81022,15C,0402020Z0,Zuclopenthixol Decanoate,4,27.49
2016-01-01,INPS,F82621,07L,0402020Z0,Zuclopenthixol Decanoate,1,34.35
2016-01-01,TPP,D81026,06H,0402020Z0,Zuclopenthixol Decanoate,4,85.91
2016-01-01,INPS,K81074,15D,0402020Z0,Zuclopenthixol Decanoate,2,63.47
2016-01-01,EMIS,M82039,05X,0402020Z0,Zuclopenthixol Decanoate,2,110.11
2016-01-01,EMIS,N85020,12F,0402020Z0,Zuclopenthixol Decanoate,2,8.95
2016-01-01,EMIS,M83045,05V,0402020Z0,Zuclopenthixol Decanoate,1,5.93
2016-01-01,EMIS,L81055,15C,0402020Z0,Zuclopenthixol Decanoate,2,32.14
2016-01-01,INPS,M86045,05A,0402020Z0,Zuclopenthixol Decanoate,3,17.46
2016-01-01,TPP,D81022,06H,0402020Z0,Zuclopenthixol Decanoate,4,11.64
2016-01-01,TPP,D83028,06L,0402020Z0,Zuclopenthixol Decanoate,5,26.43
