bnf_code,squ
0301011Y0BBAAAA,unit
0302000N0BBAHAH,unit
1304000F0AAAAAA,g
0604012S0BCABAC,unit
0206020R0BVABAN,unit
0902021S0BKACA2,unit
0407020Q0AAGDGD,unit
0409010A0BCACAX,unit
1202020P0BBAAAC,unit
1307000M0BPAAAW,ml
090602100BBBEA0,unit
0208010E0BCAAAC,unit
0904010AABPAAAL,g
0202010L0AAAXAX,ml
1315000G0BFAAAW,g
0902012H0BBAJAJ,unit
1302010T0AAAAAA,g
130201000BBKACG,g
0505050P0BEAAAB,unit
0904010A0BEABBF,g
0501120X0BCACAA,unit
090607000BBLBA0,unit
0702020P0BBABAD,unit
0306000P0AAAUAU,unit
1003020P0BLADAC,g
040702040BNACAE,unit
1108010C0AAAGAG,ml
0601012S0BIABAL,unit
0208010K0BCADA8,unit
0501021L0BCAFAD,ml
0904010T0BIADAD,g
190605000AAAVAV,ml
0309020H0AAAJAJ,ml
090402000BBUWA0,unit
0906040G0BEADBH,unit
090605000BBHGA0,unit
0408020W0AAADAD,unit
0410020B0BBBABZ,unit
1203040E0BBAGAH,ml
0206010F0AABIBI,unit
0905013F0BCAAAE,unit
090401080BFBIBD,g
0204000K0AABMBM,ml
0501040H0AAAAAA,unit
0704010T0BBABAB,unit
1310050D0BCAAAA,g
0501050H0AAALAL,ml
0101021B0BPAAAH,ml
040801060AABTBT,unit
0410020B0BHARBD,unit
0204000R0BGAAAH,unit
091200000BDFJA0,unit
0601023ANBBABAB,unit
1304000V0BDAFBC,g
0310000N0BTABAC,unit
0408010H0BBAEAQ,unit
0601060U0BMAAA0,unit
0401010ADAAAHAH,unit
0407010H0BEARDE,unit
090402000BBQTA0,unit
0106020B0BDAAAA,ml
0204000K0AAASAS,ml
0904010ADBDAYAC,unit
1106000B0BBABAC,unit
0206020R0BQACAE,unit
091000000BBNBA0,unit
0906040N0BYABAP,unit
0601040E0AAAIAI,unit
0301020Q0BCAAAD,unit
090402000BBLFA0,ml
091200000BFSLA0,unit
0206020R0CHAAAN,unit
110402000BBANA0,unit
0406000Y0BBAAAA,unit
0212000B0BBAFAM,unit
1304000D0BBACBA,g
1311020G0BGABAP,unit
0206020R0BGADBF,unit
0401010D0BBABAC,ml
0501050S0BCAAAC,unit
1305020C0AAGIGI,g
0406000W0AAAIAI,ml
0504010Y0AAA2A2,ml
0202030X0BBABAB,unit
0703010F0BRAAAE,unit
0606010U0BBAAAA,unit
0407020U0BBACAB,unit
0904010U0BTAGAA,g
020400060AAABAB,unit
090402000BBYFA0,unit
0407020M0AAA9A9,unit
1001030U0BEACBB,unit
0906040G0AACNCN,unit
130501000BBBDA0,unit
0603020T0AAAFAF,unit
0902021X0BHAAAD,unit
0409010W0BDABAB,unit
070403000BPAAA0,ml
0902012H0BXACA0,unit
0206020R0AAATAT,ml
0906040G0CEAAAN,unit
0102000R0AAABAB,unit
0407010X0CRADBI,unit
0408010N0AAEQEQ,ml
1302011L0BKADAI,ml
0201010F0BEACAF,unit
0301011U0BBACAC,unit
0902012L0AABJBJ,ml
0407020ADBNACAK,unit
0902011P0AAACAC,ml
010102100BBAWAG,ml
0106020I0AAAHAH,ml
090501300BBBHA0,unit
0407042F0AAANAN,ml
0105000V0BBABAB,unit
0401020K0AABQBQ,unit
0409010H0BJABAL,unit
1405010A0BUADAC,unit
1104010S0AABPBP,ml
1302010U0BEAAA0,g
0703010F0BBAAAA,unit
040702040BRAAAC,unit
0304010N0BEABAG,unit
0202040B0BGAAAA,unit
1305020C0AAFHFH,g
0206010I0BBAFAG,unit
0309020H0BHADAH,ml
0703050A0BFABAB,unit
0408010N0AAAVAV,unit
1003020N0BIAIA0,g
0407020A0BGAAAE,unit
091000000BBURA0,unit
040201060BBAHAL,unit
1003020P0BLABAI,g
130202000BBAVA0,g
0101010L0BBADA0,unit
0601012D0BEAGAI,unit
0211000P0AAAAAA,unit
0407020K0AAEVEV,unit
0403010F0AAANAN,ml
1001010K0AAARAR,ml
0411000F0BEAAAE,unit
0401010B0AAAZAZ,ml
0607020D0BBAAAA,unit
0101010C0BBAAAA,unit
0904010X0BHACAA,g
0410030A0BEACAI,unit
0904010X0BHADAA,g
0409010W0AAAEAE,unit
0801030H0BEAAAY,ml
0410000P0BEATBY,unit
0904010H0BJAWAA,g
1001050B0BCAAAB,unit
0202040D0BBAAAA,unit
1310030C0BFAAAA,g
1404000H0BHAAAF,unit
090900000BBKVA0,g
1001010C0BKABAE,unit
1103010C0BCAAAG,unit
1104020T0BMAAAG,unit
0501130D0BBADAD,unit
0901030E0BCAXAW,unit
0101021B0BEBDA0,ml
0904010V0BEAAAD,g
0501022D0BBACAC,unit
0407010F0BHADAD,unit
0403010J0AAA6A6,ml
0601012X0BBAAAA,unit
1104010S0AABIBI,ml
0304030H0BBAAAA,unit
0307000J0BDAAAC,ml
190205500BCNTA0,unit
0906050P0CTAAAH,unit
0409030C0AAARAR,ml
0205051N0AAAAAA,unit
1304000F0AACYCY,g
0407010B0AABWBW,unit
0204000C0AAAAAA,unit
010602000BBBKA0,unit
1307000M0BXABBM,g
0407020ADBHABAD,unit
090608000BBBJA0,unit
0404000L0AABCBC,unit
0908010P0BBAAAG,unit
0407020ADAAAJAJ,ml
0906040G0CCAACF,ml
0203020D0AAAAAA,unit
0502000K0AABABA,ml
1305020C0AAGFGF,g
0501020B0BBACAC,ml
0403040W0BIACAA,unit
0601060D0BHACA0,unit
0402010U0AAAMAM,ml
0904010G0BBAAAA,g
1501041T0AAASAS,unit
0410030A0BDABAB,unit
090402000BBHBA0,ml
0309010X0BPAAAA,ml
0501020F0BBAAAA,unit
1305020V0BBAAAA,g
