month,pct,items_more_than_two,all_items,items_percent_more_than_two
2017-04-01,08K,198,5686,3.482237073513894
2017-05-01,05N,309,8878,3.4805136291957646
2017-12-01,08Q,203,5845,3.473053892215569
2017-06-01,05N,306,8812,3.472537448933273
2017-07-01,10V,197,5676,3.470754052149401
2017-06-01,10V,208,5998,3.4678226075358456
2018-04-01,07Q,226,6521,3.465726115626438
2018-01-01,05N,336,9724,3.455368161250514
2018-11-01,08C,134,3879,3.4544985821087906
2017-06-01,08Y,130,3765,3.4528552456839305
2017-01-01,08C,123,3566,3.4492428491306786
2019-06-01,05N,287,8323,3.4482758620689653
2018-06-01,05N,303,8788,3.447883477469276
2017-09-01,07Q,237,6875,3.4472727272727273
2018-07-01,05N,304,8820,3.4467120181405893
2018-11-01,05X,202,5865,3.444160272804774
2017-08-01,08Q,176,5117,3.4395153410201287
2019-04-01,08C,124,3614,3.431101272827892
2018-01-01,08C,130,3789,3.4309844286091318
2018-10-01,05N,317,9285,3.4141087775982766
2017-10-01,07Q,237,6942,3.41400172860847
2017-07-01,07Q,223,6559,3.3999085226406462
2017-01-01,07Q,247,7282,3.391925295248558
2019-02-01,05X,189,5573,3.3913511573658712
2017-08-01,08K,196,5780,3.3910034602076125
2017-05-01,10V,203,5987,3.3906798062468684
2018-06-01,08C,120,3540,3.389830508474576
2018-02-01,05X,186,5497,3.383663816627251
2018-10-01,05X,210,6212,3.380553766902769
2017-08-01,08Y,121,3584,3.376116071428571
2017-12-01,05N,315,9343,3.371508080916194
2018-11-01,07R,157,4658,3.370545298411335
2017-01-01,09D,242,7181,3.370004177691129
2018-12-01,05X,203,6024,3.3698539176626823
2018-08-01,07R,135,4007,3.3691040678812083
2017-02-01,00N,223,6624,3.3665458937198065
2019-05-01,05X,200,5948,3.362474781439139
2018-08-01,08X,189,5622,3.3617929562433297
2017-01-01,05N,307,9134,3.36106853514342
2019-07-01,08C,133,3962,3.356890459363958
2018-10-01,09D,235,7008,3.353310502283105
2017-06-01,08K,214,6385,3.351605324980423
2018-05-01,05N,302,9015,3.349972268441486
2017-02-01,08Q,180,5377,3.347591593825553
2018-04-01,07R,144,4311,3.3402922755741122
2018-07-01,07Q,223,6678,3.339323150643905
2018-09-01,05N,275,8268,3.326076439283986
2018-03-01,05N,297,8941,3.321776087685941
2017-07-01,09A,104,3135,3.3173843700159487
2019-06-01,05X,184,5547,3.317108346854156
2019-03-01,05X,195,5885,3.3135089209855564
2017-04-01,09D,204,6158,3.312763884378045
2017-09-01,08K,200,6050,3.3057851239669422
2017-10-01,09D,231,6993,3.303303303303303
2017-08-01,09A,97,2945,3.2937181663837007
2017-02-01,07Q,214,6524,3.2801961986511343
2018-11-01,05N,298,9089,3.278688524590164
2018-07-01,09D,209,6389,3.2712474565659724
2017-02-01,10V,182,5564,3.2710280373831773
2018-05-01,08C,117,3577,3.270897400055913
2017-01-01,08K,213,6512,3.2708845208845214
2018-10-01,09A,103,3149,3.270879644331534
2019-01-01,05X,207,6337,3.26652990373994
2019-04-01,08H,172,5292,3.250188964474679
2018-01-01,07Q,238,7326,3.248703248703249
2019-05-01,08C,121,3726,3.247450348899624
2017-03-01,08Y,132,4065,3.247232472324723
2018-12-01,05N,309,9532,3.24171212757029
2019-06-01,07R,140,4322,3.2392410920869965
2019-07-01,09D,206,6365,3.2364493322859387
2018-02-01,07Q,210,6496,3.2327586206896552
2018-08-01,10V,177,5485,3.226982680036463
2017-11-01,07Q,229,7101,3.224897901703985
2019-05-01,05N,292,9064,3.22153574580759
2018-12-01,07R,144,4477,3.2164395800759435
2017-03-01,09D,221,6879,3.21267626108446
2017-05-01,09D,214,6671,3.207914855344026
2017-12-01,09D,238,7431,3.2027990849145467
2018-04-01,09D,196,6122,3.201568114995099
2019-07-01,05N,295,9223,3.198525425566519
2019-03-01,08C,117,3662,3.194975423265975
2018-05-01,09A,100,3132,3.1928480204342273
2017-01-01,10V,193,6049,3.190610018184824
2019-04-01,05N,279,8758,3.1856588262160312
2017-02-01,09D,198,6218,3.1843036346091993
2017-02-01,08K,183,5748,3.1837160751565765
2017-06-01,08Q,178,5596,3.18084345961401
2019-03-01,07R,151,4748,3.180286436394271
2017-03-01,10V,197,6195,3.17998385794996
2017-07-01,10R,172,5414,3.1769486516438863
2017-11-01,07R,151,4754,3.176272612536811
2017-01-01,08Y,132,4156,3.1761308950914344
2019-05-01,07R,150,4724,3.175275190516511
2017-07-01,09D,203,6407,3.1684095520524425
2018-12-01,08C,117,3693,3.168155970755483
2018-06-01,09D,194,6124,3.1678641410842587
2018-02-01,05N,258,8145,3.167587476979742
2018-10-01,07Q,230,7267,3.164992431539838
2017-08-01,10C,58,1836,3.159041394335512
2018-08-01,10R,171,5416,3.157311669128508
2018-08-01,09D,195,6183,3.153808830664726
2019-04-01,08Y,114,3617,3.1517832457837986
2017-04-01,10V,175,5560,3.147482014388489
2017-12-01,10X,280,8925,3.1372549019607843
2017-12-01,07Q,233,7428,3.1367797522886374
2017-08-01,08X,185,5899,3.1361247669096453
2017-05-01,08X,201,6412,3.134747348721148
2017-05-01,08K,196,6262,3.1299904183966785
2017-02-01,09A,93,2972,3.1292059219380883
2017-03-01,00N,234,7493,3.122914720405712
2018-03-01,07Q,215,6886,3.1222770839384255
2019-01-01,05N,298,9573,3.1129217591141756
2018-08-01,07Q,196,6300,3.111111111111111
2017-06-01,09A,104,3343,3.1109781633263536
2019-02-01,05N,276,8877,3.109158499493072
2018-07-01,10V,178,5734,3.104290198814091
2018-07-01,08X,188,6063,3.10077519379845
2018-03-01,09A,100,3225,3.10077519379845
2017-09-01,08Q,174,5614,3.09939437121482
2017-11-01,09D,220,7101,3.098155189409942
2017-01-01,00N,231,7460,3.096514745308311
2019-01-01,07R,142,4590,3.093681917211329
2019-03-01,05N,276,8927,3.0917441469698668
2017-12-01,06A,291,9432,3.0852417302798982
2017-03-01,10R,198,6418,3.085073231536304
2017-10-01,10V,189,6148,3.074170461938842
2018-05-01,07Q,209,6800,3.073529411764706
2018-09-01,09D,194,6326,3.066708820739804
2017-01-01,09A,108,3523,3.065569117229634
2018-05-01,10X,244,7974,3.0599448206671687
2017-06-01,00N,231,7574,3.0499075785582255
2017-05-01,08Q,176,5774,3.0481468652580532
2018-01-01,10V,198,6497,3.047560412498076
2018-01-01,09D,221,7253,3.0470150282641666
2018-08-01,09A,83,2725,3.0458715596330275
2017-09-01,10V,179,5884,3.0421481985044188
2017-06-01,06A,276,9078,3.040317250495704
2017-11-01,09A,105,3456,3.038194444444444
2018-03-01,08Q,166,5464,3.0380673499267936
2019-01-01,08C,120,3950,3.0379746835443036
2017-08-01,06A,257,8460,3.037825059101655
2017-11-01,08K,208,6850,3.0364963503649633
2019-06-01,10V,161,5308,3.0331574981160516
2017-09-01,09A,93,3067,3.0322791000978153
2018-05-01,09D,198,6533,3.0307668758610133
2018-05-01,08X,186,6138,3.0303030303030303
2018-05-01,10V,177,5842,3.029784320438206
2017-09-01,08X,189,6239,3.0293316236576375
2017-08-01,00N,216,7136,3.0269058295964126
2017-12-01,08Y,123,4064,3.026574803149606
2018-12-01,07Q,213,7042,3.024708889520023
2017-07-01,08L,215,7120,3.019662921348315
2018-07-01,08Y,109,3615,3.0152143845089903
2017-09-01,06A,281,9323,3.014051271050091
2017-02-01,08Y,110,3650,3.0136986301369864
2017-07-01,00N,206,6838,3.0125767768353318
2018-06-01,07Q,205,6819,3.006305909957472
2017-08-01,09G,396,13184,3.0036407766990294
2017-05-01,07W,259,8632,3.000463392029657
2017-08-01,07W,228,7600,3.0
2017-03-01,08Q,174,5801,2.9994828477848645
2017-05-01,10R,181,6041,2.9961926833305745
2017-05-01,06A,266,8884,2.9941467807294013
2017-07-01,08Q,158,5281,2.991857602726756
2018-08-01,10X,222,7423,2.9907045668867034
2017-04-01,09A,93,3119,2.9817249118307148
2019-06-01,09A,87,2918,2.9814941740918437
2017-10-01,09A,99,3327,2.9756537421100093
2017-12-01,08K,198,6658,2.9738660258335834
2019-07-01,05X,168,5665,2.9655781112091795
2017-04-01,08Q,160,5404,2.9607698001480385
2017-09-01,10R,175,5912,2.9600811907983764
2017-10-01,09G,416,14062,2.9583274071967005
2019-07-01,07Q,197,6661,2.9575138868037834
2017-09-01,08L,216,7309,2.955260637570119
2017-05-01,10X,235,7985,2.9430181590482154
2019-04-01,10X,235,7994,2.939704778583938
2019-04-01,07R,132,4504,2.930728241563055
2018-02-01,08Q,149,5088,2.9284591194968552
2018-11-01,09D,192,6557,2.9281683696812566
2017-08-01,10X,213,7276,2.9274326553051124
2017-01-01,08V,209,7141,2.926760957849041
2017-05-01,08Y,118,4033,2.925861641457972
2019-06-01,08Y,101,3454,2.924145917776491
2017-07-01,08V,184,6299,2.921098587077314
2017-07-01,08X,180,6163,2.920655524906701
2017-07-01,06A,257,8808,2.9178019981834695
2017-06-01,09G,412,14121,2.91764039373982
2017-11-01,10X,252,8638,2.9173419773095626
2017-10-01,08K,190,6523,2.912770197761766
2017-08-01,10V,161,5528,2.9124457308248917
2017-10-01,00N,205,7043,2.910691466704529
2019-05-01,09D,196,6736,2.9097387173396676
2017-09-01,00N,203,6979,2.908726178535607
2017-06-01,08L,213,7323,2.9086439983613275
2017-02-01,08V,175,6018,2.90794283815221
2017-03-01,08X,207,7125,2.905263157894737
2018-10-01,10V,185,6380,2.8996865203761755
2017-02-01,10X,214,7383,2.898550724637681
2017-11-01,06A,277,9561,2.8971864867691663
2019-03-01,10X,234,8083,2.894964740814054
2018-08-01,07W,203,7016,2.8933865450399088
2018-04-01,08Q,150,5188,2.8912875867386276
2017-10-01,08X,195,6753,2.8876055086628165
2018-06-01,10R,162,5618,2.8835884656461372
2017-10-01,08Q,160,5552,2.881844380403458
2018-10-01,10X,243,8436,2.8805120910384066
2017-05-01,09A,95,3303,2.8761731759006963
2018-06-01,08X,176,6126,2.87300032647731
2018-01-01,09G,442,15386,2.8727414532692057
2018-04-01,08X,180,6272,2.8698979591836737
2017-12-01,10R,190,6622,2.8692237994563574
2018-09-01,08J,93,3246,2.865064695009242
2018-07-01,08Q,158,5515,2.8649138712601996
2017-04-01,00N,197,6884,2.861708309122603
2017-02-01,07W,229,8004,2.8610694652673665
2018-11-01,09A,88,3081,2.8562155144433627
2019-03-01,09D,190,6653,2.8558545017285435
2019-01-01,09D,204,7145,2.855143456962911
2019-05-01,07Q,198,6939,2.853437094682231
2019-04-01,07Q,192,6734,2.851202851202851
2017-09-01,07W,242,8490,2.8504122497055357
2018-11-01,08X,189,6636,2.848101265822785
2018-03-01,09D,198,6956,2.8464634847613572
