practice,bnf_name,items,quantity
G81050,Sildenafil_Tab 50mg,26,248
G81019,Tadalafil_Tab 5mg,5,252
B83063,Sildenafil_Tab 100mg,25,212
M91011,Sildenafil_Tab 100mg,16,116
L81047,Sildenafil_Tab 50mg,31,234
C88044,Sildenafil_Tab 100mg,19,107
D81034,Sildenafil_Tab 25mg,15,192
C81087,Sildenafil_Tab 100mg,35,172
G83004,Sildenafil_Tab 50mg,18,132
F84714,Sildenafil_Tab 100mg,32,195
N84003,Sildenafil_Tab 50mg,28,160
K81073,Sildenafil_Tab 50mg,29,136
P83020,Sildenafil_Tab 50mg,43,292
N82641,Sildenafil_Tab 50mg,17,130
J81058,Sildenafil_Tab 100mg,27,156
J82082,Sildenafil_Tab 50mg,23,188
G82038,Sildenafil_Tab 50mg,18,172
J82216,Sildenafil_Tab 100mg,19,180
G83047,Sildenafil_Tab 25mg,3,192
P86619,Sildenafil_Tab 100mg,37,208
N81045,Tadalafil_Tab 5mg,7,184
G82086,Sildenafil_Tab 100mg,38,212
G82087,Sildenafil_Tab 100mg,35,268
M88023,Sildenafil_Tab 100mg,2,14
C85003,Sildenafil_Tab 50mg,24,148
J82646,Sildenafil_Tab 100mg,22,172
G85130,Sildenafil_Tab 25mg,2,106
L85020,Sildenafil_Tab 100mg,33,206
G82233,Tadalafil_Tab 5mg,8,308
K84041,Sildenafil_Tab 50mg,17,78
Y04957,Sildenafil_Tab 100mg,79,516
J83050,Sildenafil_Tab 50mg,16,116
B86067,Tadalafil_Tab 20mg,12,82
Y02462,Sildenafil_Tab 50mg,20,116
G81045,Sildenafil_Tab 100mg,27,228
B87041,Sildenafil_Tab 100mg,25,153
J82016,Tadalafil_Tab 5mg,8,227
C83071,Sildenafil_Tab 50mg,19,138
H81005,Tadalafil_Tab 5mg,9,352
L83013,Sildenafil_Tab 50mg,30,186
G81099,Tadalafil_Tab 5mg,7,212
F86644,Tadalafil_Tab 5mg,4,196
C81048,Sildenafil_Tab 50mg,22,152
D83009,Sildenafil_Tab 100mg,53,316
L83089,Tadalafil_Tab 10mg,2,22
P81133,Sildenafil_Tab 50mg,25,128
F85063,Tadalafil_Tab 5mg,5,280
P88018,Sildenafil_Tab 100mg,29,180
G85005,Sildenafil_Tab 100mg,44,330
A84016,Sildenafil_Tab 100mg,33,146
K82004,Sildenafil_Tab 50mg,17,276
D81011,Sildenafil_Tab 100mg,50,200
B83005,Sildenafil_Tab 100mg,14,70
B81051,Sildenafil_Tab 100mg,21,256
B81026,Sildenafil_Tab 100mg,78,484
G81074,Sildenafil_Tab 100mg,53,300
J82088,Sildenafil_Tab 50mg,21,156
F86087,Sildenafil_Tab 50mg,9,70
B83056,Sildenafil_Tab 50mg,19,128
G81032,Sildenafil_Tab 100mg,22,184
Y02354,Sildenafil_Tab 100mg,24,144
C88037,Sildenafil_Tab 100mg,46,380
P84669,Sildenafil_Tab 50mg,22,138
C81113,Sildenafil_Tab 100mg,18,132
D82047,Sildenafil_Tab 100mg,27,172
M85164,Sildenafil_Tab 25mg,3,139
P83020,Sildenafil_Tab 100mg,39,276
P84061,Sildenafil_Tab 50mg,13,66
K83029,Sildenafil_Tab 100mg,52,280
B84004,Sildenafil_Tab 100mg,81,640
D82054,Sildenafil_Tab 50mg,36,148
H81009,Sildenafil_Tab 50mg,25,164
B83041,Tadalafil_Tab 5mg,7,252
F85023,Sildenafil_Tab 100mg,23,152
M81082,Sildenafil_Tab 100mg,29,222
H82022,Sildenafil_Tab 100mg,24,232
B81056,Tadalafil_Tab 5mg,6,224
F85666,Sildenafil_Tab 100mg,29,180
N81121,Sildenafil_Tab 25mg,2,172
K81050,Sildenafil_Tab 50mg,36,170
A82048,Sildenafil_Tab 50mg,20,128
F83020,Tadalafil_Tab 5mg,4,180
Y01655,Sildenafil_Tab 50mg,15,128
N81085,Sildenafil_Tab 25mg,6,116
C82073,Sildenafil_Tab 50mg,30,128
K82023,Sildenafil_Tab 25mg,3,184
B82017,Tadalafil_Tab 20mg,17,136
G81056,Sildenafil_Tab 50mg,16,144
H85029,Sildenafil_Tab 100mg,22,176
A86021,Sildenafil_Tab 50mg,29,262
G85006,Sildenafil_Tab 100mg,20,132
F83018,Sildenafil_Tab 100mg,28,184
J82639,Tadalafil_Tab 20mg,18,160
L81014,Sildenafil_Tab 100mg,23,184
P92653,Sildenafil_Tab 50mg,8,31
L85046,Sildenafil_Tab 100mg,25,156
K84004,Sildenafil_Tab 100mg,32,190
A87003,Sildenafil_Tab 50mg,24,198
C83611,Sildenafil_Tab 100mg,17,164
C86017,Tadalafil_Tab 5mg,7,180
L82039,Sildenafil_Tab 100mg,18,212
L85052,Sildenafil_Tab 100mg,20,128
F85066,Sildenafil_Tab 100mg,29,170
K84025,Sildenafil_Tab 50mg,16,204
K81085,Sildenafil_Tab 100mg,27,128
C81034,Sildenafil_Tab 100mg,22,152
P85614,Sildenafil_Tab 50mg,9,66
M85034,Sildenafil_Tab 100mg,48,256
P81065,Sildenafil_Tab 50mg,21,156
G81038,Sildenafil_Tab 100mg,20,232
G81026,Sildenafil_Tab 100mg,22,134
G81034,Sildenafil_Tab 100mg,54,408
D82066,Tadalafil_Tab 10mg,2,10
A83627,Sildenafil_Liq Spec 5mg/5ml,1,50
J82083,Tadalafil_Tab 5mg,6,224
M82034,Sildenafil_Tab 100mg,19,156
N82117,Tadalafil_Tab 5mg,7,308
F83017,Sildenafil_Tab 100mg,20,156
G82231,Sildenafil_Tab 100mg,22,128
J82138,Tadalafil_Tab 20mg,25,200
Y04995,Sildenafil_Tab 50mg,54,280
N85044,Sildenafil_Tab 100mg,44,192
M81016,Sildenafil_Tab 100mg,45,220
C81056,Sildenafil_Tab 100mg,19,180
B82014,Sildenafil_Tab 50mg,12,86
N85028,Sildenafil_Tab 100mg,31,226
L85019,Sildenafil_Tab 100mg,26,160
F84017,Tadalafil_Tab 20mg,24,113
C83035,Sildenafil_Tab 100mg,37,232
L81131,Sildenafil_Tab 50mg,11,192
L82003,Sildenafil_Tab 100mg,31,156
C88041,Sildenafil_Tab 100mg,36,180
M84037,Sildenafil_Tab 100mg,42,208
L81015,Sildenafil_Tab 50mg,32,208
K82030,Sildenafil_Tab 50mg,19,98
J82087,Sildenafil_Tab 100mg,26,188
J81621,Sildenafil_Tab 100mg,34,228
A83030,Sildenafil_Tab 100mg,54,376
P81664,Sildenafil_Tab 50mg,31,206
E84008,Sildenafil_Tab 50mg,12,144
B86059,Tadalafil_Tab 5mg,6,252
J82075,Sildenafil_Tab 100mg,27,176
K83047,Sildenafil_Tab 100mg,62,296
A81011,Sildenafil_Tab 50mg,23,148
L83053,Sildenafil_Tab 50mg,29,248
A83025,Sildenafil_Tab 25mg,6,184
B81113,Tadalafil_Tab 20mg,6,34
E81035,Sildenafil_Tab 100mg,23,152
M91010,Sildenafil_Tab 100mg,21,184
B85015,Sildenafil_Tab 100mg,24,148
L83059,Sildenafil_Tab 100mg,25,266
G83006,Sildenafil_Tab 50mg,21,132
F83063,Sildenafil_Tab 100mg,35,288
A81002,Tadalafil_Tab 5mg,5,196
P85010,Sildenafil_Tab 100mg,32,184
M81004,Sildenafil_Tab 100mg,33,248
B81042,Sildenafil_Tab 50mg,29,212
P81055,Sildenafil_Tab 100mg,22,184
E87002,Tadalafil_Tab 5mg,4,196
A86021,Sildenafil_Tab 100mg,36,214
B86003,Sildenafil_Tab 100mg,30,300
M87601,Sildenafil_Tab 100mg,12,74
G85708,Sildenafil_Tab 100mg,19,156
N81108,Sildenafil_Tab 50mg,22,192
B86056,Sildenafil_Tab 100mg,15,152
B86024,Tadalafil_Tab 5mg,5,175
J82149,Sildenafil_Tab 50mg,18,118
L84048,Sildenafil_Tab 100mg,22,204
H81041,Sildenafil_Tab 100mg,15,244
A89030,Sildenafil_Tab 100mg,24,136
E87005,Sildenafil_Tab 100mg,14,152
K83066,Sildenafil_Tab 100mg,53,252
F85701,Sildenafil_Tab 100mg,23,144
C86038,Sildenafil_Tab 100mg,37,196
D83059,Sildenafil_Tab 50mg,29,204
C87014,Sildenafil_Tab 100mg,20,136
L83042,Sildenafil_Tab 100mg,30,204
M83071,Sildenafil_Tab 100mg,24,152
M84615,Sildenafil_Tab 100mg,27,144
H81084,Sildenafil_Tab 100mg,13,116
A89028,Sildenafil_Tab 100mg,24,156
C83056,Tadalafil_Tab 5mg,7,196
B87002,Sildenafil_Tab 100mg,20,152
Y05369,Sildenafil_Tab 100mg,30,156
C81045,Tadalafil_Tab 5mg,1,14
F85007,Tadalafil_Tab 20mg,18,116
E87762,Sildenafil_Tab 100mg,26,209
B86014,Sildenafil_Tab 100mg,56,396
J82079,Tadalafil_Tab 5mg,4,196
K83055,Sildenafil_Tab 50mg,24,124
N81068,Sildenafil_Tab 100mg,44,272
N81035,Tadalafil_Tab 10mg,5,38
C86037,Sildenafil_Tab 50mg,21,152
D83008,Sildenafil_Tab 50mg,41,212
G81030,Sildenafil_Tab 50mg,19,156
J82015,Sildenafil_Tab 50mg,8,128
C81021,Sildenafil_Tab 50mg,22,192
J81045,Sildenafil_Tab 100mg,36,256
C82027,Sildenafil_Tab 100mg,29,128
A86022,Tadalafil_Tab 10mg,3,26
F81090,Sildenafil_Tab 50mg,25,148
D81612,Sildenafil_Tab 100mg,22,110
D83001,Tadalafil_Tab 5mg,4,224
L83040,Sildenafil_Tab 100mg,19,164
C88015,Sildenafil_Tab 50mg,37,156
B86032,Sildenafil_Tab 100mg,39,380
D83610,Sildenafil_Tab 50mg,35,176
A81002,Sildenafil_Tab 100mg,71,538
H81076,Sildenafil_Tab 100mg,31,264
C84065,Sildenafil_Tab 100mg,22,156
E81012,Sildenafil_Tab 50mg,59,380
F83042,Sildenafil_Tab 100mg,11,208
C88069,Sildenafil_Tab 50mg,31,184
H82036,Tadalafil_Tab 5mg,6,156
B82007,Sildenafil_Tab 50mg,22,236
A86031,Sildenafil_Tab 100mg,27,172
F83665,Sildenafil_Tab 50mg,5,34
K81030,Sildenafil_Tab 100mg,39,186
L85055,Sildenafil_Tab 50mg,21,116
G85035,Sildenafil_Tab 50mg,11,74
J83034,Sildenafil_Tab 100mg,27,158
G84023,Sildenafil_Tab 100mg,17,132
P81130,Sildenafil_Tab 50mg,42,180
Y03135,Sildenafil_Tab 100mg,27,188
C83058,Sildenafil_Tab 50mg,17,132
P81128,Sildenafil_Tab 100mg,31,180
A81020,Sildenafil_Tab 100mg,25,128
F81126,Viagra_Tab 100mg,2,11
L83035,Tadalafil_Tab 5mg,10,248
F84070,Tadalafil_Tab 20mg,3,38
J81019,Tadalafil_Tab 5mg,5,126
F83023,Tadalafil_Tab 5mg,2,38
K83022,Sildenafil_Tab 100mg,31,166
F81115,Sildenafil_Tab 100mg,117,604
G81070,Sildenafil_Tab 50mg,21,208
F85004,Sildenafil_Tab 50mg,18,124
G81075,Sildenafil_Tab 50mg,4,26
L81086,Sildenafil_Tab 50mg,86,540
A86036,Sildenafil_Tab 100mg,28,148
E81029,Sildenafil_Tab 100mg,39,301
E81043,Sildenafil_Tab 100mg,23,150
M83110,Sildenafil_Tab 100mg,26,184
N82094,Tadalafil_Tab 20mg,7,50
F84021,Sildenafil_Tab 100mg,15,160
E84665,Sildenafil_Tab 50mg,8,54
A89617,Tadalafil_Tab 10mg,3,10
G82730,Sildenafil_Tab 50mg,19,128
H85002,Sildenafil_Tab 100mg,25,152
A87615,Sildenafil_Tab 50mg,10,118
K81644,Sildenafil_Tab 100mg,24,194
L82052,Sildenafil_Tab 100mg,46,238
C81069,Sildenafil_Tab 100mg,30,292
L83072,Sildenafil_Tab 50mg,32,224
B82005,Sildenafil_Tab 100mg,158,756
F81153,Sildenafil_Tab 100mg,34,176
N83025,Sildenafil_Tab 100mg,41,202
M81033,Sildenafil_Tab 100mg,20,156
G83029,Sildenafil_Tab 25mg,6,43
L83025,Sildenafil_Tab 50mg,23,144
A84002,Sildenafil_Tab 50mg,19,170
B87008,Sildenafil_Tab 100mg,52,282
F86691,Sildenafil_Tab 100mg,15,144
N81082,Tadalafil_Tab 5mg,3,62
M85025,Sildenafil_Tab 100mg,31,204
F84115,Sildenafil_Tab 100mg,20,192
F85030,Sildenafil_Tab 25mg,2,94
N82066,Sildenafil_Tab 100mg,35,264
N81086,Sildenafil_Tab 100mg,11,94
A81053,Sildenafil_Tab 100mg,22,196
K83036,Sildenafil_Tab 100mg,43,212
E87066,Sildenafil_Tab 100mg,23,156
M85046,Sildenafil_Tab 100mg,111,1098
K81014,Sildenafil_Tab 100mg,35,252
C81029,Sildenafil_Tab 100mg,61,322
G85685,Sildenafil_Tab 100mg,24,248
L83004,Sildenafil_Tab 50mg,21,136
G83044,Sildenafil_Tab 100mg,26,176
B86100,Sildenafil_Tab 100mg,19,186
M86008,Sildenafil_Tab 100mg,25,124
M82035,Sildenafil_Tab 100mg,37,192
K83024,Sildenafil_Tab 50mg,40,170
A83037,Sildenafil_Tab 50mg,38,236
K81045,Sildenafil_Tab 100mg,22,152
J81042,Sildenafil_Tab 25mg,3,240
P91604,Sildenafil_Tab 50mg,15,110
B86064,Sildenafil_Tab 100mg,17,190
H82005,Sildenafil_Tab 100mg,18,160
M85016,Sildenafil_Tab 100mg,18,128
F86012,Sildenafil_Tab 50mg,15,144
H85111,Sildenafil_Tab 25mg,13,148
C83040,Sildenafil_Tab 100mg,43,252
H81052,Sildenafil_Tab 50mg,26,212
B85038,Sildenafil_Tab 100mg,21,160
F81173,Tadalafil_Tab 20mg,2,10
F86012,Sildenafil_Tab 100mg,18,160
Y00412,Sildenafil_Tab 100mg,9,54
G82037,Sildenafil_Tab 100mg,71,344
K83030,Sildenafil_Tab 100mg,25,126
C84094,Tadalafil_Tab 20mg,15,85
A85011,Sildenafil_Tab 50mg,16,98
D82020,Sildenafil_Tab 100mg,36,180
B86075,Sildenafil_Tab 100mg,40,380
A83009,Sildenafil_Tab 100mg,19,116
C87020,Sildenafil_Tab 50mg,21,126
E85694,Sildenafil_Tab 50mg,4,37
F82019,Sildenafil_Tab 100mg,24,200
F84054,Sildenafil_Tab 50mg,16,214
A83051,Tadalafil_Tab 5mg,9,137
G82790,Sildenafil_Tab 50mg,10,90
C83019,Sildenafil_Tab 100mg,77,537
P92001,Sildenafil_Tab 100mg,22,244
K81062,Tadalafil_Tab 5mg,2,35
L81091,Tadalafil_Tab 5mg,9,372
P81159,Sildenafil_Tab 50mg,34,180
B82023,Sildenafil_Tab 100mg,21,148
F84017,Sildenafil_Tab 100mg,62,268
F86042,Sildenafil_Tab 100mg,10,116
M88006,Sildenafil_Tab 100mg,22,176
J83057,Sildenafil_Tab 100mg,31,240
H85101,Sildenafil_Tab 50mg,19,132
E85696,Sildenafil_Tab 100mg,9,81
F85013,Sildenafil_Tab 100mg,22,136
F81068,Tadalafil_Tab 10mg,3,50
Y00184,Sildenafil_Tab 50mg,7,54
G81065,Tadalafil_Tab 5mg,8,252
M84003,Sildenafil_Tab 100mg,42,222
D83030,Sildenafil_Tab 50mg,18,81
M92002,Sildenafil_Tab 100mg,19,152
K82008,Sildenafil_Tab 50mg,13,74
M85048,Sildenafil_Tab 100mg,29,184
J82087,Tadalafil_Tab 5mg,4,196
C84021,Sildenafil_Tab 100mg,47,320
D82064,Tadalafil_Tab 10mg,5,30
L84005,Tadalafil_Tab 5mg,4,224
G81104,Sildenafil_Tab 50mg,24,132
M84023,Sildenafil_Tab 100mg,52,312
D82018,Sildenafil_Tab 100mg,17,136
C88647,Sildenafil_Tab 50mg,12,78
H83019,Tadalafil_Tab 20mg,7,74
J82016,Sildenafil_Tab 25mg,4,268
H82030,Sildenafil_Tab 50mg,34,152
P91035,Sildenafil_Tab 100mg,18,136
K83044,Sildenafil_Tab 100mg,52,220
H82640,Sildenafil_Tab 50mg,25,248
E85708,Sildenafil_Tab 50mg,8,50
F83623,Tadalafil_Tab 20mg,6,94
L83100,Sildenafil_Tab 50mg,90,860
L84041,Sildenafil_Tab 50mg,26,156
M83638,Sildenafil_Tab 50mg,16,82
C86001,Sildenafil_Tab 100mg,119,606
N85625,Sildenafil_Tab 25mg,3,172
B86020,Sildenafil_Tab 100mg,31,278
L84018,Tadalafil_Tab 5mg,11,308
M87007,Sildenafil_Tab 50mg,22,150
D82104,Sildenafil_Tab 25mg,11,136
B86032,Sildenafil_Tab 50mg,44,364
P81196,Sildenafil_Tab 100mg,79,348
B84005,Sildenafil_Tab 50mg,17,166
F86652,Sildenafil_Tab 50mg,15,156
F81669,Sildenafil_Tab 100mg,10,58
L83096,Sildenafil_Tab 100mg,58,420
L85016,Sildenafil_Tab 50mg,52,356
J82008,Sildenafil_Tab 100mg,22,196
L85052,Sildenafil_Tab 50mg,18,224
J81028,Sildenafil_Tab 50mg,40,320
C81028,Sildenafil_Tab 50mg,17,208
H81021,Vardenafil_Tab 10mg,3,18
H81026,Tadalafil_Tab 5mg,1,42
M84001,Sildenafil_Tab 100mg,59,264
A88022,Sildenafil_Tab 100mg,30,152
C87008,Tadalafil_Tab 5mg,7,228
M85155,Sildenafil_Tab 100mg,23,176
Y03661,Tadalafil_Tab 5mg,1,10
H82040,Tadalafil_Tab 5mg,4,196
L84032,Tadalafil_Tab 5mg,5,196
F81095,Sildenafil_Tab 100mg,77,344
H82095,Tadalafil_Tab 20mg,4,50
F84016,Sildenafil_Tab 100mg,29,184
M87007,Sildenafil_Tab 25mg,5,70
F81069,Sildenafil_Tab 100mg,35,176
G85013,Sildenafil_Tab 100mg,26,220
L81075,Sildenafil_Tab 100mg,20,132
M83022,Tadalafil_Tab 5mg,16,448
C81029,Sildenafil_Tab 50mg,36,184
K81102,Sildenafil_Tab 50mg,18,172
M84043,Sildenafil_Tab 50mg,48,284
B81101,Sildenafil_Tab 100mg,56,522
C84709,Sildenafil_Tab 100mg,26,204
B86036,Sildenafil_Tab 50mg,26,228
M84026,Sildenafil_Tab 100mg,32,176
C81101,Sildenafil_Tab 50mg,15,128
B83013,Sildenafil_Tab 50mg,25,228
G83027,Sildenafil_Tab 100mg,33,252
K82047,Tadalafil_Tab 20mg,14,46
C85004,Tadalafil_Tab 5mg,7,196
E87733,Sildenafil_Tab 50mg,3,26
M81072,Sildenafil_Tab 50mg,16,172
E84066,Sildenafil_Tab 50mg,18,124
D82059,Sildenafil_Tab 100mg,55,260
C83060,Sildenafil_Tab 50mg,35,190
L85043,Sildenafil_Tab 100mg,30,192
B86064,Tadalafil_Tab 5mg,5,252
K83618,Sildenafil_Tab 100mg,22,93
F81023,Sildenafil_Tab 100mg,15,116
N83035,Sildenafil_Tab 100mg,24,160
P84669,Sildenafil_Tab 100mg,27,132
G82122,Sildenafil_Tab 100mg,36,206
H82038,Sildenafil_Tab 100mg,47,296
A83070,Sildenafil_Tab 100mg,21,132
G82118,Tadalafil_Tab 10mg,5,42
P85021,Sildenafil_Tab 100mg,36,208
P88026,Sildenafil_Tab 100mg,101,606
K84037,Sildenafil_Tab 25mg,7,144
N81059,Tadalafil_Tab 20mg,9,42
M83034,Sildenafil_Tab 50mg,23,148
J83030,Sildenafil_Tab 50mg,46,232
N85002,Sildenafil_Tab 50mg,38,200
E87756,Vardenafil_Tab 20mg,1,5
M89003,Sildenafil_Tab 100mg,83,624
C87009,Sildenafil_Tab 50mg,15,94
G82679,Sildenafil_Tab 50mg,15,62
A83015,Sildenafil_Tab 100mg,50,312
A83016,Sildenafil_Tab 100mg,45,284
B85054,Sildenafil_Tab 50mg,17,152
E82129,Sildenafil_Tab 50mg,18,128
J84007,Sildenafil_Tab 100mg,35,178
C87004,Tadalafil_Tab 20mg,17,106
G82234,Tadalafil_Tab 5mg,7,196
P81140,Sildenafil_Tab 100mg,32,144
K82013,Sildenafil_Tab 100mg,32,182
F81060,Sildenafil_Tab 100mg,13,116
C84026,Sildenafil_Tab 50mg,21,136
M87006,Tadalafil_Tab 5mg,1,42
P87024,Sildenafil_Tab 50mg,25,124
L83007,Sildenafil_Tab 100mg,30,224
A83022,Tadalafil_Tab 20mg,25,144
C85004,Sildenafil_Tab 50mg,66,492
C83035,Sildenafil_Tab 50mg,45,280
N84014,Sildenafil_Tab 100mg,15,98
A82016,Sildenafil_Tab 100mg,113,772
B82004,Sildenafil_Tab 100mg,38,250
B81099,Sildenafil_Tab 50mg,25,124
H85045,Sildenafil_Tab 25mg,6,111
G83009,Sildenafil_Tab 50mg,18,144
M84041,Sildenafil_Tab 100mg,13,65
E82100,Sildenafil_Tab 50mg,25,136
B82033,Sildenafil_Tab 100mg,38,160
P86012,Vardenafil_Tab 10mg,3,6
N81109,Sildenafil_Tab 50mg,16,124
F81123,Tadalafil_Tab 5mg,6,280
K84016,Sildenafil_Tab 50mg,11,126
K83051,Sildenafil_Tab 100mg,56,284
B86012,Sildenafil_Tab 100mg,86,560
E82083,Sildenafil_Tab 25mg,8,324
D82085,Sildenafil_Tab 100mg,34,240
A87015,Sildenafil_Tab 50mg,15,118
N82062,Sildenafil_Tab 100mg,12,124
F81081,Sildenafil_Tab 100mg,36,188
K84026,Sildenafil_Tab 25mg,7,121
D82051,Tadalafil_Tab 5mg,8,252
F84006,Tadalafil_Tab 20mg,28,128
G82056,Sildenafil_Tab 100mg,12,70
L84006,Sildenafil_Tab 50mg,29,148
Y02751,Sildenafil_Tab 100mg,32,232
J82215,Vardenafil_Tab 20mg,1,10
P84010,Sildenafil_Tab 100mg,25,128
K81097,Tadalafil_Tab 20mg,4,14
L84058,Sildenafil_Tab 50mg,16,114
F86666,Sildenafil_Tab 50mg,26,128
G81088,Sildenafil_Tab 100mg,34,228
E85029,Viagra_Tab 100mg,1,6
G82647,Sildenafil_Tab 100mg,19,152
A83032,Sildenafil_Tab 50mg,6,34
M85033,Tadalafil_Tab 5mg,11,434
F81048,Viagra_Tab 100mg,3,3
C84628,Sildenafil_Tab 100mg,29,136
K81027,Sildenafil_Tab 100mg,37,156
B81036,Tadalafil_Tab 5mg,7,196
J82122,Sildenafil_Tab 100mg,46,233
A89009,Sildenafil_Tab 100mg,50,263
H85111,Sildenafil_Tab 100mg,29,212
E83017,Sildenafil_Tab 100mg,34,272
A84034,Sildenafil_Tab 50mg,11,122
H85011,Sildenafil_Tab 100mg,17,116
D81030,Sildenafil_Tab 100mg,43,208
J82098,Sildenafil_Tab 100mg,48,309
G81018,Sildenafil_Tab 25mg,7,116
F81081,Tadalafil_Tab 5mg,7,336
B86006,Sildenafil_Tab 100mg,41,324
C84059,Sildenafil_Tab 50mg,30,216
H82078,Sildenafil_Tab 100mg,21,152
D83608,Sildenafil_Tab 100mg,22,128
E84058,Tadalafil_Tab 5mg,17,385
N83013,Sildenafil_Tab 100mg,24,218
G82093,Tadalafil_Tab 5mg,5,116
C83018,Tadalafil_Tab 5mg,17,308
B85016,Sildenafil_Tab 100mg,20,170
H85105,Sildenafil_Tab 50mg,20,152
M83069,Sildenafil_Tab 100mg,36,256
G82215,Tadalafil_Tab 20mg,1,10
C81030,Sildenafil_Tab 100mg,30,160
C84085,Sildenafil_Tab 50mg,17,204
P81061,Sildenafil_Tab 50mg,21,118
A84013,Sildenafil_Tab 100mg,22,132
E84068,Sildenafil_Tab 100mg,41,305
C83056,Tadalafil_Tab 10mg,11,59
N83009,Sildenafil_Tab 100mg,40,229
L84060,Sildenafil_Tab 50mg,39,184
C84024,Sildenafil_Tab 50mg,51,314
C84034,Sildenafil_Tab 50mg,13,148
G82031,Cialis_Tab 5mg,9,280
G82135,Sildenafil_Tab 100mg,60,444
K83017,Sildenafil_Tab 50mg,27,128
L84052,Sildenafil_Tab 100mg,26,132
E87016,Sildenafil_Tab 50mg,6,90
A84011,Sildenafil_Tab 50mg,25,324
F84720,Sildenafil_Tab 100mg,11,58
L81089,Sildenafil_Tab 100mg,26,136
A83011,Sildenafil_Tab 100mg,31,264
C82005,Sildenafil_Tab 50mg,9,46
C83027,Sildenafil_Tab 100mg,35,208
L81014,Tadalafil_Tab 5mg,10,448
G85724,Sildenafil_Tab 100mg,16,156
B81675,Sildenafil_Tab 100mg,37,288
B86030,Sildenafil_Tab 100mg,13,144
N82024,Tadalafil_Tab 5mg,9,266
C83031,Sildenafil_Tab 100mg,30,220
G81658,Sildenafil_Tab 100mg,32,208
B84010,Tadalafil_Tab 20mg,9,54
B83008,Sildenafil_Tab 100mg,39,280
B81003,Tadalafil_Tab 5mg,7,224
M85110,Sildenafil_Tab 100mg,31,176
M85007,Sildenafil_Tab 100mg,23,192
P82021,Sildenafil_Tab 50mg,15,124
G81039,Sildenafil_Tab 25mg,9,286
A83011,Tadalafil_Tab 5mg,7,364
M83084,Sildenafil_Tab 50mg,17,128
L83086,Sildenafil_Tab 50mg,10,94
E81003,Tadalafil_Tab 20mg,9,134
F81007,Tadalafil_Tab 5mg,9,510
M91018,Cialis_Tab 20mg,1,10
B82026,Sildenafil_Tab 100mg,123,532
P92026,Sildenafil_Tab 50mg,20,188
C81073,Sildenafil_Tab 50mg,14,144
K84002,Sildenafil_Tab 50mg,20,110
E81038,Sildenafil_Tab 100mg,65,424
D82099,Sildenafil_Tab 100mg,24,124
B81015,Sildenafil_Tab 100mg,43,192
P81089,Sildenafil_Tab 50mg,35,184
A81011,Sildenafil_Tab 100mg,41,216
L84046,Sildenafil_Tab 50mg,32,270
B85026,Sildenafil_Tab 50mg,15,192
N81016,Sildenafil_Tab 100mg,52,292
F83023,Sildenafil_Tab 100mg,40,312
P82023,Cialis_Tab 5mg,1,14
C84001,Sildenafil_Tab 100mg,132,878
E85744,Sildenafil_Tab 50mg,13,126
A83005,Sildenafil_Tab 50mg,23,130
B82025,Tadalafil_Tab 10mg,2,22
C84133,Sildenafil_Tab 100mg,24,144
G81043,Tadalafil_Tab 5mg,6,196
D82012,Sildenafil_Tab 25mg,5,160
F84062,Sildenafil_Tab 100mg,45,264
B83064,Sildenafil_Tab 50mg,20,160
G82082,Sildenafil_Tab 100mg,24,248
N81081,Sildenafil_Tab 100mg,29,148
M85046,Sildenafil_Tab 50mg,72,654
Y04884,Tadalafil_Tab 5mg,1,14
F84676,Sildenafil_Tab 25mg,10,133
P89015,Sildenafil_Tab 50mg,36,174
D82003,Sildenafil_Tab 100mg,71,368
E87637,Tadalafil_Tab 20mg,25,232
L85038,Sildenafil_Tab 100mg,24,121
L81046,Tadalafil_Tab 5mg,7,308
C81060,Sildenafil_Tab 100mg,26,208
B86093,Tadalafil_Tab 5mg,5,230
N81087,Sildenafil_Tab 100mg,67,386
F81681,Sildenafil_Tab 100mg,54,248
M83650,Tadalafil_Tab 10mg,3,14
E87047,Sildenafil_Tab 100mg,20,116
L81026,Tadalafil_Tab 20mg,17,148
D83610,Tadalafil_Tab 20mg,5,30
E84015,Sildenafil_Tab 100mg,41,280
F86004,Sildenafil_Tab 50mg,20,176
Y02676,Tadalafil_Tab 5mg,5,252
L83008,Sildenafil_Tab 50mg,20,132
E82093,Sildenafil_Tab 100mg,46,236
J82155,Sildenafil_Tab 100mg,73,520
H82100,Sildenafil_Tab 100mg,17,150
K82013,Sildenafil_Tab 50mg,31,214
B81032,Tadalafil_Tab 5mg,6,63
H82044,Sildenafil_Tab 50mg,15,176
D83047,Sildenafil_Tab 100mg,33,192
H85680,Sildenafil_Tab 25mg,2,94
B87030,Sildenafil_Tab 100mg,126,704
L83094,Sildenafil_Tab 100mg,27,172
M81094,Sildenafil_Tab 50mg,26,180
L81062,Sildenafil_Tab 100mg,32,384
C81089,Sildenafil_Tab 25mg,3,176
K83021,Sildenafil_Tab 100mg,96,500
F82006,Sildenafil_Tab 50mg,20,180
L83616,Sildenafil_Tab 50mg,2,14
B82038,Sildenafil_Tab 25mg,8,132
J81018,Tadalafil_Tab 5mg,4,156
H82078,Sildenafil_Tab 50mg,37,358
N85020,Tadalafil_Tab 20mg,12,50
L82620,Sildenafil_Tab 100mg,21,160
