month,pct,list_size
2017-05-01,10T,157587
2017-05-01,10V,213712
2017-05-01,10W,143635
2017-05-01,10X,282245
2017-05-01,10Y,212690
2017-05-01,112,745
2017-05-01,11A,558057
2017-05-01,11C,154560
2017-05-01,11D,162658
2017-05-01,11E,203719
2017-05-01,11H,506515
2017-05-01,11J,795155
2017-05-01,11M,637833
2017-05-01,11N,569662
2017-05-01,11T,218432
2017-05-01,11X,569773
2017-05-01,12A,267638
2017-05-01,12D,233474
2017-05-01,12F,335421
2017-05-01,13P,721586
2017-05-01,13T,520368
2017-05-01,14L,628289
2017-05-01,99A,523341
2017-05-01,99C,218177
2017-05-01,99D,165292
2017-05-01,99E,276597
2017-05-01,99F,184655
2017-05-01,99G,187229
2017-05-01,99H,305969
2017-05-01,99J,486834
2017-05-01,99K,169874
2017-05-01,99M,226200
2017-05-01,99N,484636
2017-05-01,99P,921104
2017-05-01,99Q,290494
2017-05-01,RY6,1450
2017-06-01,00C,107888
2017-06-01,00D,291043
2017-06-01,00J,256342
2017-06-01,00K,296498
2017-06-01,00L,323852
2017-06-01,00M,294793
2017-06-01,00N,156612
2017-06-01,00P,284161
2017-06-01,00Q,173936
2017-06-01,00R,172919
2017-06-01,00T,307126
2017-06-01,00V,202707
2017-06-01,00X,182139
2017-06-01,00Y,253309
2017-06-01,01A,379565
2017-06-01,01C,207762
2017-06-01,01D,231409
2017-06-01,01E,213731
2017-06-01,01F,130699
2017-06-01,01G,267909
2017-06-01,01H,323267
2017-06-01,01J,163952
2017-06-01,01K,360960
2017-06-01,01R,183453
2017-06-01,01T,154790
2017-06-01,01V,124397
2017-06-01,01W,310243
2017-06-01,01X,196867
2017-06-01,01Y,246644
2017-06-01,02A,240636
2017-06-01,02D,105435
2017-06-01,02E,217292
2017-06-01,02F,262078
2017-06-01,02G,113036
2017-06-01,02H,326165
2017-06-01,02M,151319
2017-06-01,02N,158713
2017-06-01,02P,258218
2017-06-01,02Q,116348
2017-06-01,02R,331415
2017-06-01,02T,219932
2017-06-01,02V,215577
2017-06-01,02W,137940
2017-06-01,02X,318003
2017-06-01,02Y,302237
2017-06-01,03A,246702
2017-06-01,03C,375856
2017-06-01,03D,143819
2017-06-01,03E,162138
2017-06-01,03F,296374
2017-06-01,03G,278271
2017-06-01,03H,169168
2017-06-01,03J,192466
2017-06-01,03K,173213
2017-06-01,03L,261596
2017-06-01,03M,119692
2017-06-01,03N,593389
2017-06-01,03Q,352352
2017-06-01,03R,369908
2017-06-01,03T,248113
2017-06-01,03V,77078
2017-06-01,03W,327997
2017-06-01,03X,97562
2017-06-01,03Y,103766
2017-06-01,04C,398537
2017-06-01,04D,237306
2017-06-01,04E,192361
2017-06-01,04F,290864
2017-06-01,04G,676420
2017-06-01,04H,133814
2017-06-01,04J,292200
2017-06-01,04K,371515
2017-06-01,04L,151403
2017-06-01,04M,93917
2017-06-01,04N,125668
2017-06-01,04Q,133159
2017-06-01,04R,550309
2017-06-01,04V,386916
2017-06-01,04X,331066
2017-06-01,04Y,132375
2017-06-01,05A,505837
2017-06-01,05C,318335
2017-06-01,05D,140372
2017-06-01,05F,186229
2017-06-01,05G,217588
2017-06-01,05H,190092
2017-06-01,05J,177014
2017-06-01,05L,564742
2017-06-01,05N,307396
2017-06-01,05P,248071
2017-06-01,05Q,217477
2017-06-01,05R,282719
2017-06-01,05T,308145
2017-06-01,05V,148245
2017-06-01,05W,289258
2017-06-01,05X,184510
2017-06-01,05Y,283267
2017-06-01,06A,277006
2017-06-01,06D,115578
2017-06-01,06F,473675
2017-06-01,06H,952222
2017-06-01,06K,593969
2017-06-01,06L,404551
2017-06-01,06M,238716
2017-06-01,06N,640748
2017-06-01,06P,231981
2017-06-01,06Q,388753
2017-06-01,06T,347781
2017-06-01,06V,172969
2017-06-01,06W,233169
2017-06-01,06Y,225615
2017-06-01,07G,174219
2017-06-01,07H,309451
2017-06-01,07J,174450
2017-06-01,07K,249213
2017-06-01,07L,222514
2017-06-01,07M,416146
2017-06-01,07N,239302
2017-06-01,07P,373041
2017-06-01,07Q,346591
2017-06-01,07R,277049
2017-06-01,07T,312782
2017-06-01,07V,408373
2017-06-01,07W,432983
2017-06-01,07X,335449
2017-06-01,07Y,310254
2017-06-01,08A,292484
2017-06-01,08C,214199
2017-06-01,08D,315695
2017-06-01,08E,264078
2017-06-01,08F,275794
2017-06-01,08G,308555
2017-06-01,08H,247094
2017-06-01,08J,206566
2017-06-01,08K,403812
2017-06-01,08L,324957
2017-06-01,08M,392983
2017-06-01,08N,311789
2017-06-01,08P,215520
2017-06-01,08Q,324134
2017-06-01,08R,224524
2017-06-01,08T,193459
2017-06-01,08V,314163
2017-06-01,08W,308481
2017-06-01,08X,396905
2017-06-01,08Y,245499
2017-06-01,09A,219643
2017-06-01,09C,131662
2017-06-01,09D,314715
2017-06-01,09E,223106
2017-06-01,09F,194995
2017-06-01,09G,511220
2017-06-01,09H,131876
2017-06-01,09J,265581
2017-06-01,09L,181762
2017-06-01,09N,225136
2017-06-01,09P,188100
2017-06-01,09W,298028
2017-06-01,09X,238458
2017-06-01,09Y,370434
2017-06-01,10A,204343
2017-06-01,10C,96354
2017-06-01,10D,111909
2017-06-01,10E,144973
2017-06-01,10G,141109
2017-06-01,10H,341702
2017-06-01,10J,225397
2017-06-01,10K,204283
2017-06-01,10L,143821
2017-06-01,10M,118851
2017-06-01,10N,110776
2017-06-01,10Q,732066
2017-06-01,10R,227893
2017-06-01,10T,158093
2017-06-01,10V,213916
2017-06-01,10W,144066
2017-06-01,10X,282685
2017-06-01,10Y,213129
2017-06-01,112,755
2017-06-01,11A,558821
2017-06-01,11C,154877
2017-06-01,11D,163026
2017-06-01,11E,203945
2017-06-01,11H,507671
2017-06-01,11J,796291
2017-06-01,11M,638963
2017-06-01,11N,570428
2017-06-01,11T,218623
2017-06-01,11X,570170
2017-06-01,12A,267973
2017-06-01,12D,233806
2017-06-01,12F,335709
2017-06-01,13P,721856
2017-06-01,13T,520427
2017-06-01,14L,629105
2017-06-01,99A,523856
2017-06-01,99C,218409
2017-06-01,99D,165665
2017-06-01,99E,276771
2017-06-01,99F,184655
2017-06-01,99G,187352
2017-06-01,99H,306132
2017-06-01,99J,487453
2017-06-01,99K,169966
2017-06-01,99M,226410
2017-06-01,99N,485672
2017-06-01,99P,922448
2017-06-01,99Q,290901
2017-07-01,00C,107973
2017-07-01,00D,291331
2017-07-01,00J,256330
2017-07-01,00K,296585
2017-07-01,00L,324170
2017-07-01,00M,294962
2017-07-01,00N,156643
2017-07-01,00P,284238
2017-07-01,00Q,174079
2017-07-01,00R,173127
2017-07-01,00T,307550
2017-07-01,00V,202904
2017-07-01,00X,182401
2017-07-01,00Y,253397
2017-07-01,01A,379939
2017-07-01,01C,207973
2017-07-01,01D,231734
2017-07-01,01E,213838
2017-07-01,01F,130779
2017-07-01,01G,268375
2017-07-01,01H,323540
2017-07-01,01J,164121
2017-07-01,01K,359630
2017-07-01,01R,183771
2017-07-01,01T,154693
2017-07-01,01V,124520
2017-07-01,01W,310634
2017-07-01,01X,196955
2017-07-01,01Y,246840
2017-07-01,02A,240828
2017-07-01,02D,105673
2017-07-01,02E,217462
2017-07-01,02F,262260
2017-07-01,02G,112959
2017-07-01,02H,326398
2017-07-01,02M,151366
2017-07-01,02N,158745
2017-07-01,02P,258457
2017-07-01,02Q,116525
2017-07-01,02R,331674
2017-07-01,02T,220162
2017-07-01,02V,215933
2017-07-01,02W,138138
2017-07-01,02X,318722
2017-07-01,02Y,302560
2017-07-01,03A,246857
2017-07-01,03C,374829
2017-07-01,03D,144003
2017-07-01,03E,162254
2017-07-01,03F,296516
2017-07-01,03G,278504
2017-07-01,03H,169263
2017-07-01,03J,192601
2017-07-01,03K,173473
2017-07-01,03L,261858
2017-07-01,03M,119823
2017-07-01,03N,592778
2017-07-01,03Q,352407
2017-07-01,03R,370387
2017-07-01,03T,248422
2017-07-01,03V,77190
2017-07-01,03W,328539
2017-07-01,03X,97561
2017-07-01,03Y,103852
2017-07-01,04C,398403
2017-07-01,04D,237262
2017-07-01,04E,192497
2017-07-01,04F,291319
2017-07-01,04G,677343
2017-07-01,04H,133961
2017-07-01,04J,292306
2017-07-01,04K,369320
2017-07-01,04L,151639
2017-07-01,04M,93865
2017-07-01,04N,125848
2017-07-01,04Q,133216
2017-07-01,04R,550629
2017-07-01,04V,387053
2017-07-01,04X,331350
2017-07-01,04Y,132468
2017-07-01,05A,504735
2017-07-01,05C,318492
2017-07-01,05D,140559
2017-07-01,05F,186476
2017-07-01,05G,217508
2017-07-01,05H,190481
2017-07-01,05J,177214
2017-07-01,05L,565681
2017-07-01,05N,307634
2017-07-01,05P,248471
2017-07-01,05Q,217537
2017-07-01,05R,283028
2017-07-01,05T,308453
2017-07-01,05V,148531
2017-07-01,05W,289303
2017-07-01,05X,184562
2017-07-01,05Y,283732
2017-07-01,06A,277329
2017-07-01,06D,115668
2017-07-01,06F,474336
2017-07-01,06H,953782
2017-07-01,06K,594694
2017-07-01,06L,404967
2017-07-01,06M,238972
2017-07-01,06N,641649
2017-07-01,06P,232125
2017-07-01,06Q,389258
2017-07-01,06T,347996
2017-07-01,06V,173165
2017-07-01,06W,233162
2017-07-01,06Y,225854
2017-07-01,07G,174544
2017-07-01,07H,310019
2017-07-01,07J,174551
2017-07-01,07K,249498
2017-07-01,07L,222931
2017-07-01,07M,418129
2017-07-01,07N,239579
2017-07-01,07P,373870
2017-07-01,07Q,347202
2017-07-01,07R,276791
2017-07-01,07T,313640
2017-07-01,07V,409331
2017-07-01,07W,433662
2017-07-01,07X,335931
2017-07-01,07Y,310896
2017-07-01,08A,292782
2017-07-01,08C,214483
2017-07-01,08D,315365
2017-07-01,08E,264576
2017-07-01,08F,276363
2017-07-01,08G,308885
2017-07-01,08H,247535
2017-07-01,08J,206827
2017-07-01,08K,405218
2017-07-01,08L,325875
2017-07-01,08M,394091
2017-07-01,08N,312820
2017-07-01,08P,215836
2017-07-01,08Q,325118
2017-07-01,08R,225129
2017-07-01,08T,193872
2017-07-01,08V,315317
2017-07-01,08W,308909
2017-07-01,08X,397946
2017-07-01,08Y,246084
2017-07-01,09A,220077
2017-07-01,09C,131929
2017-07-01,09D,314734
2017-07-01,09E,222649
2017-07-01,09F,195087
2017-07-01,09G,511801
2017-07-01,09H,132079
2017-07-01,09J,266110
2017-07-01,09L,181989
2017-07-01,09N,225258
2017-07-01,09P,188202
2017-07-01,09W,297752
2017-07-01,09X,238687
2017-07-01,09Y,370811
2017-07-01,10A,204581
2017-07-01,10C,96477
2017-07-01,10D,111847
2017-07-01,10E,145018
2017-07-01,10G,141304
2017-07-01,10H,342185
2017-07-01,10J,225531
2017-07-01,10K,204640
2017-07-01,10L,143980
2017-07-01,10M,118988
2017-07-01,10N,110790
2017-07-01,10Q,733225
2017-07-01,10R,227480
2017-07-01,10T,158358
2017-07-01,10V,214293
