month,pct,total_items,total_cost
2010-10-01,02P,1,31.6
2010-10-01,02X,2,126.4
2010-10-01,01R,3,162.07999999999998
2010-10-01,04M,3,212.49
2010-10-01,07X,8,390.65
2010-10-01,01K,2,63.27
2010-10-01,05X,4,307.71000000000004
2010-10-01,10V,4,153.09
2010-10-01,02T,2,154.3
2010-10-01,08K,7,640.74
2010-10-01,04N,3,145.44
2010-10-01,11X,15,676.74
2010-10-01,05H,1,28.35
2010-10-01,06D,1,84.3
2010-10-01,10Q,7,246.67000000000002
2010-10-01,03H,10,522.4499999999999
2010-10-01,11E,2,61.97
2010-10-01,03L,3,183.15
2010-10-01,06L,7,411.31
2010-10-01,03M,1,60.68
2010-10-01,00P,8,368.56
2010-10-01,99Q,13,624.22
2010-10-01,09D,2,166.09
2010-10-01,11M,27,1343.52
2010-10-01,11A,7,346.55
2010-10-01,99K,2,91.05
2010-10-01,10L,4,182.18
2010-10-01,09J,5,132.55
2010-10-01,05A,6,267.7
2010-10-01,03V,1,60.72
2010-10-01,07L,2,91.09
2010-10-01,07T,12,617.88
2010-10-01,04R,8,316.47
2010-10-01,02F,3,183.38
2010-10-01,99A,10,598.2
2010-10-01,06T,2,133.19
2010-10-01,09X,5,184.72
2010-10-01,00K,4,52.8
2010-10-01,09N,1,31.63
2010-10-01,08V,13,951.29
2010-10-01,99D,4,123.53
2010-10-01,5K5,1,60.72
2010-10-01,08M,4,63.33
2010-10-01,03W,27,1101.0100000000002
2010-10-01,08T,2,60.74
2010-10-01,02R,6,311.17
2010-10-01,01V,1,31.63
2010-10-01,05D,2,94.87
2010-10-01,05G,2,156.78
2010-10-01,02Y,5,184.69
2010-10-01,05F,2,93.61
2010-10-01,08Q,6,461.19
2010-10-01,04H,1,60.68
2010-10-01,10J,11,466.73
2010-10-01,07W,8,393.49
2010-10-01,09E,2,75.91
2010-10-01,10K,6,350.78000000000003
2010-10-01,13T,4,135.81
2010-10-01,00C,1,63.24
2010-10-01,02G,2,151.77
2010-10-01,08N,8,373.19
2010-10-01,15F,9,456.5
2010-10-01,03F,3,123.22
2010-10-01,06V,1,10.53
2010-10-01,07J,3,123.92
2010-10-01,04D,3,93.63
2010-10-01,04Y,2,60.74
2010-10-01,99J,13,622.84
2010-10-01,15D,2,60.74
2010-10-01,08G,3,81.84
2010-10-01,04F,8,329.79
2010-10-01,01J,3,92.37
2010-10-01,08E,13,750.08
2010-10-01,99P,8,307.91
2010-10-01,03D,2,92.31
2010-10-01,08R,3,220.05
2010-10-01,07K,1,60.72
2010-10-01,14Y,4,184.67000000000002
2010-10-01,08A,6,486.89
2010-10-01,01W,1,60.72
2010-10-01,05W,8,360.72
2010-10-01,03E,2,88.55
2010-10-01,05N,8,337.74
2010-10-01,08X,4,153.09
2010-10-01,09W,5,122.32
2010-10-01,00D,2,94.87
2010-10-01,09H,3,163.61
2010-10-01,11J,9,436.41
2010-10-01,04V,9,356.35
2010-10-01,15E,17,550.4300000000001
2010-10-01,08C,4,141.72
2010-10-01,04L,1,30.37
2010-10-01,00Q,2,156.81
2010-10-01,09A,6,338.99
2010-10-01,99H,5,167.38000000000002
2010-10-01,08F,9,337.81
2010-10-01,05V,3,156.85
2010-10-01,09P,2,102.89
2010-10-01,10E,1,30.37
2010-10-01,06M,2,189.68
2010-10-01,00T,1,30.37
2010-10-01,08J,4,121.49000000000001
