month,pct,pt_0_4
2014-02-01,04R,32134
2014-02-01,04V,19991
2014-02-01,04X,18355
2014-02-01,04Y,7476
2014-02-01,05A,30595
2014-02-01,05C,18197
2014-02-01,05D,8126
2014-02-01,05F,9343
2014-02-01,05G,10544
2014-02-01,05H,10530
2014-02-01,05J,9948
2014-02-01,05L,39280
2014-02-01,05N,14363
2014-02-01,05P,13794
2014-02-01,05Q,11626
2014-02-01,05R,14070
2014-02-01,05T,15496
2014-02-01,05V,7081
2014-02-01,05W,18456
2014-02-01,05X,11206
2014-02-01,05Y,18416
2014-02-01,06A,17113
2014-02-01,06D,5810
2014-02-01,06F,28220
2014-02-01,06H,54930
2014-02-01,06K,35702
2014-02-01,06L,21376
2014-02-01,06M,12195
2014-02-01,06N,40400
2014-02-01,06P,17083
2014-02-01,06Q,21511
2014-02-01,06T,18546
2014-02-01,06V,7240
2014-02-01,06W,11963
2014-02-01,06Y,12574
2014-02-01,07G,12134
2014-02-01,07H,18705
2014-02-01,07J,8592
2014-02-01,07K,12724
2014-02-01,07L,18981
2014-02-01,07M,27333
2014-02-01,07N,15041
2014-02-01,07P,23932
2014-02-01,07Q,20949
2014-02-01,07R,12899
2014-02-01,07T,21067
2014-02-01,07V,27557
2014-02-01,07W,28756
2014-02-01,07X,23444
2014-02-01,07Y,21630
2014-02-01,08A,21684
2014-02-01,08C,11955
2014-02-01,08D,19429
2014-02-01,08E,16746
2014-02-01,08F,15440
2014-02-01,08G,20420
2014-02-01,08H,13117
2014-02-01,08J,12737
2014-02-01,08K,22157
2014-02-01,08L,22669
2014-02-01,08M,29328
2014-02-01,08N,22157
2014-02-01,08P,14454
2014-02-01,08Q,20868
2014-02-01,08R,15368
2014-02-01,08T,12871
2014-02-01,08V,20592
2014-02-01,08W,22606
2014-02-01,08X,25033
2014-02-01,08Y,13021
2014-02-01,09A,9347
2014-02-01,09C,7748
2014-02-01,09D,15540
2014-02-01,09E,10045
2014-02-01,09F,9675
2014-02-01,09G,25321
2014-02-01,09H,8903
2014-02-01,09J,16694
2014-02-01,09L,11419
2014-02-01,09N,12072
2014-02-01,09P,9498
2014-02-01,09W,18836
2014-02-01,09X,12862
2014-02-01,09Y,23398
2014-02-01,104,0
2014-02-01,106,0
2014-02-01,107,0
2014-02-01,10A,11040
2014-02-01,10C,5423
2014-02-01,10D,6954
2014-02-01,10E,8466
2014-02-01,10G,8446
2014-02-01,10H,19699
2014-02-01,10J,13620
2014-02-01,10K,11226
2014-02-01,10L,6595
2014-02-01,10M,7090
2014-02-01,10N,7257
2014-02-01,10Q,40241
2014-02-01,10R,13406
2014-02-01,10T,12527
2014-02-01,10V,11305
2014-02-01,10W,9047
2014-02-01,10X,16763
2014-02-01,10Y,12287
2014-02-01,110,0
2014-02-01,111,0
2014-02-01,112,20
2014-02-01,114,1
2014-02-01,116,0
2014-02-01,117,0
2014-02-01,11A,28861
2014-02-01,11C,9211
2014-02-01,11D,9594
2014-02-01,11E,9747
2014-02-01,11H,31344
2014-02-01,11J,38565
2014-02-01,11M,33954
2014-02-01,11N,28787
2014-02-01,11T,11992
2014-02-01,11X,28939
2014-02-01,12A,15752
2014-02-01,12D,15431
2014-02-01,12F,18789
2014-02-01,12G,0
2014-02-01,12H,0
2014-02-01,12J,0
2014-02-01,12M,0
2014-02-01,12N,0
2014-02-01,12P,0
2014-02-01,12Q,0
2014-02-01,12V,0
2014-02-01,12W,0
2014-02-01,13A,0
2014-02-01,13C,0
2014-02-01,13F,0
2014-02-01,13H,0
2014-02-01,13K,0
2014-02-01,13L,0
