month,pct,glarg_items,glar_percent_items
2010-09-01,06N,688,1.0
2010-09-01,07W,590,1.0
2010-09-01,02Y,775,1.0
2010-09-01,08J,268,1.0
2010-09-01,06V,438,1.0
2010-09-01,02F,379,1.0
2010-09-01,10L,310,1.0
2010-09-01,08V,606,1.0
2010-09-01,03W,714,1.0
2010-09-01,05A,1023,1.0
2010-09-01,07P,505,1.0
2010-09-01,01W,485,1.0
2010-09-01,07T,476,1.0
2010-09-01,07V,948,1.0
2010-09-01,01G,266,1.0
2010-09-01,NTP,1,1.0
2010-09-01,03H,440,1.0
2010-09-01,08E,476,1.0
2010-09-01,08D,381,1.0
2010-09-01,03K,364,1.0
2010-09-01,03R,744,1.0
2010-09-01,15C,955,1.0
2010-09-01,06M,466,1.0
2010-09-01,05C,793,1.0
2010-09-01,13T,831,1.0
2010-09-01,02T,576,1.0
2010-09-01,09F,326,1.0
2010-09-01,04K,438,1.0
2010-09-01,08A,313,1.0
2010-09-01,15D,1114,1.0
2010-09-01,05W,614,1.0
2010-09-01,99K,365,1.0
2010-09-01,02M,330,1.0
2010-09-01,09W,447,1.0
2010-09-01,11X,804,1.0
2010-09-01,10J,394,1.0
2010-09-01,15F,1437,1.0
2010-09-01,04R,949,1.0
2010-09-01,02X,836,1.0
2010-09-01,05H,726,1.0
2010-09-01,00V,583,1.0
2010-09-01,07M,486,1.0
2010-09-01,07R,324,1.0
2010-09-01,00T,658,1.0
2010-09-01,99N,1018,1.0
2010-09-01,09L,248,1.0
2010-09-01,5N6,1,1.0
2010-09-01,NCN,1,1.0
2010-09-01,RNU,4,1.0
2010-09-01,5QC,3,1.0
2010-09-01,06Q,846,1.0
2010-09-01,05L,1805,1.0
2010-09-01,09G,574,1.0
2010-09-01,RW5,2,1.0
2010-09-01,08M,1162,1.0
2010-09-01,01Y,684,1.0
2010-09-01,10A,293,1.0
2010-09-01,5L1,1,1.0
2010-09-01,00N,364,1.0
2010-09-01,10X,350,1.0
2010-09-01,04Y,566,1.0
2010-09-01,11D,4,1.0
2010-09-01,07Y,481,1.0
2010-09-01,09E,318,1.0
2010-09-01,03N,337,1.0
2010-09-01,00Q,426,1.0
2010-09-01,00R,311,1.0
2010-09-01,12D,311,1.0
