month,pct,s5_items,s3_items,s5_percent_items,s3_percent_items
2015-10-01,14Y,225757,120865,0.02121954009494592,0.01136044381160114
2015-10-01,00P,363384,181466,0.030619875010806746,0.015290894036917028
2015-10-01,14L,554378,207372,0.03822841238150463,0.014299814084212176
2015-10-01,09W,241228,80293,0.036210285889955125,0.012052632716609045
2015-10-01,10K,125917,66069,0.028892146114404795,0.015159789398036885
2015-10-01,08X,137299,48245,0.022443076636390905,0.007886191686193485
2015-10-01,00L,345479,178224,0.028893456367559817,0.01490541354945447
2015-10-01,06W,182089,77565,0.03451173744780045,0.014701068791297893
2015-10-01,06V,183124,48247,0.028216928462126242,0.007434209319981022
2015-10-01,04L,109480,47016,0.030403510233552724,0.01305673581604599
2015-10-01,01A,442855,135371,0.039944719333449806,0.012210219148227827
2015-10-01,00R,315778,107541,0.0471031765683706,0.016041404756946785
2015-10-01,05T,263787,92071,0.03215273668255896,0.011222443179913666
2015-10-01,02R,349959,115267,0.03931633687442767,0.01294973469036274
2015-10-01,04Q,109738,52459,0.024740377984134216,0.011826855680527227
2015-10-01,00K,307247,165999,0.03443533071409318,0.018604674620773365
2015-10-01,10V,118772,76003,0.023954805906211366,0.015328841084513036
2015-10-01,10J,100361,56376,0.020920466332476177,0.011751698468126832
2015-10-01,15C,650680,362213,0.02819538079861982,0.015695477754365403
2015-10-01,09P,206634,85276,0.035787719869481184,0.014769271269925943
2015-10-01,00V,176892,67495,0.03567467820247153,0.013612048059131084
2015-10-01,03W,243828,87380,0.030342542652011997,0.01087377732226327
2015-10-01,11M,391747,202882,0.022913349908278636,0.01186660333350705
2015-10-01,07X,154380,61108,0.023012630264038554,0.009109054347550641
2015-10-01,00J,263333,167648,0.027893438596948376,0.017758044733858655
2015-10-01,04E,248517,99697,0.03728609970266182,0.014957979864782995
2015-10-01,99M,97856,54807,0.02316838893800344,0.012976106651867587
2015-10-01,15D,253769,105467,0.031076642058666348,0.01291552635665256
2015-10-01,09G,412250,156479,0.03205985148492522,0.012169056399053035
2015-10-01,02G,100716,35505,0.0340599197030528,0.01200700433949809
2015-10-01,01G,146974,124474,0.018197499840279404,0.015411675501237896
2015-10-01,05H,146462,78782,0.024186755001227817,0.013010070410800958
2015-10-01,05L,436726,132736,0.034243533477628,0.010407783506561163
2015-10-01,00X,151588,55006,0.03177173512767024,0.011528854938600872
2015-10-01,99G,117305,57346,0.03183746162297367,0.015564136858881106
2015-10-01,01T,203873,53519,0.041626290555277196,0.010927378535793755
2015-10-01,15F,669016,250747,0.031880766307610775,0.011948901833938918
2015-10-01,10R,161455,89480,0.034450127276955934,0.019092610255130017
2015-10-01,07K,125402,78879,0.016758959752944263,0.010541538303635434
2015-10-01,08K,147520,46829,0.025331405774537095,0.008041244583892337
2015-10-01,09X,123658,39296,0.03064055049813381,0.009736944414228487
2015-10-01,05X,190461,53279,0.052770798722823704,0.014761948037410936
2015-10-01,08E,112245,34352,0.02025321526220376,0.006198391471221199
2015-10-01,07Q,162117,62349,0.029516937959754116,0.01135199618086141
2015-10-01,99F,118409,47837,0.02734924642846914,0.011049041047544344
2015-10-01,02E,196182,68283,0.038486596431011745,0.013395623778423987
2015-10-01,00D,404302,206376,0.032096505927980176,0.01638366495192415
2015-10-01,09F,186050,74745,0.03333584180839551,0.01339256918015868
2015-10-01,01F,198931,69112,0.05245087221251501,0.018222321711303602
2015-10-01,03H,180658,66454,0.03459712744527088,0.012726353149309916
2015-10-01,08V,147383,54430,0.022785007776242112,0.008414728790029096
2015-10-01,08A,178406,70407,0.03288597136067398,0.01297827755563699
2015-10-01,11J,613692,249287,0.03007843383469448,0.012218120059165644
2015-10-01,01J,241816,81363,0.043175723208004654,0.014527187478797445
2015-10-01,04R,385532,164413,0.03282375176439628,0.013997934020625227
2015-10-01,10Q,408282,176658,0.026777461027992895,0.011586238703354958
2015-10-01,99H,140076,55745,0.02612533506214083,0.010396904559232421
2015-10-01,01W,234500,99142,0.026603782660822986,0.011247557443749733
2015-11-01,04C,262377,102288,0.029408995502853842,0.011465133498728599
2015-11-01,08H,115921,52061,0.03593754262741101,0.016139822868381434
2015-11-01,11X,352335,193816,0.025944536194886778,0.01427183284983943
2015-11-01,10L,87485,51657,0.02069123409251253,0.012217489621271303
2015-11-01,11E,127672,57704,0.024336749612756853,0.010999497146238185
2015-11-01,02G,91672,32543,0.03268023019327865,0.011601282083731861
